N	3gram	Medvedev_V_1	KFilosof
1	по отношению к	7	21
2	не может быть	8	11
3	в едином и	1	5
4	может быть в	1	3
5	в этом смысле	1	3
6	того или иного	1	3
7	не было бы	4	3
8	в то же	5	2
9	вопрос о том	1	2
10	в целом и	1	2
11	имеем в виду	1	2
12	в том что	5	2
13	то или иное	1	2
14	вовсе не значит	1	2
15	то же время	5	2
16	и не быть	1	2
17	той или иной	1	2
18	во всех этих	1	2
19	бы и не	3	2
20	в соответствии с	1	2
21	в том же	1	1
22	ли это что	1	1
23	лежит в основе	1	1
24	во всех его	2	1
25	в том случае	1	1
26	в основных чертах	3	1
27	со всем что	1	1
28	только тогда когда	1	1
29	и во всех	1	1
30	значит ли это	1	1
31	и в то	3	1
32	отношению к ней	1	1
33	но в то	1	1
34	процесс между тем	1	1
35	равно как и	4	1
36	может быть и	1	1
37	для того чтобы	3	1
38	в противном случае	2	1
39	дело не в	1	1
40	и включен в	1	1
41	не подлежит сомнению	1	1
42	то прежде всего	1	1
43	если он не	1	1
44	стороне вопрос о	1	1
45	к тому что	3	1
46	бы не было	2	1
47	то все же	1	1
48	то же самое	1	1
49	действительной жизни и	1	1
50	могло бы быть	1	1
51	в ее основных	1	1
52	как если бы	1	1
53	не в этом	1	1
54	хотя бы и	5	1
55	только в единстве	1	1
56	в том смысле	1	1
57	могло бы и	1	1
58	во всяком случае	1	1
59	не значит что	1	1
60	и может быть	1	1
61	и в ту	1	1
62	в конечном счете	5	1
63	в стороне вопрос	1	1
64	но ни в	1	1
65	со всех сторон	1	1
66	в зависимости от	5	1
67	нет и не	1	1
68	только в том	2	1
69	отнюдь не являются	1	1
70	вместе с тем	3	1
71	не в том	2	1
72	никогда не может	1	1
73	ту или иную	1	1
74	не может не	2	1
75	и по отношению	1	1
76	в свою очередь	1	1
77	в действительной жизни	1	1
78	все это только	2	1
79	том что мы	1	1
80	мы говорим о	1	1
