N	3gram	Trubetskoy_1	Myslijsy
1	более или менее	4	8
2	в том что	7	7
3	во всяком случае	6	7
4	одного и того	1	6
5	в свою очередь	1	6
6	и того же	1	6
7	тем не менее	1	5
8	по крайней мере	1	5
9	от того что	1	4
10	заключает в себе	1	4
11	до сих пор	5	4
12	а между тем	5	4
13	то и другое	1	4
14	смысле этого слова	1	3
15	на то что	4	3
16	то есть не	1	3
17	как бы ни	1	3
18	с самого начала	1	2
19	для того чтобы	6	2
20	на самом деле	6	2
21	и в жизни	1	2
22	не может быть	4	2
23	то же время	10	2
24	сама по себе	2	2
25	в то же	10	2
26	о том что	2	1
27	а в том	1	1
28	бы для него	1	1
29	и тем самым	2	1
30	потому что и	1	1
31	в том случае	4	1
32	в большинстве случаев	2	1
33	вопрос о том	1	1
34	бы то ни	4	1
35	даже и в	1	1
36	не только от	1	1
37	сих пор был	1	1
38	и другое возможно	1	1
39	в некоторых из	1	1
40	и в этом	1	1
41	так как это	1	1
42	как и при	1	1
43	что касается до	1	1
44	только для того	1	1
45	то ни было	1	1
46	в том виде	1	1
47	в нем самом	1	1
48	о которых мы	1	1
49	во многих случаях	1	1
50	том случае если	3	1
51	друг к другу	1	1
52	внутренней и внешней	1	1
53	может быть достигнуто	1	1
54	и в других	1	1
55	и не может	3	1
56	состоит в том	1	1
57	не может но	1	1
58	чтобы понять что	2	1
59	и при отсутствии	1	1
60	в этом случае	3	1
61	но даже и	1	1
62	мы прежде всего	1	1
63	что и то	1	1
64	но вряд ли	1	1
65	в применении к	1	1
66	в связи с	1	1
67	для всех или	1	1
68	только один из	1	1
69	но все же	1	1
70	вместе с тем	3	1
71	что не только	1	1
72	и как бы	1	1
73	мы не знаем	1	1
74	она могла бы	1	1
75	прежде всего на	1	1
76	только в том	2	1
77	и то и	1	1
78	в том чтобы	1	1
79	а в нем	1	1
80	дело в том	1	1
81	друг от друга	2	1
82	есть та форма	1	1
83	во всех этих	1	1
84	если мы в	1	1
85	только стремление к	1	1
86	в зависимость от	2	1
