N	2gram	Medvedev_B_1	StatiiOP
1	и в	1	29
2	не только	1	19
3	что в	1	19
4	все это	2	11
5	таким образом	1	10
6	так и	1	9
7	и не	2	9
8	в ней	2	7
9	в своей	1	7
10	вопрос о	1	6
11	и на	1	6
12	все же	1	6
13	об этом	1	6
14	было бы	1	5
15	прежде всего	1	5
16	а не	1	5
17	кроме того	1	4
18	и о	1	4
19	с другой	1	4
20	в речи	1	4
21	на самом	1	3
22	его не	1	3
23	не то	2	3
24	не было	1	3
25	одной из	1	3
26	нельзя не	1	3
27	у нас	3	3
28	неудивительно что	1	3
29	всяком случае	1	3
30	до конца	1	3
31	другой стороны	1	3
32	во всяком	1	3
33	и более	1	2
34	значительной степени	1	2
35	в области	1	2
36	их что	1	2
37	никак не	1	2
38	в значительной	1	2
39	и потому	1	2
40	в данном	1	2
41	совершенно не	1	2
42	говорить о	1	1
43	не вполне	1	1
44	еще не	1	1
45	чтобы можно	1	1
46	бы только	1	1
47	не следует	1	1
48	о них	1	1
49	больше чем	2	1
50	к ней	1	1
51	как будто	1	1
52	по нашему	1	1
53	остановиться на	1	1
54	что все	1	1
55	в пределах	1	1
56	можно было	2	1
57	в эпоху	1	1
58	и во	1	1
59	целиком в	1	1
60	будто бы	1	1
61	не о	1	1
62	не укладывается	1	1
63	за пределы	1	1
64	и исторической	1	1
65	в книге	1	1
66	между ними	1	1
67	не признать	1	1
68	основное значение	1	1
69	стиля и	1	1
