N	3gram	Propp_Isto_5	Myslijsy
1	в том что	2	16
2	только тогда когда	1	7
3	по отношению к	2	5
4	сам по себе	1	5
5	не в том	1	5
6	то же время	1	5
7	в то же	1	5
8	вместе с тем	6	4
9	с другой стороны	8	4
10	но и в	2	4
11	в то время	1	4
12	не только в	2	4
13	то же что	1	4
14	потому что он	2	3
15	по мере того	1	3
16	до сих пор	2	3
17	что он не	1	3
18	с одной стороны	7	3
19	мере того как	1	3
20	в свою очередь	1	3
21	само по себе	1	3
22	и т д	18	3
23	только в том	1	3
24	в том смысле	1	3
25	тем не менее	4	3
26	для того чтобы	3	3
27	не может быть	3	3
28	что и в	2	3
29	подобно тому как	1	2
30	мы должны будем	1	2
31	смысле в каком	1	2
32	но тем не	1	2
33	в том чтобы	2	2
34	мы не знаем	2	2
35	но вместе с	3	2
36	как и в	2	2
37	можно сказать что	1	2
38	с тем мы	1	1
39	в сказке о	1	1
40	одной стороны и	1	1
41	потому что в	1	1
42	а не в	1	1
43	на самом деле	1	1
44	в самом деле	1	1
45	ему в то	1	1
46	и в других	1	1
47	из того что	1	1
48	не сам по	1	1
49	не менее она	1	1
50	и тем что	1	1
51	то время как	1	1
52	в таких случаях	2	1
53	том смысле в	1	1
54	по себе не	1	1
55	в данном случае	2	1
56	может быть не	1	1
57	в одно время	1	1
58	то это было	1	1
59	связано то что	1	1
60	для нас это	1	1
61	что у царя	1	1
62	только один из	1	1
63	только после того	1	1
64	как для него	1	1
65	вряд ли возможно	1	1
66	носит в себе	1	1
67	в одно целое	1	1
68	и в таком	1	1
69	и таким образом	2	1
70	каждого из них	1	1
71	это было бы	1	1
72	таким образом в	1	1
73	что не только	1	1
74	и тем самым	1	1
75	о том что	4	1
76	если бы мы	2	1
77	это значит что	2	1
78	состоит не в	1	1
79	не было ни	1	1
80	на то что	2	1
81	после того как	3	1
82	то же в	2	1
83	друг с другом	2	1
84	и вслед за	1	1
85	здесь как и	1	1
86	как мы видели	1	1
87	и многие другие	1	1
88	вне связи с	1	1
89	в ней самой	1	1
