N	3gram	Losev_Dial_1	Problema
1	с точки зрения	12	11
2	той или иной	3	11
3	тем не менее	1	10
4	содержит в себе	3	8
5	в том что	7	8
6	в той или	1	7
7	это значит что	9	7
8	то же самое	1	6
9	по крайней мере	4	6
10	сам по себе	6	6
11	с другой стороны	4	6
12	общего и единичного	1	5
13	ни в каком	8	5
14	какой мере не	1	4
15	в какой мере	1	4
16	но даже и	1	4
17	можно было бы	4	4
18	ни в какой	1	4
19	те или иные	1	4
20	во всяком случае	2	4
21	мы имеем дело	1	3
22	на самом деле	2	3
23	в этом смысле	3	3
24	идея и образ	1	3
25	только в том	1	3
26	то и другое	2	3
27	ни в коем	1	3
28	точно так же	2	3
29	отчет в том	1	3
30	и тем не	1	3
31	в коем случае	1	3
32	в каком случае	4	3
33	тех или иных	1	3
34	в связи с	1	3
35	той или другой	4	3
36	о том что	2	3
37	и ни в	2	3
38	каком случае не	2	3
39	и т д	19	3
40	потому что он	3	2
41	в чистом виде	1	2
42	хотя и не	1	2
43	убеждаемся в том	1	2
44	что иное как	1	2
45	общего ни с	1	2
46	сами по себе	1	2
47	и каждый раз	1	2
48	или по крайней	2	2
49	жизни и в	1	2
50	это не имеет	1	2
51	это есть символ	1	2
52	и в частности	2	2
53	то время как	1	2
54	нет никакой мифологии	1	2
55	в том чтобы	1	2
56	уже по одному	1	2
57	имеет ничего общего	3	2
58	не есть ни	6	2
59	мы все время	1	2
60	в каком смысле	1	2
61	для того чтобы	1	2
62	самом же деле	1	2
63	хотя бы даже	1	2
64	на самом же	1	2
65	более или менее	3	2
66	есть не что	1	2
67	не что иное	1	2
68	вовсе не есть	1	2
69	в то время	1	2
70	это и не	1	2
71	ничего общего с	3	2
72	что в данном	1	2
73	но никак не	1	2
74	в то же	4	2
75	и больше ничего	1	2
76	сама по себе	8	2
77	в сравнении с	1	2
78	дело не в	1	2
79	к тому же	1	2
80	не имеет ничего	3	2
81	и может быть	1	1
82	но все же	1	1
83	крайней мере в	1	1
84	в чем не	1	1
85	превратилось бы в	1	1
86	только потому что	3	1
87	заключается не в	1	1
88	иметь в виду	3	1
89	дело в том	1	1
90	ни в каких	1	1
91	должны сказать что	1	1
92	это было бы	1	1
93	с ним или	1	1
94	о том или	1	1
95	как это мы	2	1
96	то ясно что	1	1
97	он всегда есть	1	1
98	так что в	1	1
99	есть сама вещь	1	1
100	значит что он	3	1
101	но ясно что	1	1
102	не есть нечто	1	1
103	что же касается	1	1
104	как раз и	1	1
105	по сравнению с	2	1
106	и не в	1	1
107	но все это	2	1
108	они вовсе не	1	1
109	и в то	2	1
110	познания добра и	1	1
111	что он не	2	1
112	итак перед нами	1	1
113	по себе и	2	1
114	в первую очередь	1	1
115	ни в чем	2	1
116	только то что	3	1
117	и даже в	1	1
118	и потому в	1	1
119	по себе в	1	1
120	науки не существует	1	1
121	это и значит	1	1
122	одно и то	4	1
123	есть то что	1	1
124	до сих пор	2	1
125	отнюдь не является	1	1
126	в отношении идеи	1	1
127	в ней не	1	1
128	еще не есть	1	1
129	сказать что в	1	1
130	идею и образ	1	1
131	можно сказать о	1	1
132	не значит что	3	1
133	достаточно глубоко и	1	1
134	указанных только что	1	1
135	этом смысле есть	1	1
136	где идея и	1	1
137	если бы мы	1	1
138	тоже не есть	1	1
139	с одной стороны	2	1
140	все равно не	1	1
141	учения о символе	1	1
142	на первый взгляд	1	1
143	в конце концов	3	1
144	мы замечаем что	1	1
145	в символе и	1	1
146	несет на себе	2	1
147	даже если бы	1	1
148	символ второй степени	1	1
149	в чем же	1	1
150	какая-нибудь аллегория то	1	1
151	то это значит	2	1
152	тех или других	2	1
153	в виде какой-то	1	1
154	значит что мы	1	1
155	не в том	1	1
156	бы и не	1	1
157	это не значит	1	1
158	до последней степени	1	1
159	во главе с	1	1
160	друг к другу	2	1
161	поскольку эта последняя	1	1
162	в новое время	1	1
163	случае не есть	2	1
164	само по себе	5	1
165	что это и	1	1
166	но так как	1	1
167	что понятие символа	1	1
168	прежде всего символ	1	1
169	а в том	1	1
170	ничто не мешает	2	1
171	несмотря на свою	1	1
172	в данном образе	1	1
173	по себе а	2	1
174	на идею и	1	1
175	д и т	2	1
176	мы убеждаемся в	1	1
177	коем случае не	1	1
178	это и есть	2	1
179	том или другом	1	1
180	если и есть	1	1
181	во всем этом	1	1
182	и т п	2	1
183	то что не	1	1
184	совершенно не существует	1	1
185	к выводу что	1	1
186	с самого начала	1	1
187	так всегда и	1	1
188	не существует и	1	1
189	в себе также	1	1
190	несмотря на всю	4	1
191	и так и	1	1
192	заметим что для	1	1
193	ничего не говорит	4	1
194	даже больше того	2	1
195	но она вполне	1	1
196	что это не	1	1
197	идеей и образом	1	1
198	на то что	4	1
199	взять в толк	1	1
200	символ первой степени	1	1
201	так как здесь	1	1
202	по себе но	2	1
203	т д и	2	1
204	а не ее	1	1
205	к тому что	2	1
206	оно во всяком	1	1
207	здесь не просто	1	1
208	если бы все	1	1
209	относится не к	1	1
210	если иметь в	2	1
211	нечего и говорить	1	1
212	и вообще тех	1	1
213	а он как	1	1
214	есть символ что	1	1
215	добра и зла	1	1
216	не есть просто	1	1
