N	2gram	Voloshinov_1	VeschiIm
1	не может	8	33
2	не только	6	31
3	может быть	8	29
4	и не	8	28
5	и в	13	26
6	то что	6	24
7	и есть	1	23
8	а не	2	20
9	и следовательно	2	15
10	только в	6	14
11	что она	1	14
12	по себе	1	13
13	и что	1	13
14	все же	5	12
15	и ее	2	12
16	но и	3	12
17	есть не	2	12
18	в себя	1	12
19	сказать что	1	12
20	и то	3	12
21	было бы	4	12
22	таким образом	6	11
23	что же	3	11
24	общения с	1	11
25	потому что	1	10
26	то же	4	10
27	что такое	1	10
28	в ней	2	10
29	что мы	1	10
30	как бы	6	10
31	прежде всего	9	9
32	еще и	4	9
33	в том	2	9
34	в самом	2	9
35	в себе	3	8
36	на то	1	8
37	иное как	2	8
38	она есть	1	8
39	что иное	2	8
40	с ее	1	8
41	не что	2	8
42	себя и	1	8
43	и это	1	8
44	но это	1	8
45	говорить о	3	7
46	и их	7	7
47	в этом	2	7
48	его в	1	7
49	и пр	7	7
50	в то	1	7
51	также и	1	7
52	так как	3	7
53	том что	2	7
54	когда мы	1	6
55	одно и	3	6
56	то не	1	6
57	точки зрения	7	6
58	что они	2	6
59	необходимо чтобы	1	6
60	что в	3	6
61	для него	2	6
62	но если	1	6
63	должно быть	1	6
64	но что	1	6
65	но в	4	6
66	можно было	1	6
67	и как	1	6
68	еще не	1	5
69	должны быть	1	5
70	другими словами	1	5
71	того же	1	5
72	для этого	1	5
73	и для	3	5
74	для себя	2	5
75	не менее	2	5
76	отнюдь не	1	5
77	не в	3	5
78	а в	2	5
79	но не	1	5
80	в ее	3	5
81	с этой	2	5
82	это и	1	5
83	в отношении	2	5
84	в чем	2	5
85	тем не	1	5
86	только и	4	5
87	если бы	2	5
88	одна из	1	5
89	как к	1	5
90	ведь и	1	5
91	и до	1	5
92	чем же	2	5
93	на себя	1	5
94	тем что	2	4
95	же время	1	4
96	его на	2	4
97	как и	3	4
98	мы не	4	4
99	только то	1	4
100	в их	3	4
101	то или	1	4
102	же не	1	4
103	быть не	1	4
104	собственном смысле	1	4
105	нет и	1	4
106	в своем	1	4
107	с этим	3	4
108	и о	1	4
109	то это	1	4
110	между собою	2	4
111	явление и	1	4
112	не существует	1	4
113	о сущности	1	4
114	с точки	5	4
115	когда я	1	4
116	быть и	1	4
117	с другой	2	4
118	собственно говоря	2	4
119	и все	3	4
120	как же	1	4
121	этот вопрос	1	4
122	и более	1	4
123	в данном	2	4
124	но когда	1	3
125	и чисто	1	3
126	бы в	2	3
127	вопрос о	1	3
128	в собственном	1	3
129	общение в	1	3
130	собою и	1	3
131	бы что	1	3
132	она является	2	3
133	так и	3	3
134	явления но	1	3
135	в нем	2	3
136	подобно тому	1	3
137	хотя бы	5	3
138	существует но	1	3
139	того чтобы	1	3
140	в своей	4	3
141	или как	1	3
142	в одном	3	3
143	и другое	1	3
144	вместе с	1	3
145	отношение к	1	3
146	в чисто	1	3
147	к тому	2	3
148	явлений и	2	3
149	явления как	1	3
150	тот же	2	3
151	себя как	1	3
152	да и	3	3
153	только на	1	3
154	один из	1	3
155	никогда не	3	3
156	вопроса о	4	3
157	мы имеем	1	3
158	в основе	1	3
159	тому как	1	3
160	с вещами	1	3
161	никакого отношения	1	3
162	но даже	1	3
163	к другому	1	3
164	раз навсегда	1	3
165	ни о	1	3
166	мы видим	2	3
167	даже и	1	3
168	на этом	1	3
169	само по	1	3
170	их в	1	3
171	из того	1	3
172	несмотря на	2	3
173	тем более	1	3
174	все это	4	3
175	и позитивизма	1	3
176	самом деле	3	3
177	или менее	1	3
178	что он	1	3
179	и тогда	1	3
180	как о	1	3
181	более или	1	3
182	как некая	1	2
183	о которых	1	2
184	может и	1	2
185	и этот	2	2
186	и вот	1	2
187	данном случае	2	2
188	это все	1	2
189	от всех	2	2
190	понимания и	1	2
191	от этого	2	2
192	в разных	1	2
193	так же	2	2
194	в параллель	1	2
195	же такое	1	2
196	как это	1	2
197	мы получим	2	2
198	об этом	1	2
199	есть она	1	2
200	если он	1	2
201	который мы	2	2
202	от одного	1	2
203	если не	1	2
204	же есть	1	2
205	не мог	2	2
206	его и	1	2
207	превращается в	3	2
208	этой точки	1	2
209	остановиться на	1	2
210	тех или	1	2
211	оно может	1	2
212	мысли и	1	2
213	на все	1	2
214	говорить об	2	2
215	как в	2	2
216	и его	12	2
217	можно говорить	1	2
218	выражение в	1	2
219	или нет?	1	2
220	какой-то смысл	1	2
221	для того	1	2
222	только одно	1	2
223	себе что	2	2
224	но ведь	5	2
225	и может	2	2
226	тут же	1	2
227	ту же	1	2
228	в особенности	1	2
229	как совершенно	1	2
230	и тем	2	2
231	мы уже	2	2
232	тому что	1	2
