N	3gram	Medvedev_F_2	Komedia
1	до сих пор	1	9
2	в том что	2	9
3	в самом деле	5	6
4	для того чтобы	3	6
5	в свою очередь	1	6
6	в то же	5	4
7	то же время	5	4
8	с самого начала	2	4
9	с точки зрения	7	3
10	и т п	9	3
11	вместе с тем	4	3
12	в связи с	10	3
13	во всяком случае	5	3
14	с одной стороны	1	3
15	тем не менее	1	3
16	в какой мере	2	2
17	так или иначе	1	2
18	в этом случае	1	2
19	что он не	1	2
20	бы то ни	1	2
21	в этом отношении	7	2
22	т е в	1	2
23	в конце концов	2	2
24	с другой стороны	3	2
25	но все же	2	2
26	в известной степени	1	2
27	что и в	1	2
28	может быть с	1	1
29	не могла быть	1	1
30	сам он не	1	1
31	чуть ли не	1	1
32	в виду что	1	1
33	более или менее	1	1
34	равно как и	1	1
35	имеем в виду	1	1
36	не говоря уже	1	1
37	тому что и	1	1
38	на первый план	2	1
39	но как раз	1	1
40	как это было	2	1
41	ясно с самого	1	1
42	говоря уже о	1	1
43	и в то	3	1
44	в зависимости от	3	1
45	не было и	2	1
46	со стороны других	1	1
47	в отличие от	2	1
48	рассматривать не как	1	1
49	и не может	3	1
50	по крайней мере	1	1
51	же что и	1	1
52	его отношение к	1	1
53	в настоящее время	1	1
54	в том чтобы	1	1
55	самого начала что	1	1
56	но при этом	1	1
57	это не так	1	1
58	то что он	1	1
59	все равно что	1	1
60	должен был быть	1	1
61	в других случаях	1	1
62	и сам он	1	1
63	так и в	3	1
64	было и речи	1	1
65	и без того	1	1
66	он был бы	1	1
67	ничего общего с	1	1
68	и до сих	1	1
69	отца с сыном	2	1
70	мы имеем в	1	1
71	не похож на	1	1
72	как мы знаем	2	1
73	по этому поводу	1	1
74	к тому что	2	1
75	и в этом	5	1
76	и в его	1	1
77	вовсе не является	1	1
78	на то чтобы	1	1
79	он не похож	1	1
80	и т д	5	1
81	и здесь не	1	1
