N	2gram	Bakhtin_Pr_2	VeschiIm
1	не есть	2	49
2	т е	26	42
3	не может	18	33
4	не только	11	31
5	может быть	23	29
6	и не	29	28
7	и в	43	26
8	то что	7	24
9	и есть	1	23
10	и т	13	21
11	т д	4	20
12	а не	7	20
13	что я	6	16
14	и следовательно	3	15
15	в смысле	1	15
16	что она	1	14
17	только в	4	14
18	по себе	11	13
19	и что	5	13
20	того что	2	13
21	и то	2	12
22	есть не	1	12
23	все же	3	12
24	в себя	3	12
25	что это	2	12
26	было бы	5	12
27	и ее	3	12
28	но и	14	12
29	сказать что	2	12
30	таким образом	5	11
31	с нею	1	11
32	что же	7	11
33	и больше	1	10
34	то же	8	10
35	есть нечто	1	10
36	как бы	22	10
37	что такое	2	10
38	уже не	3	10
39	предполагает что	1	9
40	бы то	1	9
41	в самом	7	9
42	то ни	1	9
43	и с	5	9
44	вещей и	1	9
45	в том	6	9
46	что не	2	9
47	еще и	1	9
48	прежде всего	10	9
49	ни было	2	9
50	с ее	1	8
51	в себе	5	8
52	на то	5	8
53	и это	4	8
54	ничего не	3	8
55	себя и	3	8
56	но это	4	8
57	также и	3	7
58	в этом	13	7
59	его в	3	7
60	с другими	1	7
61	том что	2	7
62	в то	7	7
63	со своим	1	7
64	указывает на	2	7
65	себя в	3	7
66	и их	3	7
67	так как	4	7
68	как раз	4	7
69	и пр	2	7
70	смысла и	1	7
71	если оно	2	7
72	е в	1	7
73	совершенно не	4	7
74	есть и	3	7
75	с собою	2	6
76	и как	2	6
77	но в	10	6
78	бы и	2	6
79	это есть	1	6
80	одно и	2	6
81	точки зрения	13	6
82	по крайней	1	6
83	с ним	3	6
84	она не	3	6
85	отличается от	2	6
86	можно было	3	6
87	должно быть	4	6
88	понимать себя	1	6
89	и только	3	6
90	крайней мере	1	6
91	так что	5	6
92	если мы	2	6
93	ни с	1	6
94	для него	8	6
95	но что	1	6
96	в результате	4	6
97	жизни и	1	6
98	что в	4	6
99	того же	3	5
100	это и	1	5
101	и до	4	5
102	ведь и	7	5
103	в сущности	9	5
104	на себя	2	5
105	но не	5	5
106	с самой	1	5
107	как к	1	5
108	должна быть	3	5
109	вообще не	1	5
110	что тут	2	5
111	это не	3	5
112	не в	11	5
113	тем не	2	5
114	в отношении	3	5
115	не менее	3	5
116	одна из	2	5
117	только и	1	5
118	у нас	2	5
119	для себя	2	5
120	в ее	1	5
121	должны быть	2	5
122	если бы	3	5
123	для этого	2	5
124	себя с	1	5
125	еще не	9	5
126	она имеет	1	5
127	что для	1	5
128	ни на	3	5
129	и для	3	5
130	а в	5	5
131	собственном смысле	1	4
132	мы не	4	4
133	смысл ее	1	4
134	так чтобы	4	4
135	я не	4	4
136	то это	2	4
137	и явления	2	4
138	в их	3	4
139	во всех	4	4
140	точка зрения	1	4
141	для всякого	1	4
142	нет и	1	4
143	с этим	2	4
144	в своем	4	4
145	если есть	1	4
146	однако не	1	4
147	же не	4	4
148	и мы	1	4
149	на почве	2	4
150	как и	14	4
151	между собою	4	4
152	с точки	8	4
153	что есть	1	4
154	чисто смысловой	1	4
155	на себе	2	4
156	слово и	9	4
157	же время	5	4
158	есть или	1	4
159	и о	2	4
160	о том	5	4
161	определенным образом	1	4
162	с другой	4	4
163	что и	3	4
164	быть и	2	4
165	оно и	1	4
166	этот вопрос	4	4
167	то и	2	4
168	из них	2	4
169	тем что	3	4
170	и даже	3	4
171	как же	2	4
172	и потому	1	4
173	вы говорите	1	4
174	и все	6	4
175	от ее	1	4
176	между ними	4	4
177	себя как	3	3
178	сам по	5	3
179	самом деле	5	3
180	в чисто	1	3
181	к другому	5	3
182	отношения к	2	3
183	вопрос о	2	3
184	две вещи	1	3
185	собою и	2	3
186	не то	1	3
187	более или	3	3
188	себе не	1	3
189	вопроса о	1	3
190	ее как	1	3
191	в нем	12	3
192	на этом	1	3
193	в жизни	3	3
194	несмотря на	1	3
195	значит не	1	3
196	и тогда	1	3
197	нисколько не	1	3
198	или менее	3	3
199	в своей	4	3
200	все это	5	3
201	их в	4	3
202	тогда когда	1	3
203	ее с	1	3
204	в основе	1	3
205	само по	1	3
206	того чтобы	1	3
207	или как	4	3
208	ему не	1	3
209	к себе	7	3
210	к тому	4	3
211	на это	1	3
