N	3gram	Berdyaev_N_1	Narrotol
1	в том что	1	8
2	не только в	1	6
3	в отличие от	1	5
4	с одной стороны	2	5
5	о том что	1	4
6	в известном смысле	1	3
7	по своей природе	1	2
8	подобно тому как	3	2
9	но и в	1	2
10	и не может	1	2
11	так же как	2	2
12	не может быть	4	2
13	и того же	1	1
14	и в будущем	1	1
15	и в жизни	1	1
16	в этом смысле	2	1
17	нового времени и	1	1
18	в зависимости от	1	1
19	в то что	1	1
20	можно было бы	1	1
21	может быть только	1	1
22	что он может	1	1
23	до сих пор	1	1
24	этом я уже	1	1
25	то время как	1	1
26	по природе своей	1	1
27	не в том	1	1
28	то что он	1	1
29	в нем не	1	1
30	во всяком случае	1	1
31	он не имел	1	1
32	я не могу	1	1
33	в мире а	1	1
34	ни в чем	1	1
35	в то время	1	1
36	в этой системе	1	1
37	одного и того	1	1
38	в большинстве случаев	1	1
39	в том смысле	1	1
40	и для другого	1	1
41	несоизмеримо более высокой	1	1
