N	3gram	Tiupa_Narr_1	Komedia
1	к тому же	4	10
2	на себя внимание	3	5
3	обращает на себя	3	5
4	в том что	8	5
5	о том что	6	4
6	и столь же	1	3
7	по отношению к	6	3
8	в том числе	6	3
9	тому же в	1	3
10	так или иначе	2	3
11	в связи с	2	3
12	в первую очередь	1	3
13	то же время	3	3
14	в последние десятилетия	1	3
15	в то же	3	3
16	только потому что	1	2
17	в этом смысле	1	2
18	до сих пор	1	2
19	в отличие от	5	2
20	бы то ни	3	2
21	то ни было	3	2
22	с одной стороны	7	2
23	в нем не	1	2
24	то что он	1	2
25	независимо от того	1	2
26	можно было бы	2	2
27	друг с другом	1	2
28	речь идет о	2	2
29	том что именно	1	1
30	не в состоянии	1	1
31	прежде всего они	1	1
32	мы имеем дело	2	1
33	что у нее	1	1
34	одной из этих	1	1
35	в самом деле	1	1
36	имело место в	1	1
37	в соответствии с	1	1
38	этих двух наиболее	1	1
39	в том же	1	1
40	так и не	2	1
41	с точки зрения	2	1
42	как это было	1	1
43	из них в	1	1
44	исходя из опыта	1	1
45	и в то	1	1
46	может быть сформулирована	1	1
47	том числе и	4	1
48	точно так же	2	1
49	а то и	1	1
50	как будто он	3	1
51	себя внимание что	1	1
52	той или иной	4	1
53	не в его	1	1
54	в первом случае	2	1
55	почти полное забвение	1	1
56	имеем дело с	1	1
57	всю свою жизнь	1	1
58	само по себе	1	1
59	с другой стороны	4	1
60	мере в какой	1	1
61	не может быть	5	1
62	нельзя сказать о	1	1
63	так и для	1	1
64	того или иного	2	1
65	до нас в	1	1
66	более или менее	2	1
67	на фоне которых	1	1
68	но уже в	1	1
69	так и в	1	1
70	какую бы то	1	1
71	в свою очередь	3	1
72	на протяжении всего	1	1
73	не имеет значения	1	1
74	не только в	2	1
75	но все же	4	1
76	лет тому назад	1	1
77	друг от друга	1	1
78	тем более что	1	1
79	с другом и	1	1
80	тем не менее	3	1
81	чего нельзя сказать	1	1
82	в столь же	1	1
83	как мы видели	1	1
