N	2gram	Medvedev_F_1	VrazhdaK
1	в году	2	18
2	у тургенева	2	11
3	не только	7	9
4	в этом	15	8
5	и в	24	8
6	и что	2	8
7	но и	7	7
8	и все	6	7
9	то что	8	7
10	что в	4	7
11	все же	3	6
12	но в	5	6
13	в нем	14	6
14	как и	11	6
15	в котором	1	6
16	и с	8	6
17	и даже	3	6
18	то же	10	5
19	в то	9	5
20	же время	8	5
21	между тем	2	5
22	у него	1	5
23	не было	3	5
24	в россии	3	5
25	и не	20	5
26	х годов	1	4
27	в ней	10	4
28	что он	3	4
29	в истории	4	4
30	целый ряд	3	4
31	при этом	5	4
32	это не	2	4
33	несмотря на	1	4
34	все это	9	4
35	во многом	1	4
36	с ним	2	4
37	для нас	1	4
38	может быть	14	4
39	как бы	6	4
40	в своих	2	4
41	так же	4	4
42	в чем	1	3
43	с его	4	3
44	в своем	11	3
45	и как	3	3
46	в этот	1	3
47	на то	1	3
48	его в	3	3
49	он не	3	3
50	далеко не	1	3
51	и уже	1	3
52	том что	1	3
53	но он	1	3
54	в русской	1	3
55	и его	10	3
56	связи с	3	3
57	и о	1	3
58	что у	1	3
59	и во	1	3
60	в его	23	3
61	в том	6	3
62	чтобы он	2	3
63	в связи	4	3
64	о себе	1	3
65	наряду с	1	3
66	т е	34	3
67	к этому	1	3
68	отношения к	6	2
69	же как	2	2
70	тогда как	1	2
71	отнюдь не	6	2
72	в той	1	2
73	его на	1	2
74	в этой	6	2
75	в себе	3	2
76	время и	1	2
77	нашего времени	1	2
78	таким образом	13	2
79	в мире	4	2
80	в них	3	2
81	а с	1	2
82	мы знаем	1	2
83	не мог	1	2
84	в эту	2	2
85	точки зрения	16	2
86	в своей	11	2
87	и ее	10	2
88	с точки	13	2
89	место в	7	2
90	не менее	11	2
91	одна из	2	2
92	никогда не	4	2
93	п в	1	2
94	в роман	1	2
95	его с	2	2
96	мысли на	1	2
97	и это	2	2
98	на основе	6	2
99	так в	1	2
100	еще не	6	2
101	а также	1	2
102	тем более	1	2
103	по мнению	1	2
104	уже не	2	2
105	из них	1	2
106	его и	2	2
107	для него	3	2
108	отношение к	3	2
109	как раз	2	2
110	не может	16	2
111	вместе с	2	2
112	в него	2	2
113	в это	1	2
114	но это	3	2
115	же в	3	2
116	а в	6	2
117	а н	3	2
118	в свою	8	2
119	это в	1	2
120	себя как	1	1
121	а между	1	1
122	от этой	1	1
123	можно говорить	1	1
124	этого в	1	1
125	ко всем	2	1
126	также и	1	1
127	литературе эта	1	1
128	это и	3	1
129	идет о	2	1
130	и есть	1	1
131	а от	1	1
132	по преимуществу	1	1
133	едва ли	1	1
134	в их	11	1
135	той же	1	1
136	развитие в	1	1
137	начинается с	1	1
138	говорить о	1	1
139	это отношение	1	1
140	в составе	1	1
141	ему в	1	1
142	это время	1	1
143	литературой в	2	1
144	литературе и	2	1
145	содержания в	1	1
146	влияния на	2	1
147	по своему	1	1
148	одним словом	5	1
149	и всего	1	1
150	совершенно прав	1	1
151	совсем не	1	1
152	но не	3	1
153	в сторону	1	1
154	если в	1	1
155	образ базарова	1	1
156	что они	1	1
157	из которого	1	1
158	независимо от	4	1
159	как в	8	1
160	с этим	2	1
161	для всех	1	1
162	как к	3	1
163	что как	1	1
164	как нам	1	1
165	и наконец	3	1
166	уже лет	1	1
167	себе не	1	1
168	эту проблему	2	1
169	так при	1	1
170	и отчасти	3	1
171	то в	1	1
172	художник а	1	1
173	в самом	5	1
174	мы получаем	1	1
175	в целом	6	1
176	не был	1	1
177	что же	1	1
178	но ведь	2	1
179	как он	1	1
180	их отношения	3	1
181	не могла	2	1
182	развиваться в	1	1
183	высшей степени	1	1
184	в первой	1	1
185	всех этих	3	1
186	прочим и	1	1
187	в силу	1	1
188	этот процесс	1	1
189	о новом	1	1
190	ее своей	1	1
191	и этот	1	1
192	людей и	1	1
193	ним на	1	1
194	это конечно	1	1
195	из-за этого	1	1
196	входя в	1	1
197	заключается в	1	1
198	было бы	6	1
199	в итоге	1	1
200	вопрос и	1	1
201	в жизни	3	1
202	в высшей	1	1
203	этого не	1	1
204	он и	1	1
205	такой же	1	1
206	этот материал	1	1
207	которую он	1	1
208	в этих	1	1
209	или вообще	1	1
210	и их	10	1
211	можно найти	1	1
212	всяком случае	4	1
213	этому же	1	1
214	своего рода	1	1
215	к реальному	1	1
216	тем не	1	1
217	есть еще	1	1
218	через два	1	1
219	не должна	7	1
220	сам этот	1	1
221	раз и	2	1
222	всех их	1	1
223	литературной среде	1	1
224	тем самым	3	1
225	человека но	1	1
226	отражает и	1	1
227	произведения это	2	1
228	не имеет	1	1
229	правда в	1	1
230	той духовной	1	1
231	в процессе	9	1
232	было не	1	1
233	как о	4	1
234	также что	1	1
235	только не	2	1
236	следовательно и	2	1
237	не лучше	1	1
238	ничего не	2	1
239	это то	1	1
240	и лишь	2	1
241	он хочет	1	1
242	по своей	1	1
243	потому что	1	1
244	этом отношении	1	1
245	эту сторону	1	1
246	тем это	1	1
247	в духе	1	1
248	конечно гораздо	1	1
249	могут быть	1	1
250	во все	1	1
251	отличается от	3	1
252	в недрах	1	1
253	не есть	2	1
254	ничего общего	1	1
255	правда не	1	1
256	с ее	7	1
257	свою очередь	6	1
258	в ее	8	1
259	только при	1	1
260	не могло	5	1
261	роль в	1	1
262	так и	18	1
263	на нее	2	1
264	не с	2	1
265	ясно что	3	1
266	было в	1	1
267	еще в	2	1
268	во второй	1	1
269	жизнь и	3	1
270	во всяком	4	1
271	критика и	3	1
272	его жизни	1	1
273	до сих	6	1
274	единства и	2	1
275	партии и	1	1
276	между нами	1	1
277	к нему	1	1
278	во всех	5	1
279	особенно резко	3	1
280	от них	1	1
281	во всей	2	1
282	в форме	1	1
283	в другой	2	1
284	вслед за	1	1
285	все в	2	1
286	романа в	1	1
287	в свете	1	1
288	и самые	1	1
289	в литературе	5	1
290	к которому	2	1
291	тех пор	1	1
292	этом смысле	1	1
293	один из	3	1
294	романа и	1	1
295	за исключением	2	1
296	в предисловии	1	1
297	проникнуть в	1	1
298	во всем	2	1
299	же он	1	1
300	свил себе	1	1
301	а белого	1	1
302	себя в	1	1
303	сколько в	1	1
304	а это	1	1
305	в душе	2	1
306	что для	1	1
307	никто не	1	1
308	в одном	2	1
309	друг друга	4	1
310	от того	2	1
311	в особенности	3	1
312	гораздо больше	1	1
313	связан с	1	1
314	в н	1	1
315	и речи	1	1
316	художником в	1	1
317	и из	1	1
318	с другой	5	1
319	именно в	8	1
320	к роману	1	1
321	характерно для	1	1
322	быть прежде	1	1
323	прежде всего	22	1
324	у человека	1	1
325	до конца	7	1
326	и самый	2	1
327	одну из	1	1
328	обычно не	1	1
329	с помощью	3	1
330	в частности	4	1
331	материал и	1	1
332	по праву	1	1
333	из которых	1	1
334	не дают	1	1
335	того что	5	1
336	автором на	1	1
337	в условиях	1	1
338	сих пор	6	1
339	в основном	3	1
340	между прочим	1	1
341	романа с	1	1
342	но для	3	1
343	под влиянием	2	1
344	мире а	2	1
345	этом романе	1	1
346	к вопросу	1	1
347	тургенева не	1	1
348	более того	3	1
349	и от	7	1
350	хотя и	1	1
351	ее и	1	1
352	бы в	3	1
