N	2gram	Berdyaev_M_2	Myslijsy
1	потому что	12	33
2	то что	5	29
3	может быть	21	26
4	в этом	20	23
5	в том	3	23
6	и в	46	23
7	и не	18	18
8	что в	4	17
9	только в	3	15
10	то же	5	14
11	в себе	10	14
12	как и	13	14
13	того что	6	14
14	так как	8	14
15	если бы	3	13
16	не было	11	12
17	а не	13	12
18	том что	4	12
19	не в	9	11
20	по себе	2	11
21	но и	15	11
22	не может	15	11
23	по отношению	2	10
24	не только	18	10
25	тем что	3	10
26	и потому	7	10
27	между тем	2	9
28	не есть	13	9
29	мы не	1	8
30	в своем	8	8
31	но в	10	8
32	было бы	1	8
33	стало быть	1	8
34	тогда когда	2	8
35	о том	3	8
36	сказать что	3	8
37	отношению к	2	8
38	как в	7	7
39	с этим	1	7
40	что это	6	7
41	на то	1	7
42	в нем	22	7
43	что такое	1	7
44	это не	5	7
45	и что	2	7
46	что и	4	7
47	с тем	1	7
48	этого слова	1	7
49	что если	1	6
50	независимо от	1	6
51	и к	7	6
52	в которой	2	6
53	человеческого духа	5	6
54	того как	3	6
55	мысль о	2	6
56	так и	4	6
57	что не	2	6
58	для того	5	6
59	такой степени	2	6
60	вместе с	2	6
61	и то	1	5
62	говорить о	1	5
63	не то	1	5
64	хотя и	2	5
65	бы и	5	5
66	как бы	8	5
67	должно быть	2	5
68	с ним	3	5
69	не имеет	4	5
70	находится в	1	5
71	к нему	2	5
72	так что	2	5
73	есть в	3	5
74	уже в	2	5
75	только тогда	1	5
76	в его	5	5
77	для него	18	5
78	не из	1	5
79	что же	2	5
80	все это	1	5
81	а в	2	5
82	а между	1	4
83	сам по	2	4
84	только потому	1	4
85	есть не	5	4
86	могли бы	1	4
87	думать что	4	4
88	для человека	3	4
89	что все	5	4
90	и с	3	4
91	его в	3	4
92	и тем	1	4
93	точки зрения	2	4
94	в котором	1	4
95	когда человек	2	4
96	сих пор	3	4
97	и более	1	4
98	того чтобы	4	4
99	со своим	2	4
100	в сознании	1	4
101	быть может	2	4
102	на вопрос	1	4
103	и та	2	4
104	что он	7	4
105	хотя бы	7	4
106	от того	3	4
107	до сих	3	4
108	но есть	1	4
109	быть названо	1	4
110	так же	6	4
111	в той	1	4
112	да и	2	4
113	и все	5	4
114	есть уже	4	4
115	между ними	1	4
116	есть то	1	4
117	по поводу	1	4
118	человека и	7	3
119	самом деле	1	3
120	на самом	1	3
121	и есть	8	3
122	той же	3	3
123	ответить на	1	3
124	еще до	1	3
125	и на	3	3
126	мысль что	4	3
127	в мысли	2	3
128	в действительности	2	3
129	в самом	5	3
130	формы в	1	3
131	все эти	1	3
132	бы не	2	3
