N	3gram	Medvedev_U_1	FransuaR
1	в том что	2	6
2	большей или меньшей	1	4
3	до сих пор	2	4
4	или меньшей степени	1	4
5	в большей или	1	4
6	литературы и искусства	1	3
7	в этом отношении	2	3
8	и прежде всего	1	3
9	не входит в	1	2
10	в значительной мере	1	2
11	и у других	1	2
12	и в частности	2	2
13	с одной стороны	1	2
14	можно сказать что	1	1
15	но прежде всего	1	1
16	для него не	1	1
17	а между тем	2	1
18	они в своей	1	1
19	имеем в виду	1	1
20	в самом деле	2	1
21	и не только	1	1
22	на первый план	1	1
23	идет не о	1	1
24	он знает только	1	1
25	то что было	1	1
26	все это в	1	1
27	тех или иных	2	1
28	но в то	1	1
29	по нашему мнению	3	1
30	и эта позиция	1	1
31	между тем в	1	1
32	не могут быть	2	1
33	с другой стороны	3	1
34	художественное творчество и	1	1
35	не может быть	4	1
36	то же время	3	1
37	никогда не может	1	1
38	мы имеем в	1	1
39	в частности с	1	1
40	в то же	3	1
41	но это не	1	1
42	оно все же	1	1
43	друг с другом	1	1
44	не только в	1	1
