N	2gram	Ircho_Kome_1	Myshleni
1	то что	2	26
2	в этом	3	25
3	что он	6	25
4	потому что	5	21
5	таким образом	8	19
6	точки зрения	4	18
7	в том	11	18
8	не может	2	18
9	того чтобы	1	17
10	не только	10	16
11	и в	22	16
12	того что	1	16
13	так как	4	16
14	что в	6	16
15	том что	12	15
16	понятий и	1	15
17	так же	3	15
18	для того	1	14
19	в сущности	2	13
20	сказать что	1	13
21	вопрос о	3	12
22	по отношению	3	12
23	в ходе	1	12
24	в области	2	12
25	и что	1	12
26	и не	8	12
27	отношению к	3	12
28	из того	1	11
29	отношение к	3	11
30	в его	5	11
31	развития и	1	11
32	но не	2	10
33	в силу	2	10
34	было бы	2	10
35	как мы	4	10
36	только в	3	10
37	в отношении	6	9
38	может быть	9	9
39	то же	6	8
40	в известном	2	8
41	как и	9	8
42	о том	8	8
43	он не	3	8
44	как это	3	8
45	же как	3	7
46	того же	2	7
47	представляет собой	1	7
48	в нем	4	7
49	но он	2	7
50	по себе	1	7
51	приводит к	1	7
52	так и	5	7
53	и на	3	6
54	но в	4	6
55	в этой	7	6
56	как он	1	6
57	связанные с	2	6
58	состоит в	1	6
59	в другом	4	6
60	но если	1	6
61	не в	6	6
62	для развития	1	6
63	что все	1	6
64	и следовательно	1	6
65	мы можем	4	6
66	у него	3	6
67	но и	11	6
68	в той	1	6
69	к тому	6	6
70	мы и	1	5
71	что они	4	5
72	как в	5	5
73	в своем	1	5
74	говорит что	1	5
75	в которой	6	5
76	на все	2	5
77	тому что	1	5
78	с ним	1	5
79	самого начала	1	5
80	в то	10	5
81	того как	3	5
82	ничего не	3	5
83	этом отношении	3	5
84	с самого	1	5
85	можно было	1	5
86	на вопрос	1	5
87	тот же	3	5
88	хотя бы	1	5
89	тем что	4	5
90	как бы	1	5
91	еще более	1	5
92	только что	2	5
93	не знает	1	5
94	как известно	2	4
95	отношений в	1	4
96	уже по	1	4
97	той же	1	4
98	ответить на	1	4
99	время как	4	4
100	к началу	1	4
101	а только	1	4
102	друг от	1	4
103	за пределы	2	4
104	в самом	2	4
105	при этом	5	4
106	подобно тому	1	4
107	и по	6	4
108	такой же	2	4
109	и другое	1	4
110	в самых	1	4
111	казалось бы	3	4
112	могут быть	3	4
113	же самое	2	4
114	от друга	1	4
115	еще не	2	4
116	не означает	1	4
117	в качестве	4	4
118	так что	1	4
119	то время	5	4
120	не могут	1	4
121	точек зрения	2	4
122	с другой	5	4
123	именно в	4	4
124	к которому	3	4
125	на этот	1	4
126	вместе с	2	4
127	тому как	1	4
128	в состоянии	2	4
129	далеко за	1	4
130	с этой	1	4
131	в целом	3	4
132	в результате	4	4
133	бы в	1	4
134	потребность в	1	4
135	связей и	1	4
136	в свою	2	4
137	по одному	2	4
138	этой точки	1	4
139	между двумя	1	3
140	к целому	1	3
141	мы не	3	3
142	говорить о	1	3
143	по своему	3	3
144	он может	1	3
145	если в	1	3
146	ответ на	1	3
147	с этим	1	3
148	все же	3	3
149	и как	3	3
150	в действительности	2	3
151	то в	1	3
152	он в	1	3
153	и тот	1	3
154	чем его	1	3
155	на этом	2	3
156	выходит далеко	1	3
157	и тем	2	3
158	с тем	1	3
159	мы видели	2	3
160	представляет себе	1	3
161	в этих	1	3
162	в их	4	3
163	сих пор	2	3
164	и более	1	3
165	из которых	2	3
166	не менее	3	3
167	до конца	2	3
168	больше чем	1	3
169	по своей	2	3
