N	2gram	Tiupa_Vved_1	Tragedij
1	и в	13	18
2	в романе	6	10
3	в этом	21	9
4	не только	20	8
5	он сам	1	7
6	и с	2	7
7	и на	3	7
8	может быть	18	7
9	как бы	4	7
10	и не	12	7
11	но в	6	6
12	и его	5	6
13	же время	3	6
14	что он	1	6
15	у него	1	6
16	то же	5	5
17	все же	6	5
18	что это	1	5
19	это не	6	5
20	как и	11	5
21	несмотря на	1	5
22	в то	4	5
23	так и	8	5
24	не может	7	5
25	еще не	7	4
26	в себе	5	4
27	в целом	3	4
28	в этой	1	4
29	в нем	5	4
30	об этом	4	4
31	том что	7	4
32	что я	1	4
33	и что	1	4
34	но и	19	4
35	и даже	1	4
36	прежде всего	7	4
37	так же	1	4
38	но это	3	4
39	все это	1	4
40	что в	3	4
41	и все	4	4
42	то что	6	4
43	в мире	8	3
44	и он	1	3
45	своего рода	10	3
46	отнюдь не	7	3
47	как в	4	3
48	в своем	5	3
49	все эти	1	3
50	при этом	26	3
51	то есть	8	3
52	тем самым	5	3
53	о чем	2	3
54	в поле	1	3
55	с ее	1	3
56	и сам	1	3
57	мог бы	1	3
58	с ним	3	3
59	к нему	1	3
60	в его	4	3
61	один из	3	3
62	уже в	1	3
63	для него	3	3
64	в конце	1	3
65	как будто	4	3
66	как это	1	3
67	в первом	2	2
68	и до	1	2
69	а как	1	2
70	никогда не	4	2
71	столь же	1	2
72	отношение к	2	2
73	отличие от	2	2
74	тут же	1	2
75	так что	1	2
76	о жизни	2	2
77	перед нами	6	2
78	имеет в	1	2
79	впечатление что	1	2
80	в самом	2	2
81	бы и	4	2
82	то и	2	2
83	жизнью и	1	2
84	он не	3	2
85	что она	1	2
86	что все	1	2
87	отца и	1	2
88	с тем	1	2
89	не мог	1	2
90	в ходе	2	2
91	в отличие	2	2
92	не в	6	2
93	но они	2	2
94	одна из	4	2
95	не имеет	2	2
96	он и	2	2
97	к тому	6	2
98	году в	1	2
99	но при	5	2
100	в ее	1	2
101	данном случае	6	2
102	ни как	2	2
103	еще в	2	2
104	как у	1	2
105	а что	1	2
106	о том	5	2
107	времени в	3	2
108	что и	2	2
109	в том	10	2
110	который в	2	2
111	между этими	1	2
112	и ее	1	2
113	уже не	5	2
114	в виде	1	2
115	не так	1	2
116	в одном	1	2
117	тем что	2	2
118	из мертвого	1	2
119	только к	1	2
120	до конца	3	2
121	в рассказе	6	2
122	было в	1	2
123	по контрасту	1	2
124	в данном	13	2
125	это уже	1	2
126	потому что	5	2
127	в частности	13	2
128	по поводу	2	2
129	в таком	1	2
130	одним из	5	1
131	например в	2	1
132	в сфере	1	1
133	рассказ об	1	1
134	и др	1	1
135	самом деле	3	1
136	к своей	1	1
137	должна быть	2	1
138	высшей степени	2	1
139	мать и	1	1
140	той же	1	1
141	в становлении	1	1
142	исследования в	1	1
143	не вполне	3	1
144	на себя	1	1
145	вместо того	2	1
146	событий и	1	1
147	в виду	1	1
148	подчеркнуть что	5	1
149	в ней	4	1
150	представляет собой	15	1
151	между собой	2	1
152	и мира	3	1
153	во всех	2	1
154	но не	5	1
155	могло быть	1	1
156	но как	1	1
157	в противовес	3	1
158	тогда как	10	1
159	в настоящем	2	1
160	к сожалению	1	1
161	в истории	1	1
162	писателя в	1	1
163	материалом для	1	1
164	в центре	2	1
165	опирается на	1	1
166	дистанция между	2	1
167	мысль о	1	1
168	и наконец	2	1
169	именно эта	1	1
170	то в	1	1
171	со своей	1	1
172	оттого что	2	1
173	он в	1	1
174	бы не	2	1
175	не самому	1	1
176	как он	2	1
177	и если	1	1
178	вообще не	1	1
179	что без	1	1
180	три года	1	1
181	так сказать	2	1
182	перестает быть	1	1
183	которой не	1	1
184	и еще	1	1
185	к одному	1	1
186	не к	4	1
187	не как	2	1
188	содержит в	1	1
189	и холодного	1	1
190	этом мире	1	1
191	и по	3	1
192	на этом	1	1
193	на свете	1	1
194	таким образом	4	1
195	здесь мы	1	1
196	же не	1	1
197	в финале	2	1
198	лишь в	2	1
199	известно что	1	1
200	быть не	4	1
201	в них	2	1
202	в высшей	2	1
203	этого персонажа	1	1
204	героини в	1	1
205	этого не	1	1
206	которой он	1	1
207	говорится о	1	1
208	нет своего	1	1
209	обратимся к	2	1
210	но если	1	1
211	в своей	5	1
212	в котором	8	1
213	не столько	4	1
214	должны были	2	1
215	стало быть	7	1
216	сам же	1	1
217	и вот	1	1
218	но он	1	1
219	тем не	3	1
220	того кто	1	1
221	по себе	2	1
222	тому что	1	1
223	в эпилоге	1	1
224	тексте в	1	1
225	не менее	4	1
226	вплоть до	1	1
227	такое время	2	1
228	на котором	1	1
229	того как	1	1
230	как его	2	1
231	облекается в	1	1
232	но только	1	1
233	это мы	1	1
234	судя по	2	1
235	представлялось что	1	1
236	и притом	1	1
237	по своей	3	1
238	для нас	2	1
239	и теперь	1	1
240	связи с	1	1
241	смысл этой	1	1
242	что на	2	1
243	в области	3	1
244	ли это	2	1
245	но все-таки	1	1
246	к себе	1	1
247	мы узнаем	1	1
248	могут быть	4	1
249	уже было	1	1
250	предысторию сюжета	1	1
251	его с	2	1
252	и т.д	5	1
253	указывает на	1	1
254	как мы	3	1
255	и о	1	1
