N	3gram	Tiupa_Anal_3	Myslijsy
1	в том что	7	16
2	по отношению к	7	5
3	сам по себе	1	5
4	по крайней мере	4	5
5	не в том	1	5
6	а в том	2	5
7	то же время	3	5
8	в то же	3	5
9	с другой стороны	5	4
10	по себе а	1	4
11	не есть ни	1	4
12	не только в	1	4
13	то есть не	1	4
14	не только по	1	3
15	до сих пор	1	3
16	что он не	1	3
17	с одной стороны	2	3
18	в произведении искусства	1	3
19	в свою очередь	4	3
20	само по себе	1	3
21	тем не менее	2	3
22	для того чтобы	1	3
23	не может быть	1	3
24	что и в	1	3
25	и может быть	1	2
26	а между тем	1	2
27	подобно тому как	2	2
28	том что он	2	2
29	в таком случае	1	2
30	в этом отношении	3	2
31	художественное произведение есть	1	2
32	в том чтобы	1	2
33	в первом случае	1	2
34	не могут быть	1	2
35	и той же	2	2
36	так и в	1	2
37	как и в	4	2
38	не только не	3	2
39	как бы ни	1	2
40	и в слове	1	2
41	с этой стороны	1	2
42	можно сказать что	2	2
43	одной и той	2	2
44	сама по себе	2	2
45	в себе не	1	2
46	не есть имя	1	1
47	в эту минуту	1	1
48	в свое время	2	1
49	в слове как	1	1
50	в одном слове	1	1
51	а потому и	1	1
52	не говоря уже	1	1
53	на самом деле	1	1
54	одной из этих	1	1
55	в самом деле	1	1
56	говоря уже о	1	1
57	к этому что	1	1
58	себе путь через	1	1
59	это далеко не	1	1
60	несмотря на свою	1	1
61	с ними в	1	1
62	до тех пор	1	1
63	значении этого слова	1	1
64	со всех сторон	1	1
65	что не есть	1	1
66	к субъекту и	1	1
67	в данном случае	3	1
68	и тот же	1	1
69	между тем в	1	1
70	а не как	1	1
71	так или иначе	1	1
72	и каждое из	1	1
73	лично для себя	1	1
74	по себе еще	1	1
75	для него самого	1	1
76	так и на	1	1
77	один и тот	1	1
78	в каждом отдельном	1	1
79	здесь не только	1	1
80	таким образом в	1	1
81	прибавим к этому	1	1
82	заключается в том	1	1
83	лишь в том	1	1
84	далеко не всегда	1	1
85	о том что	5	1
86	а и е	1	1
87	в связь с	1	1
88	состоит не в	1	1
89	может и не	1	1
90	друг от друга	1	1
91	тем более что	1	1
92	его как и	1	1
93	легко может быть	1	1
94	именно потому что	1	1
95	он не видит	1	1
96	не должно бы	1	1
97	здесь как и	1	1
98	к тому же	3	1
99	на наш взгляд	2	1
100	себе еще не	1	1
101	по его собственной	1	1
