N	3gram	Berdyaev_V_1	Psycholo
1	в том что	2	9
2	и т д	2	8
3	с другой стороны	1	5
4	как и в	1	4
5	в конце концов	1	3
6	то что я	2	2
7	в разные эпохи	1	2
8	вместе с тем	1	2
9	так и в	1	2
10	мы видим что	1	2
11	т д и	1	1
12	но прежде всего	1	1
13	другой стороны в	1	1
14	его к жизни	1	1
15	есть прежде всего	1	1
16	том что он	2	1
17	по сравнению с	1	1
18	с тем чтобы	1	1
19	конечно ни в	1	1
20	так как она	1	1
21	того что он	1	1
22	все что есть	3	1
23	потому что оно	1	1
24	в известном смысле	1	1
25	и в этом	1	1
26	и не было	1	1
27	не могут быть	1	1
28	он говорит что	1	1
29	на составные части	1	1
30	как бы в	1	1
31	вместо того чтобы	2	1
32	в нашу эпоху	1	1
33	и во всяком	1	1
34	и над ними	2	1
35	д и т	1	1
36	против того что	1	1
37	и вместе с	1	1
38	в вопросе о	2	1
39	вслед за ним	1	1
40	от него в	1	1
