N	3gram	Voloshinov_2	NovoeSre
1	в высшей степени	3	6
2	не может быть	10	4
3	лицом к лицу	1	3
4	он не может	1	2
5	в нем нет	2	2
6	с одной стороны	3	2
7	с другой стороны	1	2
8	ни одна из	1	2
9	и того же	4	1
10	а не к	2	1
11	а не в	2	1
12	одного и того	4	1
13	есть прежде всего	1	1
14	в том числе	1	1
15	не имеют никакого	1	1
16	до сих пор	3	1
17	и не может	3	1
18	для себя и	1	1
19	в зависимости от	2	1
20	сами по себе	1	1
21	в отличие от	3	1
22	но и в	2	1
23	том числе и	1	1
24	и не в	3	1
25	бытия в этом	1	1
26	не только в	1	1
27	к вопросу о	1	1
28	и в большинстве	1	1
29	не могут быть	1	1
30	во всяком случае	2	1
31	хотя и в	1	1
32	истину или ложь	1	1
33	становится в центре	1	1
34	о том что	3	1
35	оно должно идти	1	1
36	и пр в	1	1
37	в значительной степени	2	1
38	в большинстве случаев	5	1
39	это не есть	1	1
40	быть не может	1	1
41	в том что	6	1
42	добро и зло	1	1
43	как и в	1	1
44	бы он и	1	1
45	конечно не в	1	1
