N	2gram	Nazirov_Tv_1	formyVre
1	и в	21	50
2	то есть	12	33
3	в романе	10	32
4	в этом	6	25
5	в нем	3	24
6	человека в	6	17
7	и его	6	16
8	в литературе	2	16
9	прежде всего	4	15
10	и не	7	14
11	в его	13	13
12	вовсе не	5	13
13	как раз	1	13
14	так и	2	12
15	человека и	4	11
16	то же	13	11
17	мы уже	1	11
18	таким образом	5	11
19	может быть	5	11
20	и как	4	10
21	но в	7	10
22	времени и	4	10
23	с его	11	9
24	все эти	1	9
25	роль в	1	9
26	не только	7	9
27	в то	15	9
28	же время	12	9
29	в том	7	9
30	в конце	1	9
31	в других	1	9
32	и т	3	8
33	того же	2	8
34	и на	7	8
35	в самом	3	8
36	ни в	1	8
37	т п	2	8
38	жизни в	6	8
39	но и	3	8
40	и их	1	8
41	как и	12	8
42	жизни и	3	8
43	это время	2	7
44	так сказать	2	7
45	времени в	13	7
46	не было	1	7
47	героя и	2	7
48	время в	3	6
49	во всех	1	6
50	как в	8	6
51	с этим	1	6
52	все же	5	6
53	это не	4	6
54	и того	2	6
55	в их	3	6
56	так как	3	6
57	с ее	3	6
58	в ее	1	6
59	в дальнейшем	3	6
60	связи с	1	6
61	в жизни	2	6
62	у него	7	6
63	то что	8	6
64	в частности	2	6
65	не может	4	6
66	так же	3	6
67	и все	6	6
68	отношению к	1	5
69	и до	1	5
70	время как	1	5
71	еще не	1	5
72	но не	3	5
73	отнюдь не	5	5
74	и у	2	5
75	не в	2	5
76	он не	8	5
77	всех этих	1	5
78	значение в	1	5
79	с самим	1	5
80	жизни но	1	5
81	одного и	1	5
82	в основе	2	5
83	могут быть	2	5
84	но все	1	5
85	в образе	1	5
86	в пространстве	2	5
87	в связи	1	5
88	наряду с	1	5
89	и героини	1	5
90	в основном	4	5
91	что в	12	5
92	и другие	3	5
93	и это	1	4
94	этого мира	1	4
95	в ней	2	4
96	в своем	4	4
97	европейского романа	1	4
98	но на	1	4
99	на площади	2	4
100	и с	3	4
101	в них	1	4
102	том что	11	4
103	в котором	6	4
104	в процессе	1	4
105	не имеет	1	4
106	потому что	5	4
107	к себе	1	4
108	было и	1	4
109	жизнь и	1	4
