N	3gram	Berdyaev_M_1	Hudozhes
1	в том что	1	11
2	по отношению к	2	7
3	о том что	1	7
4	так и не	1	4
5	в самом деле	1	3
6	не может быть	17	3
7	для того чтобы	2	3
8	а не в	4	2
9	до сих пор	2	2
10	хотя бы и	2	2
11	и т п	1	2
12	можно было бы	1	2
13	как будто бы	2	2
14	не только в	2	2
15	на том что	1	1
16	нет и не	1	1
17	и это было	1	1
18	ни с какой	1	1
19	в ней все	1	1
20	человека а не	1	1
21	что он не	2	1
22	связывает его с	1	1
23	в том случае	1	1
24	определяется тем что	1	1
25	потому что сознание	1	1
26	между тем как	1	1
27	а иногда и	1	1
28	нет у него	1	1
29	не было ничего	1	1
30	на поверхности земли	2	1
31	том случае если	1	1
32	в них нет	2	1
33	в значительной степени	1	1
34	не несет в	1	1
35	утра до вечера	1	1
36	тем что он	2	1
37	в человеке и	2	1
38	и не было	1	1
39	то время как	2	1
40	не только для	1	1
41	и потому не	3	1
42	все более и	1	1
43	он уже не	2	1
44	я верю в	1	1
45	несет в себе	1	1
46	лишь в том	1	1
47	к ней в	1	1
48	на этом пути	2	1
49	и в том	1	1
50	как и всякая	1	1
51	человек и что	1	1
52	в котором она	1	1
53	в то время	2	1
54	них нет ничего	1	1
55	и в самом	3	1
56	с того что	1	1
57	более и более	1	1
58	ли может быть	2	1
59	ни с чем	1	1
60	образ человека в	1	1
61	как бы в	1	1
62	в самом центре	2	1
63	в себе самом	1	1
64	момент когда он	1	1
65	говорит о нем	1	1
66	с утра до	1	1
67	что и в	1	1
68	как ему казалось	1	1
