N	2gram	Nazirov_Vr_1	Marksizm
1	точки зрения	2	34
2	может быть	4	26
3	и не	5	26
4	не может	2	24
5	с точки	2	20
6	и в	8	19
7	и его	3	19
8	таким образом	2	17
9	в этом	8	16
10	как бы	4	15
11	в процессе	1	14
12	прежде всего	1	13
13	как и	6	12
14	так и	1	11
15	связи с	3	11
16	в нем	6	10
17	и т.п	2	10
18	в самом	1	10
19	для него	2	9
20	все же	6	8
21	не только	9	8
22	при этом	4	8
23	друг друга	1	8
24	до сих	1	8
25	но и	7	8
26	– это	6	8
27	сих пор	1	8
28	то что	7	8
29	во всех	1	7
30	в ее	1	7
31	но в	6	7
32	то же	5	7
33	в связи	3	7
34	так же	4	7
35	отнюдь не	2	6
36	ничего не	1	6
37	в его	3	6
38	в том	3	6
39	– не	1	6
40	с помощью	1	6
41	в основном	1	6
42	другой стороны	1	6
43	того же	1	6
44	по преимуществу	1	5
45	рядом с	2	5
46	одного и	1	5
47	ничего общего	1	5
48	и все	7	5
49	ясно что	1	5
50	в начале	6	5
51	в конце	3	5
52	с другой	1	5
53	именно в	1	5
54	до конца	1	5
55	мы знаем	2	5
56	к этому	3	5
57	во всяком	1	5
58	что слово	1	4
59	как в	1	4
60	не будем	1	4
61	выражение в	1	4
62	не будет	1	4
63	было бы	1	4
64	не менее	2	4
65	отражает и	1	4
66	в ней	4	4
67	еще не	2	4
68	от того	1	4
69	далеко не	3	4
70	как же	2	4
71	с этим	1	4
72	что же	1	4
73	в условиях	1	4
74	вне его	1	4
75	а в	2	4
76	отношении к	1	4
77	что в	7	4
78	и есть	1	3
79	высшей степени	1	3
80	в истории	4	3
81	целый ряд	4	3
82	и как	3	3
83	этот процесс	1	3
84	его в	3	3
85	он не	3	3
86	в высшей	1	3
87	том что	3	3
88	в своей	2	3
89	и ее	2	3
90	в котором	6	3
91	более того	1	3
92	место в	2	3
93	в то	5	3
94	не имеет	1	3
95	же время	5	3
96	этом отношении	1	3
97	не есть	1	3
98	и это	2	3
99	только при	1	3
100	конце концов	1	3
101	того что	1	3
102	быть и	1	3
103	между тем	5	3
104	из них	2	3
105	в каком	1	3
106	не было	5	3
107	на этот	1	3
108	все это	4	3
109	и от	1	3
110	нет ничего	1	3
111	он –	1	3
112	это и	1	3
113	одним из	3	2
114	же как	2	2
115	той же	1	2
116	содержания в	1	2
117	совпадает с	1	2
118	это отношение	1	2
119	и он	2	2
120	свою очередь	1	2
121	но при	1	2
122	первый план	1	2
123	в чем	3	2
124	одним словом	1	2
125	и всего	1	2
126	не все	1	2
127	не просто	1	2
128	и речи	1	2
129	как к	1	2
130	в своем	3	2
131	то в	1	2
132	в себе	2	2
133	как он	1	2
134	тем не	1	2
135	из него	1	2
136	человека в	3	2
137	никто из	1	2
138	конечно в	1	2
139	и с	6	2
140	бы в	1	2
141	этом смысле	1	2
142	на первый	2	2
143	или вообще	1	2
144	в русской	3	2
145	не могло	1	2
146	следовательно и	1	2
147	лишнего человека	8	2
148	одна из	2	2
149	иными словами	1	2
150	могут быть	1	2
151	во все	1	2
152	с ее	1	2
153	в виду	4	2
154	никогда не	2	2
155	и вообще	1	2
156	и даже	6	2
157	и т.д	1	2
158	о том	4	2
159	и руки	1	2
160	все в	1	2
161	и во	3	2
162	этот момент	2	2
163	в литературе	1	2
164	что он	4	2
165	в качестве	1	2
166	и их	1	2
167	всяком случае	1	2
168	как раз	2	2
169	тем что	3	2
170	вот в	1	2
171	одну из	1	2
172	не об	1	2
173	в частности	1	2
174	независимо от	1	2
175	из которых	1	2
176	для всех	1	2
177	и этот	1	2
178	в первой	1	2
179	тех пор	1	2
180	но для	1	2
181	в эти	2	2
182	в свою	2	2
183	в романе	6	2
184	из этого	1	2
185	пока не	1	2
186	жизни и	1	2
187	к этой	1	2
188	в своих	4	2
189	в таком	1	2
190	а между	1	1
191	от этой	1	1
192	также и	1	1
193	доступ в	1	1
194	и то	2	1
195	органическое единство	1	1
196	не хочет	1	1
197	этого в	1	1
198	свое место	1	1
199	из всех	1	1
200	постольку он	1	1
201	говорить о	1	1
202	в целом	1	1
203	на них	1	1
204	он сам	2	1
205	столь же	2	1
206	с его	3	1
207	а следовательно	1	1
208	совсем не	1	1
209	на основе	2	1
210	но как	2	1
211	ответ на	2	1
212	отношение к	2	1
213	лишние люди	1	1
214	идущий из	1	1
215	как говорит	1	1
216	для русской	1	1
217	его на	2	1
218	хотя и	1	1
219	и наконец	1	1
220	важно как	1	1
221	романе не	1	1
222	что это	1	1
223	в этой	2	1
224	в известном	2	1
225	во многих	1	1
226	но ведь	1	1
227	не могла	1	1
228	чтобы он	3	1
229	всех этих	1	1
230	дать лишь	1	1
231	ведь не	1	1
232	прочим и	1	1
233	пор мы	1	1
234	в россии	5	1
235	по всем	1	1
236	их в	2	1
237	нашего времени	2	1
238	в плане	1	1
239	– явление	1	1
240	же не	2	1
241	сознания своей	2	1
242	общественное положение	1	1
243	об этой	2	1
244	со своею	1	1
245	это не	4	1
246	после этого	2	1
247	лишних людей	2	1
248	еще в	1	1
249	может идти	1	1
250	быть объективным	1	1
251	во время	2	1
252	можно найти	1	1
253	этому же	1	1
254	вторая часть	1	1
255	далее в	1	1
256	что я	2	1
257	не должна	1	1
258	что есть	3	1
259	тем самым	1	1
260	знаком и	1	1
261	того как	1	1
262	из их	1	1
263	первая часть	1	1
264	того в	1	1
265	по своей	1	1
266	такая же	1	1
267	потому что	1	1
268	в духе	1	1
269	вошли в	1	1
270	отличается от	1	1
271	в особенности	1	1
272	только не	1	1
273	из двух	1	1
274	на нее	1	1
275	связан с	1	1
276	вошел в	1	1
277	имеется в	1	1
278	короче говоря	1	1
279	может в	1	1
280	единства и	1	1
281	о нем	6	1
282	и что	8	1
283	на страницах	1	1
284	идет о	1	1
285	ее и	1	1
286	но встреча	1	1
287	затем в	1	1
288	и лишь	1	1
289	к нему	1	1
290	говорить об	1	1
291	во всей	1	1
292	в форме	1	1
293	можно проследить	1	1
294	с большими	1	1
295	также в	1	1
296	в ту	1	1
297	а отношение	1	1
298	и борьбы	1	1
299	остается едва	1	1
300	пришел к	2	1
301	она правда	1	1
302	в предшествующей	1	1
303	от них	1	1
304	уже не	2	1
305	уже в	4	1
306	при помощи	2	1
307	искать в	1	1
308	в одном	1	1
309	от сознания	2	1
310	лишь один	1	1
311	– одна	1	1
312	все равно	1	1
313	романа в	1	1
314	что для	1	1
315	и самый	1	1
316	при участии	1	1
317	основу и	1	1
318	человек в	1	1
319	о чем	2	1
320	появились в	1	1
321	под влиянием	1	1
322	уже давно	1	1
323	материал и	1	1
324	ко всем	1	1
325	но не	1	1
326	влияния на	1	1
327	– понятие	1	1
328	в той	2	1
329	первое место	1	1
330	его жизни	1	1
331	свое первое	1	1
332	ли не	1	1
333	между прочим	1	1
334	в недрах	1	1
335	такое понимание	1	1
336	человек и	1	1
337	более всего	1	1
338	но вот	1	1
339	равно как	1	1
