N	2gram	Potebnia_M_2	TeoriaLi
1	не только	15	18
2	тогда как	10	16
3	и не	19	16
4	а в	8	14
5	состоит в	2	13
6	и в	24	13
7	то есть	30	12
8	так и	5	12
9	может быть	23	12
10	в этом	8	11
11	при этом	13	11
12	в том	18	11
13	но не	12	10
14	и его	2	10
15	а не	18	10
16	то же	12	9
17	в его	2	9
18	по отношению	2	8
19	в душе	23	8
20	но и	9	8
21	что в	16	8
22	отличие от	1	7
23	в себе	10	7
24	том что	8	7
25	в отличие	1	7
26	в то	6	7
27	по своей	1	7
28	во второй	1	7
29	только в	11	7
30	как это	2	7
31	еще не	4	6
32	с его	2	6
33	но в	4	6
34	в первой	1	6
35	лишь в	1	6
36	место в	4	6
37	же время	2	6
38	как бы	9	6
39	в самом	4	5
40	роли в	1	5
41	он не	1	5
42	как и	7	5
43	не в	13	5
44	тем самым	4	5
45	а а	2	5
46	в нем	9	5
47	в ее	1	5
48	между тем	6	5
49	уже не	4	5
50	с другой	6	5
51	как в	10	5
52	между ними	2	5
53	а и	5	4
54	отношение к	1	4
55	хотя и	3	4
56	то что	20	4
57	ни в	1	4
58	в слове	13	4
59	в ходе	1	4
60	в их	1	4
61	или менее	8	4
62	не столько	2	4
63	не менее	5	4
64	можно сказать	1	4
65	но он	2	4
66	в свою	6	4
67	сказать что	2	4
68	не может	12	4
69	более или	8	4
70	и то	3	3
71	между двумя	6	3
72	на две	2	3
73	например в	3	3
74	а только	8	3
75	в сторону	1	3
76	не все	2	3
77	перед нами	1	3
78	в противоположность	1	3
79	все эти	2	3
80	в нашем	2	3
81	он должен	1	3
82	и по	2	3
83	его в	3	3
84	этом смысле	2	3
85	мог бы	3	3
86	и сам	1	3
87	в этих	3	3
88	тем не	6	3
89	и внешней	1	3
90	никогда не	4	3
91	на меня	1	3
92	потому что	49	3
93	свою очередь	6	3
94	другой стороны	2	3
95	так в	4	3
96	в другом	2	3
97	и что	4	3
98	входит в	1	3
99	того что	7	3
100	а с	2	3
101	во времени	2	3
102	человека с	1	3
103	для него	10	3
104	слова в	5	3
105	именно в	1	3
106	и др	1	3
107	прежде всего	7	3
108	и потому	2	3
109	человека к	1	3
110	этого слова	6	3
111	к которому	2	3
112	таким образом	11	3
113	или в	2	3
114	отношении к	2	3
115	речи и	1	3
116	я и	1	2
117	была бы	1	2
118	отношения к	2	2
119	того же	14	2
120	и это	2	2
121	на деле	3	2
122	но она	3	2
123	принадлежит к	1	2
124	в целом	3	2
125	между собой	1	2
126	в чем	7	2
127	могло быть	1	2
128	значении этого	1	2
129	но как	1	2
130	у него	2	2
131	за пределы	2	2
132	что они	5	2
133	сама по	2	2
134	как к	1	2
135	и как	6	2
136	в которой	5	2
137	рассказ о	1	2
138	но на	2	2
139	к одному	1	2
140	одно и	2	2
141	не следует	1	2
142	могла бы	3	2
143	тем в	1	2
144	об этом	1	2
145	это не	3	2
146	и тем	3	2
147	вовсе не	9	2
148	и того	6	2
149	одного и	6	2
150	с точки	1	2
151	от себя	2	2
152	их в	2	2
153	зрения и	7	2
154	по себе	15	2
155	и притом	3	2
156	для меня	4	2
157	не могло	1	2
158	только не	1	2
159	вытекает из	2	2
160	слова как	1	2
161	этих двух	1	2
162	внутренней и	1	2
163	и для	3	2
164	следует признать	1	2
165	для такого	1	2
166	имеет место	2	2
167	не ограничивается	1	2
168	и о	1	2
169	подобных случаях	1	2
170	здесь не	1	2
171	в себя	2	2
172	что может	2	2
173	не с	3	2
174	мы в	3	2
175	если бы	11	2
176	и здесь	2	2
177	о том	5	2
178	что каждый	1	2
179	е о	1	2
180	времени в	1	2
181	это было	2	2
182	к нему	1	2
183	во всех	7	2
184	во втором	1	2
185	вслед за	3	2
186	существования в	2	2
187	с одной	4	2
188	этом что	1	2
189	в большинстве	1	2
190	со стороны	3	2
191	а именно	1	2
192	себя и	2	2
193	одной стороны	3	2
194	а на	1	2
195	мы легко	2	2
196	не на	2	2
197	вместе с	11	2
198	так же	2	2
199	жизни но	1	2
200	в той	1	2
201	могут быть	8	2
202	внешнего мира	4	2
203	к тому	1	2
204	собственно говоря	1	2
205	имеет в	1	2
206	что он	4	2
207	у и	2	2
208	себе никаких	1	1
209	а между	4	1
210	также что	2	1
211	говоря о	3	1
212	те же	3	1
213	таком случае	2	1
214	человека и	3	1
215	и души	1	1
216	зависимые от	1	1
217	и есть	2	1
218	тем же	3	1
219	к другому	4	1
220	отношения между	2	1
221	и до	1	1
222	сливается с	1	1
223	одним из	1	1
224	со всех	1	1
225	той же	3	1
226	по произволу	1	1
227	не во	2	1
228	содержания в	1	1
229	говоря и	1	1
230	вопрос о	2	1
231	из своих	1	1
232	единство и	1	1
233	чтобы не	1	1
234	все и	1	1
235	человек должен	1	1
236	но чтобы	1	1
237	которое в	1	1
238	к общему	4	1
239	не от	5	1
240	и на	8	1
241	на них	1	1
242	на их	1	1
243	столь же	5	1
244	бы то	1	1
245	связи между	1	1
246	тем как	2	1
247	совсем не	2	1
248	внутренняя форма	4	1
249	по числу	1	1
250	для обозначения	2	1
251	для других	1	1
252	если в	3	1
253	с собою	1	1
254	значение для	1	1
255	обнаруживается при	1	1
256	на то	5	1
257	в истории	1	1
258	всего к	1	1
259	мере в	1	1
260	независимо от	9	1
261	если на	2	1
262	что касается	1	1
263	могли бы	2	1
264	что по	1	1
265	духа и	1	1
266	и свою	1	1
267	при чтении	2	1
268	то в	1	1
269	к чему	1	1
270	в условиях	1	1
271	что это	3	1
272	он в	1	1
273	из этих	4	1
274	одном случае	1	1
275	в известном	1	1
276	с их	1	1
277	не приводит	1	1
278	нас на	2	1
279	имеем в	1	1
280	ее как	1	1
281	в наших	1	1
282	его личным	1	1
283	что одна	1	1
284	вместо ожидаемого	1	1
285	что она	3	1
286	о а	1	1
287	том в	1	1
288	время и	2	1
289	при виде	3	1
290	первой части	1	1
291	свою собственную	1	1
292	отношений между	3	1
293	на земле	1	1
294	чтобы в	1	1
295	поэтому оно	2	1
296	впечатление в	2	1
297	подобно тому	4	1
298	как более	1	1
299	ни был	2	1
300	то ни	1	1
301	не будет	1	1
302	что все	2	1
303	различие между	1	1
304	которыми он	1	1
305	том случае	1	1
306	сознание не	1	1
307	времени и	1	1
308	большинстве случаев	1	1
309	теми которые	1	1
310	было бы	13	1
311	но их	1	1
312	менее определенным	1	1
313	делает его	1	1
314	жизни что	1	1
315	внутреннее и	1	1
316	в них	5	1
317	рядом с	3	1
318	чем выше	1	1
319	с тем	4	1
320	не всегда	1	1
321	быть так	1	1
322	в чистом	1	1
323	но если	2	1
324	от своего	1	1
325	другим и	3	1
326	или точнее	1	1
327	таким же	1	1
328	в такой	1	1
329	и без	1	1
330	узнает в	1	1
331	в котором	4	1
332	которое должно	1	1
333	не как	3	1
334	оно стало	1	1
335	вопрос кто	1	1
336	той мере	1	1
337	но эта	1	1
338	втором случае	1	1
339	но во	3	1
340	друг другу	1	1
341	и более	1	1
342	из виду	1	1
343	и наоборот	5	1
344	не должно	2	1
345	между несколькими	1	1
346	остановимся на	2	1
