N	3gram	Potebnia_M_1	Hudozhes
1	в том что	13	11
2	о том что	1	7
3	по отношению к	13	7
4	подобно тому как	3	4
5	в то же	3	4
6	то же время	3	4
7	к тому что	2	4
8	с одной стороны	3	3
9	как и в	2	3
10	для того чтобы	2	3
11	а между тем	3	3
12	тем не менее	6	3
13	но при этом	1	3
14	не может быть	9	3
15	внешним и внутренним	1	2
16	так же как	1	2
17	между внешним и	1	2
18	и в этом	6	2
19	не только не	2	2
20	но тем не	3	2
21	и т п	2	2
22	можно было бы	1	2
23	что все они	1	2
24	не только в	3	2
25	и т д	4	2
26	только тем что	1	2
27	только в том	6	2
28	с точки зрения	3	2
29	а не в	1	2
30	до сих пор	1	2
31	жизни как бы	1	1
32	заключается в том	1	1
33	не только для	2	1
34	а в том	3	1
35	что человек есть	1	1
36	только на себе	1	1
37	с самого начала	3	1
38	во что бы	1	1
39	в таком случае	2	1
40	в одном из	1	1
41	не в состоянии	1	1
42	между тем в	1	1
43	бы то ни	2	1
44	точно так же	1	1
45	человеке и в	1	1
46	так а не	1	1
47	было бы так	1	1
48	как одно из	1	1
49	и необходимости в	2	1
50	и в том	3	1
51	но и для	2	1
52	и при этом	2	1
53	что бы то	1	1
54	со стороны других	2	1
55	давно уже известно	1	1
56	между тем как	1	1
57	что не только	2	1
58	что и в	3	1
59	но с другой	2	1
60	то ни стало	1	1
61	в голову что	1	1
62	то и другое	2	1
63	что несмотря на	1	1
64	ни одна не	1	1
65	легко может быть	1	1
66	лишь в том	1	1
67	в то время	1	1
68	и то и	1	1
69	но и самого	1	1
70	что если бы	1	1
71	то и в	2	1
72	с нею в	1	1
73	когда в душе	1	1
74	но вслед за	1	1
75	для нас хотя	1	1
76	в этом отношении	1	1
77	из виду что	1	1
78	и в жизни	1	1
79	мысли и чувства	1	1
80	в себе самом	1	1
81	он не нуждается	1	1
82	это не более	1	1
83	после того как	1	1
84	но все же	1	1
85	зрения на мир	1	1
86	в ответ на	1	1
87	которого не могло	1	1
88	не следует что	1	1
89	что на деле	1	1
90	с другой стороны	5	1
91	дело в том	2	1
92	но то что	1	1
93	на том что	1	1
94	и все же	1	1
95	друг от друга	2	1
96	того на что	1	1
97	т с в	2	1
98	в первом случае	1	1
99	вопроса а как	1	1
100	не нуждается в	2	1
101	более и более	2	1
102	все более и	2	1
103	если бы не	2	1
104	это было бы	1	1
105	как и всякая	1	1
106	в человеке и	1	1
107	и потому не	1	1
108	может быть подвергнуто	1	1
