N	3gram	Tiupa_Anal_1	Myslijsy
1	в том что	9	16
2	только тогда когда	1	7
3	смысле этого слова	1	7
4	сам по себе	1	5
5	в то же	8	5
6	не в том	3	5
7	одно и то	1	5
8	по крайней мере	1	5
9	и то же	1	5
10	по отношению к	5	5
11	то же время	6	5
12	не только в	1	4
13	вместе с тем	1	4
14	с другой стороны	2	4
15	но и в	2	4
16	с одной стороны	3	3
17	до сих пор	1	3
18	более или менее	1	3
19	в свою очередь	1	3
20	только в том	1	3
21	далеко не все	1	3
22	в произведении искусства	3	3
23	для того чтобы	3	3
24	не может быть	16	3
25	не могут быть	2	2
26	в том же	1	2
27	в таком случае	3	2
28	одной и той	1	2
29	как и в	1	2
30	в собственном смысле	1	2
31	и т п	3	2
32	к тому что	1	2
33	в этом последнем	1	2
34	или лучше сказать	1	2
35	возможно только в	1	2
36	в первом случае	2	2
37	не следует однако	1	2
38	форма в которой	1	2
39	этого слова в	1	2
40	и той же	1	2
41	упускать из виду	1	2
42	то что мы	1	2
43	того что мы	1	2
44	подобно тому как	3	2
45	и в самом	1	2
46	не говоря о	1	2
47	в этом отношении	2	2
48	том что он	2	2
49	в том чтобы	7	2
50	слово есть выражение	1	1
51	о том что	3	1
52	и тот же	1	1
53	в том виде	1	1
54	и тем самым	1	1
55	все равно он	1	1
56	что даже в	1	1
57	тем самым и	1	1
58	на наш взгляд	6	1
59	в том случае	1	1
60	что в произведении	1	1
61	та и другая	1	1
62	друг с другом	1	1
63	не заставит нас	1	1
64	всякое понимание есть	1	1
65	внутреннего и внешнего	2	1
66	до тех пор	1	1
67	связь с другими	1	1
68	того что в	2	1
69	состоит не в	1	1
70	из того что	3	1
71	один и тот	1	1
72	не сам по	1	1
73	бы оно ни	1	1
74	равно как и	1	1
75	здесь как и	1	1
76	в противном случае	1	1
77	к тому же	4	1
78	что как бы	1	1
79	я в себе	1	1
80	могли бы быть	2	1
81	и та и	1	1
82	однако с точки	1	1
83	самом деле в	1	1
84	и та же	1	1
85	есть не столько	1	1
86	то же самое	2	1
87	вместе с ним	2	1
88	лишь в том	3	1
89	на первый взгляд	1	1
90	чтобы вместе с	1	1
91	однако в силу	1	1
92	того и другого	2	1
93	уже потому что	1	1
94	только не следует	1	1
95	в себе все	1	1
96	далеко не всегда	2	1
97	каков бы ни	1	1
98	говоря уже о	1	1
99	между тем в	1	1
100	сами по себе	2	1
101	что не есть	1	1
102	в самом деле	2	1
103	в художественном произведении	1	1
104	одна и та	1	1
105	в данном случае	2	1
106	поэтому всякое понимание	1	1
107	значении этого слова	6	1
108	не говоря уже	1	1
109	быть не может	3	1
110	самим по себе	1	1
111	а не в	3	1
112	а вместе с	1	1
113	того о ком	1	1
114	в свое время	2	1
115	и таким образом	1	1
116	бы ни был	1	1
