1	о том что	5	9
2	и т п	1	8
3	по отношению к	1	8
4	в том что	4	6
5	к тому что	1	4
6	в этой связи	1	4
7	можно было бы	1	4
8	в самом деле	1	4
9	с точки зрения	1	3
10	тем не менее	4	3
11	в связи с	1	3
12	и т д	16	3
13	в предыдущей главе	1	3
14	как и в	2	3
15	только в том	1	2
16	до сих пор	2	2
17	не только в	5	2
18	о том как	1	2
19	не может быть	3	2
20	что он не	1	2
21	что у него	4	2
22	во второй половине	1	2
23	ту или иную	1	2
24	мы уже знаем	3	2
25	не согласиться с	1	2
26	на то чтобы	2	2
27	только потому что	1	2
28	то и другое	1	2
29	в этом а	1	1
30	и потому что	1	1
31	в иных случаях	1	1
32	на первый взгляд	4	1
33	и она не	1	1
34	так и в	2	1
35	тогда как в	1	1
36	здесь прежде всего	1	1
37	одна и та	1	1
38	в противоречие с	1	1
39	то же самое	1	1
40	уже знаем что	2	1
41	по своим результатам	1	1
42	от солнца и	1	1
43	и та же	1	1
44	в одной из	2	1
45	в первый раз	1	1
46	с этой точки	3	1
47	же как и	1	1
48	в чистом виде	1	1
49	он вспоминает о	1	1
50	она не может	1	1
51	с того что	3	1
52	этом а в	1	1
53	более или менее	1	1
54	в плену у	1	1
55	в ответ на	3	1
56	на том что	1	1
57	не в этом	1	1
58	с одной стороны	4	1
59	в данном случае	3	1
60	а в том	2	1
61	но все же	2	1
62	состоит в том	1	1
63	и в конце	1	1
64	и то и	1	1
65	и что в	1	1
66	ответить на вопрос	1	1
67	к себе и	2	1
68	все дело в	1	1
69	не только на	1	1
70	на вопрос что	1	1
71	этой точки зрения	3	1
72	не хотелось бы	1	1
73	не в его	1	1
74	все же не	1	1
