N	3gram	Tiupa_Lite_1	slovoVRo
1	то же время	5	12
2	в то же	5	12
3	с точки зрения	2	8
4	в большинстве случаев	1	6
5	в отношении к	1	6
6	во всяком случае	2	5
7	с одной стороны	2	4
8	с другой стороны	1	4
9	единого и единственного	1	4
10	но в то	1	4
11	в зависимости от	1	3
12	в данном случае	4	3
13	не выходит за	1	3
14	бы ни были	1	2
15	до сих пор	1	2
16	в лучшем случае	1	2
17	не только в	4	2
18	и в этом	1	2
19	в евгении онегине	1	2
20	а не как	1	2
21	в свою очередь	1	2
22	в пределах одной	1	2
23	не только на	1	2
24	можно было бы	1	2
25	не исключают друг	1	1
26	в виду не	2	1
27	исключают друг друга	1	1
28	прежде всего в	3	1
29	дело в том	2	1
30	одним из существеннейших	1	1
31	максим максимыч в	1	1
32	глубокое различие между	1	1
33	в отличие от	5	1
34	бы то ни	1	1
35	в этом отношении	2	1
36	по аналогии с	3	1
37	себе самому и	1	1
38	с этой точки	3	1
39	по крайней мере	1	1
40	в сущности только	1	1
41	и в частности	1	1
42	не могло быть	2	1
43	в значительной степени	1	1
44	а как бы	1	1
45	становится одним из	1	1
46	то ни было	1	1
47	жизни но и	1	1
48	на задний план	1	1
49	а также и	1	1
50	не столько в	1	1
51	так или иначе	8	1
52	о себе как	1	1
53	автора и его	1	1
54	обычно квалифицируются как	1	1
55	в различных его	1	1
56	каковы бы ни	1	1
57	не может быть	1	1
58	тем не менее	2	1
59	о том что	2	1
60	адекватного подхода к	1	1
61	этой точки зрения	3	1
62	с самого начала	1	1
63	никогда не бывает	1	1
64	и прежде всего	3	1
65	себе как бы	1	1
66	себя в них	1	1
67	тех или иных	1	1
68	оттесняет на задний	1	1
69	в том что	11	1
70	произведение в целом	1	1
71	в основе этой	1	1
