N	2gram	Tiupa_Hudo_1	PoTuStor
1	может быть	5	17
2	и в	14	16
3	в этом	11	9
4	и только	1	9
5	прежде всего	11	9
6	и с	4	8
7	точки зрения	5	8
8	и его	5	8
9	не может	7	8
10	с его	5	7
11	не только	12	7
12	сказать что	1	7
13	я и	2	6
14	самом деле	5	6
15	при этом	12	6
16	с точки	3	6
17	и это	4	6
18	для него	10	6
19	и к	4	6
20	еще не	7	5
21	в чем	1	5
22	отношение к	1	5
23	все эти	3	5
24	только для	2	5
25	ни в	5	5
26	в него	2	5
27	как бы	7	5
28	на самом	2	4
29	и ее	1	4
30	и на	3	4
31	отнюдь не	3	4
32	но в	5	4
33	в этой	8	4
34	в нем	3	4
35	его в	3	4
36	мысли и	1	4
37	все это	2	4
38	самого начала	1	4
39	как мы	3	4
40	с ее	2	4
41	с самого	1	4
42	так и	13	4
43	но мы	1	4
44	можно сказать	4	4
45	в его	8	4
46	с ними	2	4
47	только в	5	4
48	так как	1	4
49	и даже	3	4
50	но и	5	4
51	и не	2	4
52	и все	4	4
53	хотя бы	1	4
54	все что	1	4
55	тех же	1	3
56	едва ли	3	3
57	во всех	1	3
58	в общем	1	3
59	и как	1	3
60	на две	1	3
61	мы полагаем	1	3
62	и вот	1	3
63	их в	1	3
64	на этом	3	3
65	на этой	1	3
66	этом смысле	1	3
67	том что	16	3
68	сих пор	2	3
69	в одном	1	3
70	в основе	1	3
71	до сих	2	3
72	чем не	1	3
73	к себе	5	3
74	в конечном	2	3
75	и она	1	3
76	в том	12	3
77	только на	2	3
78	мы знаем	2	3
79	всяком случае	1	3
80	даже не	1	3
81	и др	1	3
82	и потому	2	3
83	как это	1	3
84	могут быть	1	3
85	матери и	2	3
86	что в	6	3
87	в этих	5	3
88	а в	7	3
89	то что	8	3
90	жизни и	5	3
91	во всяком	1	3
92	же как	2	2
93	нам кажется	1	2
94	в самом	4	2
95	и этот	1	2
96	мы уже	4	2
97	мы не	2	2
98	и о	4	2
99	говорить о	3	2
100	что можно	1	2
101	на них	1	2
102	из этих	1	2
103	совсем не	1	2
104	но как	2	2
105	конечном счете	2	2
106	нет и	1	2
107	с этим	3	2
108	в этот	1	2
109	но ведь	1	2
110	современной ему	1	2
111	вообще не	1	2
112	он не	4	2
113	и по	3	2
114	то же	9	2
115	по своему	3	2
116	было бы	6	2
117	в жизни	1	2
118	как и	9	2
119	между собою	1	2
120	на первый	1	2
121	в своей	10	2
122	знаем что	1	2
123	не менее	5	2
124	в науке	1	2
125	никогда не	6	2
126	сводится к	1	2
127	что на	2	2
128	не могут	1	2
129	что оно	1	2
130	на основе	2	2
131	в пределах	3	2
132	по аналогии	1	2
133	быть может	7	2
134	с ним	4	2
135	находится в	1	2
136	о том	12	2
137	для нас	1	2
138	путь к	1	2
139	один из	4	2
140	что он	9	2
141	и так	2	2
142	поэтому и	2	2
143	есть в	1	2
144	да еще	1	2
145	в итоге	1	2
146	в начале	2	2
147	при всей	2	2
148	у него	9	2
149	и т.п	1	2
150	себя и	2	2
151	что не	2	2
152	не на	1	2
153	что мы	1	2
154	в частности	5	2
155	в мир	1	2
156	с этой	2	2
157	в свое	1	2
158	своей жизни	2	2
159	человеческого поведения	1	2
160	но это	1	2
161	к другим	1	2
162	и для	3	2
163	в голову	1	2
164	это делает	1	2
165	не знает	2	2
166	можно назвать	1	2
167	они не	2	2
168	говоря о	2	1
169	человека и	1	1
170	мы здесь	1	1
171	и то	1	1
172	и подробно	1	1
173	словами и	1	1
174	это и	1	1
175	другому человеку	2	1
176	под которым	1	1
177	не имеют	3	1
178	высшей степени	1	1
179	века в	1	1
180	его не	1	1
181	к нашей	1	1
182	вопрос о	2	1
183	одних и	1	1
184	пока только	1	1
185	не слишком	1	1
186	выражение они	1	1
187	я не	1	1
188	целого в	1	1
189	же что	1	1
190	в ней	4	1
191	а другие	1	1
192	столь же	4	1
193	что его	1	1
194	этим не	1	1
195	чем это	1	1
196	но не	3	1
197	отказ от	2	1
198	с самой	1	1
199	с совершенно	1	1
200	в свои	1	1
201	что они	1	1
202	к сожалению	1	1
203	в море	2	1
204	в центре	4	1
205	первый взгляд	1	1
206	в рамках	2	1
207	общего с	1	1
208	дает нам	1	1
209	она как	1	1
210	как нам	2	1
211	все же	3	1
212	однако не	1	1
213	в полном	1	1
214	хотя и	2	1
215	когда он	1	1
216	может во	1	1
217	не являются	1	1
218	от этого	1	1
219	к чему	1	1
220	уже не	7	1
221	лежит на	2	1
222	та же	4	1
223	точку зрения	1	1
224	и следа	1	1
225	как он	2	1
226	сказал я	1	1
227	во многих	1	1
228	по мнению	5	1
229	на его	2	1
230	что она	4	1
231	не следует	2	1
232	главным образом	1	1
233	но именно	1	1
234	другом человеке	1	1
235	развития личности	1	1
236	различные формы	1	1
237	душу и	1	1
238	наших глазах	1	1
239	свое время	1	1
240	человека в	6	1
241	по его	1	1
242	от нее	1	1
243	то ни	1	1
244	а то	2	1
245	различие между	1	1
246	в мире	3	1
247	той же	2	1
248	вклад в	1	1
249	лишь в	3	1
250	входит в	1	1
251	ничего удивительного	1	1
252	может стать	1	1
253	уже знаем	2	1
254	истории и	1	1
255	весь мир	1	1
256	за ней	1	1
257	мы считаем	1	1
258	поведения и	1	1
259	не чем	1	1
260	для них	1	1
261	в самую	1	1
262	с тем	1	1
263	как кажется	2	1
264	этим и	1	1
265	одна и	1	1
266	несмотря на	4	1
267	и того	1	1
268	смысл и	1	1
269	лучше всего	1	1
270	основной тон	1	1
271	от своего	1	1
272	и духовную	1	1
273	в следующем	2	1
274	к предмету	1	1
275	отождествление с	1	1
276	что я	2	1
277	не будем	1	1
278	друг другу	1	1
279	иным как	1	1
280	это сознание	1	1
281	однако в	2	1
282	на всю	1	1
283	человека но	1	1
284	существует для	1	1
285	и внешней	1	1
286	на работу	1	1
287	иной раз	1	1
288	в смысле	1	1
289	дело в	1	1
290	одна из	2	1
291	в сущности	1	1
292	каждый день	1	1
293	в самых	1	1
294	того чтобы	3	1
295	для всего	2	1
296	только не	1	1
297	не имеет	2	1
298	и всегда	1	1
299	ничего не	8	1
300	эта сторона	1	1
301	этих двух	1	1
302	всего на	1	1
303	в ком	1	1
304	наблюдения но	1	1
305	связи с	4	1
306	ничто не	1	1
307	в виду	1	1
308	потом в	1	1
309	с другом	1	1
310	или только	1	1
311	в духе	4	1
312	а три	1	1
313	мы узнаем	4	1
314	же самое	1	1
315	вероятно уже	1	1
316	к тому	7	1
317	узнаем о	1	1
318	для его	1	1
319	она же	1	1
320	что при	3	1
321	на это	1	1
322	она не	4	1
323	как известно	1	1
324	ничего общего	1	1
325	опираясь на	1	1
326	из всего	1	1
327	данном случае	1	1
328	характер и	2	1
329	вообще по	1	1
330	в себя	2	1
331	говорили что	1	1
332	приводит к	3	1
