N	3gram	Savitsky_E_1	Problemy
1	в пределах одного	1	9
2	с точки зрения	16	8
3	в большинстве случаев	2	8
4	то же время	14	5
5	в то же	15	5
6	в отличие от	1	4
7	не может быть	2	4
8	друг с другом	3	4
9	и т д	1	4
10	в той или	3	3
11	более или менее	1	3
12	можно было бы	3	3
13	к тому же	1	3
14	с другой стороны	2	3
15	но в то	2	3
16	той или иной	4	3
17	хотя и не	1	2
18	которая как мы	1	2
19	как нам кажется	5	2
20	в этом смысле	3	2
21	нам кажется что	2	2
22	слова т е	1	2
23	и та же	1	2
24	на этот вопрос	1	2
25	и в этих	1	2
26	может быть и	1	2
27	в отношении к	12	2
28	то время как	1	2
29	друг к другу	1	2
30	одна и та	1	2
31	в то время	1	2
32	на то что	2	2
33	друг от друга	2	2
34	себе не только	1	1
35	в этом мире	1	1
36	иначе обстоит дело	2	1
37	он сам и	1	1
38	же время не	1	1
39	прежде всего в	2	1
40	дело в том	1	1
41	большей или меньшей	1	1
42	также и в	1	1
43	в том числе	1	1
44	кажется что в	1	1
45	в том же	1	1
46	одной стороны и	6	1
47	же как и	3	1
48	хотя бы и	3	1
49	и ту же	1	1
50	бы то ни	4	1
51	но и в	1	1
52	том числе и	1	1
53	или иной степени	1	1
54	но и эта	1	1
55	рано или поздно	2	1
56	почти никогда не	1	1
57	и не в	1	1
58	в значительной степени	1	1
59	между тем с	1	1
60	в которых может	1	1
61	дело идет о	2	1
62	то ни было	4	1
63	с одной стороны	8	1
64	на этот раз	1	1
65	смысле этого слова	1	1
66	в связи с	1	1
67	каких бы то	2	1
68	в большей или	1	1
69	или меньшей степени	1	1
70	или в отношении	1	1
71	во всяком случае	3	1
72	до настоящего времени	1	1
73	о которых мы	1	1
74	вместо того чтобы	1	1
75	ней в ее	1	1
76	так и в	2	1
77	не может не	1	1
78	само по себе	4	1
79	в одном из	2	1
80	мы можем сказать	2	1
81	этой точки зрения	5	1
82	обстоит дело в	2	1
83	и в идеологическом	1	1
84	между ними и	2	1
85	можно сказать что	3	1
86	и в характере	1	1
87	в известной степени	3	1
88	но не в	1	1
89	одну и ту	1	1
90	в том что	6	1
91	и до настоящего	1	1
92	с такими же	1	1
93	можем сказать что	1	1
94	мы увидим что	1	1
