N	2gram	Vinokur_Ku_3	VelikijI
1	и не	10	20
2	и в	23	16
3	так как	9	9
4	то что	4	9
5	еще не	9	8
6	что они	2	7
7	а не	11	7
8	и потому	1	7
9	не есть	3	6
10	на себя	2	5
11	но и	3	5
12	того что	11	5
13	хотя и	5	5
14	все это	2	5
15	что есть	2	5
16	как бы	5	5
17	и есть	5	4
18	говорить о	6	4
19	в его	11	4
20	и я	2	4
21	в этом	16	4
22	что он	6	4
23	потому что	12	4
24	так и	6	4
25	что все	2	4
26	что не	4	4
27	как и	5	4
28	что мы	2	4
29	в котором	2	4
30	в ней	3	4
31	это еще	2	4
32	они будут	1	4
33	все что	1	4
34	и что	7	3
35	должна быть	3	3
36	нас и	1	3
37	хотя бы	9	3
38	то это	3	3
39	как не	1	3
40	лишь в	8	3
41	в чем	5	3
42	что и	6	3
43	и будет	1	3
44	в том	22	3
45	тот же	6	3
46	но в	2	3
47	в вопросе	1	3
48	бы и	3	3
49	по этому	1	3
50	все эти	7	3
51	за ним	1	3
52	от которого	1	3
53	тех которые	1	3
54	в своей	4	3
55	и мы	1	3
56	ни в	3	3
57	не было	4	3
58	должно быть	7	3
59	если не	1	3
60	в этих	2	3
61	что во	1	3
62	что я	1	3
63	не в	5	3
64	тому что	4	3
65	но это	5	3
66	не имеет	3	3
67	никогда не	1	3
68	их от	1	3
69	превращается в	1	3
70	и для	1	3
71	что ты	1	3
72	к тому	3	3
73	что в	13	3
74	того чтобы	11	2
75	и то	1	2
76	но мы	2	2
77	и т	54	2
78	можно было	11	2
79	мы не	3	2
80	когда в	2	2
81	и новые	1	2
82	в последнем	1	2
83	будет уже	3	2
84	между тем	4	2
85	нет и	1	2
86	вслед за	1	2
87	которые не	1	2
88	не с	2	2
89	только в	6	2
90	конечно не	2	2
91	уже не	8	2
92	не только	17	2
93	не так	3	2
94	для него	1	2
95	не к	1	2
96	вот почему	1	2
97	тем что	5	2
98	на том	2	2
99	не будет	1	2
100	так не	1	2
101	это не	3	2
102	т д	8	2
103	а с	3	2
104	прежде всего	9	2
105	все равно	1	2
106	с тем	6	2
107	мы и	1	2
108	один из	4	2
109	вопросе о	2	2
110	когда я	1	2
111	более чем	2	2
112	я говорю	1	2
113	теперь только	1	2
114	не могут	5	2
115	мир и	1	2
116	в смысл	1	2
117	было еще	1	2
118	уже на	1	2
119	так много	1	2
120	том что	11	2
121	для нас	4	2
122	полного и	1	2
123	от него	1	2
124	и соединения	1	2
125	есть уже	1	2
126	давно уже	1	2
127	а в	5	2
128	но не	3	2
129	могут быть	6	2
130	всего в	1	2
131	во всяком	2	2
132	если б	1	1
133	речь идет	3	1
134	как мы	5	1
135	в виду	8	1
136	свободно и	1	1
137	пусть не	1	1
138	в ее	4	1
139	ни стало	1	1
140	которой так	1	1
141	в словах	1	1
142	не имеют	1	1
143	значение в	2	1
144	мы будем	1	1
145	то же	6	1
146	да мы	1	1
147	из всего	2	1
148	в результате	3	1
149	это только	1	1
150	вопрос о	11	1
151	ей все	1	1
152	я не	5	1
153	и ее	1	1
154	же что	1	1
155	зависимости от	8	1
156	думаю что	1	1
157	в их	6	1
158	и на	1	1
159	после того	6	1
160	бы то	1	1
161	отказ от	1	1
162	к нему	1	1
163	ко всякому	1	1
164	но как	3	1
165	ее от	1	1
166	от них	1	1
167	утверждения ее	1	1
168	могут и	2	1
169	менее всего	1	1
170	а потому	2	1
171	тогда как	1	1
172	не просто	2	1
173	крайней мере	1	1
174	если за	1	1
175	что бы	1	1
176	во что	1	1
177	это самое	2	1
178	ты с	1	1
179	как в	4	1
180	в своем	4	1
181	известном смысле	2	1
182	самого факта	1	1
183	все же	5	1
184	несут уже	1	1
185	но с	1	1
186	д и	1	1
187	уже сказано	1	1
188	сделать это	1	1
189	в двух	2	1
190	идет по	1	1
191	мы видим	1	1
192	с ними	1	1
193	напоминает о	1	1
194	нельзя более	1	1
195	мы увидим	1	1
196	от смысла	1	1
197	и так	1	1
198	со своей	1	1
199	в самом	13	1
200	идет конечно	1	1
201	у них	1	1
202	в которой	1	1
203	образа в	1	1
204	что это	3	1
205	в целом	4	1
206	в известном	2	1
207	это тот	1	1
208	же и	1	1
209	не знающего	1	1
210	им в	1	1
211	своей целью	1	1
212	я в	3	1
213	уже в	3	1
214	то и	2	1
215	слово это	2	1
216	тем чтобы	2	1
217	в виде	1	1
218	и если	2	1
219	только слово	2	1
220	или даже	1	1
221	говорит что	1	1
222	в понимании	1	1
223	чем у	1	1
224	и вот	3	1
225	получается в	1	1
226	вовсе не	5	1
227	не для	1	1
228	отношение к	3	1
229	но что	1	1
230	не случайно	4	1
231	на этом	2	1
232	бы все	1	1
233	переход к	1	1
234	и вместе	1	1
235	для того	12	1
236	им по	1	1
237	то ни	1	1
238	с самыми	1	1
239	конечно в	1	1
240	и с	3	1
241	этой новой	1	1
242	путь этот	1	1
243	не надо	1	1
244	с другой	7	1
245	есть не	3	1
246	еще и	2	1
247	и тем	6	1
248	может ли	1	1
249	мы скажем	1	1
250	и скажем	1	1
251	на которых	5	1
252	основной вопрос	1	1
253	не всегда	1	1
254	далее и	1	1
255	и уже	1	1
256	для чего	1	1
257	его по	1	1
258	о чем	2	1
259	и было	1	1
260	какая же	1	1
261	таким же	1	1
262	вместе с	2	1
263	так же	2	1
264	их сознания	2	1
265	как это	7	1
266	является и	2	1
267	мы в	1	1
268	у нас	10	1
269	в которых	3	1
270	этих словах	1	1
271	что тот	1	1
272	ведет к	1	1
273	в одном	2	1
274	не понимает	3	1
275	есть одна	1	1
276	по крайней	1	1
277	есть еще	1	1
278	этого слова	4	1
279	с этой	3	1
280	раз и	2	1
281	есть один	1	1
282	искусстве но	1	1
283	как можно	1	1
284	такую картину	1	1
285	есть прежде	1	1
286	и остается	1	1
287	не по	3	1
288	и именно	3	1
289	указать на	2	1
290	но она	1	1
291	есть путь	1	1
292	и от	1	1
293	нельзя не	2	1
294	которая в	1	1
295	ничего не	6	1
296	того как	7	1
297	лишь как	1	1
298	может быть	14	1
299	в русском	2	1
300	вообще в	1	1
301	будем говорить	1	1
302	против того	1	1
303	во всем	1	1
304	будто бы	1	1
305	это слово	1	1
306	на него	3	1
307	к жизни	1	1
308	есть продукт	1	1
309	наших дней	1	1
310	но вот	1	1
311	что на	3	1
312	ничего нельзя	1	1
313	другой стороны	3	1
314	слова очень	1	1
315	a с	1	1
316	возможно в	1	1
317	но все	2	1
318	и идеи	1	1
319	есть и	1	1
320	к этому	1	1
321	вся история	1	1
322	всего что	1	1
323	ли что	1	1
324	и другие	1	1
325	в процессе	3	1
326	и эта	1	1
327	это в	2	1
328	в противоположность	1	1
329	прошлом и	1	1
330	отказаться от	1	1
331	она не	3	1
332	они не	3	1
