N	3gram	Berdyaev_V_1	Hudozhes
1	в том что	2	6
2	к тому что	3	4
3	как и в	1	3
4	и т д	2	3
5	то и другое	1	2
6	в этих словах	1	2
7	вместо того чтобы	2	2
8	а между тем	2	1
9	то что я	2	1
10	потому что оно	1	1
11	и не случайно	1	1
12	том что он	2	1
13	и в этом	1	1
14	и то и	1	1
15	которым можно было	2	1
16	и что в	1	1
17	которого они в	1	1
18	в первый раз	3	1
19	в конце концов	1	1
20	так и в	1	1
21	и никогда никогда	1	1
22	как бы в	1	1
23	него то что	1	1
24	это еще не	2	1
25	сознания так и	1	1
26	то что мы	3	1
27	у него то	1	1
28	но все же	1	1
29	за то что	3	1
30	того что он	1	1
31	никогда никогда не	2	1
