N	2gram	Trubetskoy_1	TeoriaLi
1	в мире	6	24
2	не только	7	18
3	в качестве	1	17
4	тогда как	6	16
5	и не	8	16
6	я в	2	16
7	а в	3	14
8	состоит в	1	13
9	и в	23	13
10	в частности	2	13
11	то есть	2	12
12	так и	10	12
13	может быть	16	12
14	в этом	12	11
15	при этом	9	11
16	в том	30	11
17	но не	2	10
18	и его	1	10
19	а не	1	10
20	то же	4	9
21	в его	5	9
22	по отношению	9	8
23	сводится к	2	8
24	но и	9	8
25	отношению к	9	8
26	что в	8	8
27	отличие от	3	7
28	в себе	5	7
29	том что	19	7
30	точки зрения	13	7
31	в то	6	7
32	по своей	7	7
33	только в	6	7
34	в данном	3	7
35	еще не	5	6
36	с его	1	6
37	но в	4	6
38	лишь в	5	6
39	же время	2	6
40	как бы	10	6
41	данном случае	3	5
42	в своем	10	5
43	в самом	8	5
44	роли в	1	5
45	он не	3	5
46	в принципе	1	5
47	как и	9	5
48	не в	8	5
49	однако в	1	5
50	тем самым	3	5
51	а а	1	5
52	в нем	3	5
53	или иной	1	5
54	между тем	12	5
55	уже не	1	5
56	не случайно	1	5
57	с другой	6	5
58	как в	1	5
59	между ними	2	5
60	говорить о	2	4
61	а и	8	4
62	отношение к	4	4
63	хотя и	4	4
64	по пути	1	4
65	то что	18	4
66	в своей	1	4
67	в их	4	4
68	или менее	7	4
69	не менее	7	4
70	приводит к	1	4
71	и ее	2	4
72	за пределами	1	4
73	в свою	2	4
74	не знает	2	4
75	сказать что	1	4
76	не может	17	4
77	более или	7	4
78	и то	4	3
79	между двумя	5	3
80	например в	1	3
81	а только	1	3
82	в сторону	2	3
83	и т.д	4	3
84	перед нами	1	3
85	и к	5	3
86	в точке	2	3
87	со своей	1	3
88	все эти	19	3
89	в нашем	3	3
90	в этой	6	3
91	он должен	2	3
92	и вот	1	3
93	и по	3	3
94	его в	5	3
95	и сам	2	3
96	в этих	3	3
97	все прочие	4	3
98	тем не	4	3
99	в отношении	1	3
100	никогда не	4	3
101	потому что	9	3
