N	3gram	Bakhtin_KF_1	RusskieA
1	в том что	2	15
2	вместе с тем	1	6
3	к тому что	1	4
4	в настоящее время	1	3
5	с точки зрения	9	3
6	мы не можем	1	3
7	тем не менее	2	3
8	но это не	1	2
9	может быть и	1	2
10	это не значит	1	2
11	в свою очередь	1	2
12	в большинстве случаев	1	2
13	не значит что	1	2
14	чем ближе к	1	1
15	ничего общего не	2	1
16	ни о каких	1	1
17	а следовательно и	1	1
18	время от времени	1	1
19	и того же	1	1
20	в противном случае	1	1
21	по отношению к	22	1
22	на самом деле	3	1
23	но ни одно	1	1
24	время вместе с	1	1
25	только по отношению	2	1
26	то что и	1	1
27	и та же	1	1
28	независимо от того	1	1
29	может быть правильно	1	1
30	о том кто	1	1
31	это не имеет	1	1
32	и в своем	1	1
33	не потому что	1	1
34	можно говорить об	1	1
35	и в этом	3	1
36	во всех этих	2	1
37	и как бы	1	1
38	во всяком случае	1	1
39	мы имеем здесь	1	1
40	одна и та	1	1
41	и пр и	1	1
42	здесь мы имеем	2	1
43	и всей своей	1	1
44	вопрос о том	2	1
45	на то что	1	1
46	одного и того	1	1
47	во второй половине	1	1
48	быть не может	1	1
49	что и в	1	1
50	только тогда когда	1	1
51	не имеет смысла	1	1
