N	3gram	Voloshinov_1	StatiiOP
1	в том что	1	11
2	не может быть	2	5
3	по крайней мере	1	4
4	с точки зрения	5	4
5	в этом отношении	2	4
6	с другой стороны	1	4
7	о том что	2	4
8	это связано с	1	3
9	прежде всего в	3	3
10	в конце концов	3	3
11	в связи с	2	3
12	то же время	7	3
13	не только в	3	3
14	в то же	9	3
15	но и в	3	2
16	до сих пор	1	2
17	тем что он	1	2
18	и в этом	1	2
19	с самого начала	4	2
20	но все же	2	2
21	только тогда когда	1	2
22	мы имеем в	1	2
23	к тому что	2	2
24	тем не менее	1	2
25	независимо от того	1	2
26	можно сказать что	2	1
27	не может не	1	1
28	иметь в виду	1	1
29	и той же	2	1
30	более или менее	1	1
31	но то что	1	1
32	на самом деле	3	1
33	мочи нет в	1	1
34	в самом деле	1	1
35	лишь в исключительных	1	1
36	в одной и	1	1
37	то же самое	4	1
38	точку зрения на	1	1
39	определенную точку зрения	1	1
40	и тогда он	1	1
41	тот или иной	1	1
42	в хviii веке	1	1
43	вместе с тем	2	1
44	на вопрос о	1	1
45	и не мог	1	1
46	связи с этим	2	1
47	в собственном смысле	1	1
48	можно было бы	1	1
49	ни в какой	1	1
50	он попытался написать	1	1
51	как бы из	1	1
52	еще до того	1	1
53	слова как например	1	1
54	том что такое	1	1
55	выбор того или	1	1
56	по большей части	1	1
57	как и вообще	1	1
58	всех этих трех	1	1
59	хотя бы на	1	1
60	же самое и	1	1
61	уже не к	1	1
62	до наших дней	1	1
63	и тем что	1	1
64	выражение прежде всего	1	1
65	в свою очередь	4	1
66	так как в	1	1
67	которые звучат в	1	1
68	не только не	1	1
69	до того как	1	1
70	той или иной	3	1
71	тогда когда мы	1	1
72	в какой форме	1	1
73	вопрос о том	1	1
74	но имеет и	1	1
75	одной и той	2	1
76	свое выражение прежде	1	1
77	об этом мы	1	1
78	в исключительных случаях	1	1
79	у нас не	2	1
80	вовсе не является	1	1
81	для того чтобы	7	1
82	благодаря тому что	1	1
83	как мы видели	3	1
84	в русской литературе	1	1
85	не говоря уже	1	1
