N	2gram	Propp_Isto_3	Retstnzi
1	не может	4	4
2	и в	22	3
3	один из	5	2
4	нет и	1	1
5	понимания этого	1	1
6	в особенности	2	1
7	и не	12	1
8	не только	14	1
9	ни один	2	1
10	и тому	1	1
11	связи с	6	1
12	себя от	1	1
13	точки зрения	2	1
14	во второй	1	1
15	но и	12	1
16	и должно	1	1
17	и заставляет	1	1
18	не менее	5	1
19	поставить в	1	1
20	с другими	1	1
21	именно с	1	1
22	тому подобных	1	1
23	в ней	2	1
24	становится особенно	1	1
25	на месте	2	1
26	в то	2	1
27	с точки	1	1
28	и на	4	1
29	вопрос что	1	1
30	мы видим	8	1
31	на нее	3	1
32	к тому	3	1
33	а не	6	1
34	его от	1	1
35	может быть	11	1
36	в его	3	1
37	он в	1	1
38	то же	6	1
39	и все	3	1
40	из этих	3	1
41	если бы	6	1
42	исходя из	1	1
