N	2gram	Tiupa_Narr_2	Sotsiolo
1	все это	1	7
2	в этом	13	5
3	в том	14	5
4	для нас	2	3
5	более чем	2	3
6	не только	26	3
7	как же	1	3
8	в его	6	3
9	и в	13	3
10	не в	8	3
11	только в	11	2
12	их между	1	2
13	может быть	10	2
14	по природе	1	2
15	и что	2	2
16	в результате	2	2
17	это и	1	2
18	то же	4	2
19	должна быть	2	2
20	было бы	2	2
21	далеко не	5	2
22	таким образом	5	2
23	но и	15	2
24	как будто	1	2
25	тем более	2	2
26	еще не	2	2
27	то что	8	2
28	или даже	3	2
29	нужно было	1	2
30	за пределы	1	2
31	по отношению	5	2
32	в частности	11	2
33	к которому	2	2
34	отношению к	5	2
35	очевидно что	1	2
36	как только	1	2
37	в конце	4	2
38	что в	4	2
39	как бы	6	2
40	том что	13	2
41	дело не	1	2
42	и не	14	1
43	в мире	4	1
44	кто не	1	1
45	более не	1	1
46	в этой	4	1
47	столь же	2	1
48	в процессе	2	1
49	в своей	4	1
50	бы в	2	1
51	может не	1	1
52	вопрос автор	1	1
53	все эти	3	1
54	автор с	1	1
55	представить себе	3	1
56	и его	3	1
57	понимаем всю	1	1
58	а между	1	1
59	в целом	3	1
60	результате его	1	1
61	с другой	5	1
62	именно на	1	1
63	связи с	1	1
64	что она	2	1
65	не желая	1	1
66	в связи	1	1
67	что он	5	1
68	тем же	1	1
69	что все	1	1
70	строгом значении	1	1
71	а с	2	1
72	и стало	1	1
73	ли не	1	1
74	конечном счете	3	1
75	но не	3	1
76	это по	1	1
77	никак не	3	1
78	зависит от	2	1
79	и более	2	1
80	но она	1	1
81	вовсе не	2	1
82	все же	6	1
83	между тем	3	1
84	а в	9	1
85	в конечном	3	1
86	новое и	1	1
87	это не	3	1
88	в то	5	1
89	те же	2	1
90	мы должны	1	1
91	между ними	1	1
92	и наконец	1	1
93	в чем	2	1
94	на первый	1	1
95	никогда не	6	1
96	в силу	4	1
97	во всяком	1	1
98	в противном	1	1
99	него и	1	1
100	в котором	5	1
101	тому что	3	1
102	в него	2	1
103	благодаря этому	1	1
104	отнюдь не	4	1
105	иначе говоря	7	1
106	и о	1	1
107	в этих	1	1
108	том как	2	1
109	наконец в	1	1
110	у него	6	1
111	словесного творчества	1	1
112	как и	4	1
113	с помощью	1	1
114	субъект может	1	1
115	с ним	4	1
116	место в	5	1
117	один из	3	1
118	стало быть	2	1
119	в строгом	2	1
120	и как	1	1
121	как то	1	1
122	с одной	5	1
123	быть для	1	1
124	о том	5	1
125	на что	1	1
126	одной стороны	5	1
127	же самое	1	1
128	но стоит	1	1
129	вступает в	2	1
130	легко но	1	1
131	и потому	1	1
132	хотя бы	2	1
133	со своими	2	1
134	слова но	1	1
135	время в	1	1
136	и по	3	1
137	ничего не	6	1
138	все то	2	1
139	что это	4	1
140	между собой	3	1
141	на этот	1	1
142	мы не	2	1
143	не может	8	1
144	тех кто	1	1
145	же время	3	1
146	а тем	1	1
147	система не	1	1
148	даже не	1	1
149	прежде всего	6	1
150	они не	2	1
151	противном случае	1	1
152	не от	1	1
153	упрощенно говоря	1	1
154	всяком случае	1	1
155	он говорит	1	1
156	или не	1	1
157	тем что	1	1
158	так и	9	1
159	в данном	10	1
160	в виде	2	1
161	именно в	2	1
162	перед нами	4	1
163	эти два	2	1
164	может служить	2	1
165	в области	2	1
