N	3gram	Nazirov_Tv_2	PoTuStor
1	с самого начала	1	4
2	в чем не	1	3
3	до сих пор	3	3
4	по крайней мере	2	3
5	во всяком случае	2	3
6	не может быть	3	3
7	ни в чем	1	3
8	в нем нет	1	2
9	так же как	2	2
10	в самом деле	2	2
11	не могут быть	1	2
12	о том что	2	2
13	но отнюдь не	1	2
14	в конечном счете	1	2
15	и только для	1	2
16	и в этом	1	2
17	ничего не говорит	1	1
18	дело в том	1	1
19	в нем и	1	1
20	от своего имени	1	1
21	сих пор еще	1	1
22	же как и	1	1
23	в этой борьбе	1	1
24	крайней мере уже	1	1
25	а может быть	1	1
26	можно было бы	1	1
27	со всех сторон	1	1
28	хотя и с	1	1
29	в высшей степени	1	1
30	в связи с	1	1
31	в году в	1	1
32	в применении к	1	1
33	а с другой	1	1
34	могут быть поняты	2	1
35	при всей их	1	1
36	в том что	2	1
37	мы не можем	1	1
38	на наших глазах	1	1
39	так и в	2	1
40	это и есть	1	1
41	и прежде всего	1	1
42	мы знаем что	1	1
43	или во всяком	1	1
44	и ту же	1	1
45	в том смысле	1	1
46	что в них	1	1
47	одну и ту	1	1
48	той или иной	1	1
