N	2gram	Nazirov_Tv_2	Literetu
1	не только	13	24
2	при этом	8	19
3	но и	8	17
4	в том	8	16
5	а не	6	16
6	в частности	2	15
7	том что	4	14
8	в году	16	13
9	тогда как	3	13
10	может быть	8	13
11	и не	9	12
12	в этом	8	12
13	своего рода	3	11
14	прежде всего	8	11
15	в русской	2	10
16	такого рода	1	10
17	то что	3	10
18	в целом	6	8
19	не в	4	8
20	в тексте	1	8
21	и в	20	8
22	только в	2	8
23	как это	1	8
24	я не	2	7
25	отказ от	1	7
26	как бы	11	7
27	в себе	3	7
28	русской классической	1	7
29	не менее	2	7
30	в его	10	7
31	уже не	3	7
32	и я	1	6
33	в рамках	1	6
34	то есть	5	6
35	как и	6	6
36	и сам	5	6
37	связи с	1	6
38	в жизни	1	6
39	себя в	2	6
40	xix века	7	6
41	одним из	3	5
42	то же	7	5
43	отличие от	2	5
44	как в	4	5
45	наш взгляд	2	5
46	на наш	2	5
47	не столько	2	5
48	в отличие	2	5
49	в то	10	5
50	для себя	1	5
51	казалось бы	3	5
52	же время	7	5
53	в конечном	1	5
54	русской литературе	1	5
55	что он	6	5
56	уже в	2	5
57	не может	7	5
58	с этой	3	5
59	с его	1	5
60	тем самым	4	5
61	в своей	6	4
62	еще не	5	4
63	столь же	1	4
64	но не	5	4
65	конечном счете	1	4
66	в этой	5	4
67	все же	5	4
68	представляет собой	1	4
69	по преимуществу	2	4
70	в случае	1	4
71	в силу	1	4
72	с собой	1	4
73	лишь в	1	4
74	духовной жизни	1	4
75	и его	9	4
76	ведет к	1	4
77	никогда не	11	4
78	так и	6	4
79	еще в	1	4
80	в формах	1	4
81	из них	2	4
82	мир в	1	4
83	в конце	6	4
84	друг друга	2	4
85	как раз	1	4
86	в связи	1	4
87	со стороны	1	4
88	это не	7	4
89	в своих	3	4
90	например в	5	3
91	в сфере	1	3
92	и есть	2	3
93	века в	1	3
94	самого себя	1	3
95	что его	2	3
96	по отношению	3	3
97	такие как	1	3
98	в самом	3	3
99	бы не	2	3
100	с их	1	3
101	же году	2	3
102	в принципе	4	3
103	таким образом	10	3
104	той же	1	3
105	его в	3	3
106	в душе	4	3
107	несмотря на	1	3
108	не мог	1	3
109	в их	3	3
110	классической литературы	2	3
111	но в	4	3
112	том же	2	3
113	дело в	1	3
114	одна из	3	3
115	в основе	2	3
116	не должен	1	3
117	в области	1	3
118	свое собственное	1	3
119	к себе	1	3
120	ли не	2	3
121	говоря словами	1	3
122	в виду	1	3
123	в пределах	1	3
124	приводит к	2	3
125	одного из	1	3
126	сводится к	2	3
127	нуждается в	1	3
128	не сводится	1	3
129	один из	3	3
130	и прежде	1	3
131	потому что	7	3
132	при всей	1	3
133	у него	6	3
134	и даже	5	3
135	с другой	2	3
136	и др	3	3
137	не было	2	3
138	мыслится как	1	3
139	литературе в	1	3
140	при всем	1	3
141	что в	7	3
142	а в	4	3
143	классической литературе	1	3
144	во всяком	2	3
145	человека и	3	2
146	не остается	1	2
147	самом деле	2	2
148	из его	1	2
149	на себя	1	2
150	х годов	3	2
151	то это	1	2
152	во имя	1	2
153	как правило	2	2
154	то он	1	2
155	а только	1	2
156	воздействие на	2	2
157	отнюдь не	4	2
158	общего с	1	2
159	и нет	1	2
160	только то	1	2
161	как некий	1	2
162	все эти	4	2
163	чуть ли	1	2
164	из этих	1	2
165	тому же	2	2
166	во многих	2	2
167	в нем	3	2
168	героя с	2	2
169	поскольку он	1	2
170	же это	1	2
171	не к	1	2
172	евгения онегина	3	2
173	было бы	1	2
174	для них	1	2
175	и читателем	1	2
176	от своего	1	2
177	всяком случае	2	2
178	что я	2	2
179	войне и	1	2
180	эта мысль	2	2
181	в россии	2	2
182	однако в	1	2
183	даже в	1	2
184	вплоть до	1	2
185	ничего кроме	1	2
186	xviii века	2	2
187	мышления и	1	2
188	жизни не	1	2
189	и является	1	2
190	в сознании	1	2
191	как будто	1	2
192	xx века	3	2
193	могут быть	2	2
194	и вполне	1	2
195	к тому	1	2
196	в поле	1	2
197	должен быть	1	2
198	у достоевского	30	2
199	более не	2	2
200	в себя	1	2
201	но при	1	2
202	для читателя	1	2
203	роль в	2	2
204	читателя в	5	2
205	в мире	5	2
206	ту же	1	2
207	или иной	1	2
208	в другом	1	2
209	о том	5	2
210	с одной	1	2
211	между тем	3	2
212	и только	2	2
213	творческого процесса	4	2
214	от автора	1	2
215	что не	3	2
216	по выражению	1	2
217	что для	1	2
218	для него	3	2
219	а потому	1	2
220	не случайно	2	2
221	как носитель	1	2
222	тем что	3	2
223	превращается в	3	2
224	одну из	1	2
225	художественного целого	1	2
226	и м	2	2
227	нет ничего	3	2
228	русской литературы	1	2
229	оказывается не	1	2
230	автора в	1	2
231	своего времени	1	2
232	текста как	1	2
233	можно было	1	2
234	писал в	1	2
235	это уже	2	2
236	не является	3	2
237	в сферу	1	2
238	лев толстой	1	2
239	объекта и	1	2
240	это как	1	2
241	своей собственной	1	2
242	не есть	1	2
243	о своем	1	2
244	отношению к	3	2
245	на это	1	2
246	в искусстве	2	2
247	по поводу	1	2
248	этого романа	1	1
249	как известно	2	1
250	и наказания	2	1
251	если б	1	1
252	кто бы	1	1
253	же как	3	1
254	с философским	1	1
255	только потому	1	1
256	диалоге с	1	1
257	перед лицом	1	1
258	достоевского явился	1	1
259	бахтин а	1	1
260	достоевского в	9	1
261	проникает в	2	1
262	сам автор	1	1
263	в основании	1	1
264	соотнесенности с	1	1
265	и за	1	1
266	который в	1	1
267	мы не	4	1
268	развития человечества	1	1
269	преступления и	2	1
270	бесконечность как	1	1
271	так я	1	1
272	почему мы	1	1
273	этом не	1	1
274	не была	1	1
275	художественного произведения	1	1
276	на глазах	1	1
277	жизненной позиции	1	1
278	нередко он	1	1
279	жизни как	1	1
280	отождествляемая с	1	1
281	же само	1	1
282	личности с	1	1
283	и он	2	1
284	дает им	1	1
285	в xix	2	1
286	ипполит в	1	1
287	достоевского с	5	1
288	он был	1	1
289	он сам	3	1
290	быть в	1	1
291	в различных	1	1
292	в чем	4	1
293	у чехова	1	1
294	но как	1	1
295	к которой	1	1
296	сознания не	1	1
297	ответ на	1	1
298	отношение к	1	1
299	в наиболее	1	1
300	тут же	2	1
301	не просто	1	1
302	теперь не	1	1
303	что они	4	1
304	вмешивается в	1	1
305	и эстетического	1	1
306	человеческого достоинства	1	1
307	толстого и	1	1
308	писателя в	2	1
309	в одной	3	1
310	князя мышкина	16	1
311	о жизни	3	1
312	сам же	1	1
313	однако не	1	1
314	перед нами	1	1
315	персонажей достоевского	1	1
316	как уже	1	1
317	и как	1	1
318	имеет в	2	1
319	я совершенно	1	1
320	в противоположность	1	1
321	то в	1	1
322	за собой	4	1
323	еще на	1	1
324	в которой	2	1
325	в гамлете	1	1
326	а напротив	1	1
327	и двух	1	1
328	общеизвестно что	1	1
329	мы чувствуем	1	1
330	после чего	1	1
331	в жертву	1	1
332	на то	1	1
333	обнаруживает в	1	1
334	так сказать	2	1
335	действительную жизнь	1	1
336	по словам	2	1
337	в статье	2	1
338	а скорее	2	1
339	он не	3	1
340	от которого	1	1
341	которой не	1	1
342	в диалоге	1	1
343	едва ли	2	1
344	идеи и	1	1
345	к одному	1	1
346	в начале	3	1
347	и вот	1	1
348	уже говорилось	1	1
349	у читателя	2	1
350	и более	1	1
351	у пушкина	3	1
352	в плане	3	1
353	в творческом	5	1
354	и по	2	1
355	так например	3	1
356	апеллирует к	1	1
357	ни был	1	1
358	человека в	3	1
359	в каждом	1	1
360	а затем	3	1
361	читательская реакция	1	1
362	об этой	1	1
363	и с	8	1
364	говорил что	2	1
365	а по	1	1
366	это весьма	1	1
367	путь решения	1	1
368	образом если	1	1
369	его личности	1	1
370	самым его	1	1
371	в глазах	1	1
372	и мы	3	1
373	в них	1	1
374	он же	2	1
375	бытие и	1	1
376	соответствии с	4	1
377	этого персонажа	1	1
378	но лишь	1	1
379	в ее	2	1
380	всю жизнь	1	1
381	романы достоевского	2	1
382	с такой	1	1
383	должно быть	1	1
384	потому и	1	1
385	все произведение	1	1
386	такой же	2	1
387	автора и	1	1
388	в один	1	1
389	перед собой	1	1
390	автора это	1	1
391	в эту	1	1
392	литература и	1	1
393	в этих	1	1
394	о ком	1	1
395	в г	1	1
396	во второй	1	1
397	ссылки на	1	1
398	этой связи	1	1
399	начале xix	1	1
400	это делает	1	1
401	что от	1	1
402	в которых	3	1
403	одном из	2	1
404	в поэме	1	1
405	права на	2	1
406	по крайней	2	1
407	если бы	4	1
408	не могли	2	1
409	вовсе не	2	1
410	и достоевского	1	1
411	героем и	2	1
412	между людьми	2	1
413	произведения как	1	1
414	она не	1	1
415	человечества и	1	1
416	как о	2	1
417	человеческой истории	1	1
418	не имеет	1	1
419	самого начала	1	1
420	текста и	1	1
421	во время	1	1
422	житейской ситуации	1	1
423	на него	2	1
424	под знаком	1	1
425	индивидуальном сознании	1	1
426	говорить о	2	1
427	но только	1	1
428	это еще	1	1
429	в день	1	1
430	карамазова и	2	1
431	рассматриваться в	1	1
432	и соответственно	1	1
433	переживания в	1	1
434	эпохи в	1	1
435	а во	2	1
436	онегина и	1	1
437	в наше	2	1
438	поэт и	1	1
439	и мире	1	1
440	другой стороны	2	1
441	xix веке	2	1
442	для нас	1	1
443	собственной личности	1	1
444	о нем	1	1
445	с автором	1	1
446	только с	2	1
447	достоевским в	2	1
448	перед ним	1	1
449	в момент	1	1
450	для литературы	1	1
451	мы узнаем	2	1
452	в среде	1	1
453	отличается от	1	1
454	ролью в	1	1
455	является все	1	1
456	день и	1	1
457	отказаться от	2	1
458	быть назван	1	1
459	ничего общего	1	1
460	на вопрос	1	1
461	году в	1	1
462	достоевского идиот	4	1
463	очень точно	1	1
464	как мы	1	1
465	свою очередь	1	1
466	строит в	1	1
467	и от	4	1
468	по сути	3	1
469	так в	2	1
470	мысль о	1	1
471	с самого	1	1
472	культуры и	1	1
473	в дальнейшем	4	1
474	к жизни	2	1
475	позиция самого	1	1
476	решающую роль	1	1
477	он говорит	1	1
478	каждого из	1	1
479	собой в	1	1
480	мог бы	1	1
481	том где	1	1
482	была завершена	1	1
483	а все	1	1
484	быть может	3	1
485	и здесь	1	1
486	с беспредельным	1	1
487	не был	1	1
488	году и	1	1
489	ценности и	1	1
490	нам представляется	1	1
491	при котором	1	1
492	в будущее	1	1
493	в библии	1	1
494	и что	2	1
495	екатерины и	1	1
496	творческий процесс	3	1
497	в пользу	3	1
498	как наиболее	1	1
499	на основе	1	1
500	самому себе	1	1
501	достоевского всегда	2	1
502	во всех	1	1
503	и всякая	1	1
504	что же	1	1
505	крайней мере	2	1
506	и других	2	1
507	непосредственно в	1	1
508	достоевского это	3	1
509	в художественной	1	1
510	к сознанию	1	1
511	который бы	1	1
512	не мешает	2	1
513	в жизнь	1	1
514	второй план	1	1
515	в литературе	2	1
516	герой в	1	1
517	идя по	1	1
518	тот же	1	1
519	одной из	3	1
520	как я	1	1
521	может оказаться	1	1
522	наше время	2	1
523	в литературу	1	1
524	начинает свой	1	1
525	авторского сознания	2	1
526	этого рассказа	1	1
527	человеческой личности	2	1
528	со своим	1	1
529	не можем	1	1
530	и у	2	1
531	самой жизни	1	1
532	в большинстве	1	1
533	наконец даже	1	1
534	своей сути	1	1
535	в поэзии	1	1
536	в виде	2	1
537	не так	2	1
538	жизнь для	1	1
539	художественное восприятие	1	1
540	в котором	3	1
541	в одном	2	1
542	в современном	3	1
543	говорит ему	1	1
544	так как	3	1
545	не о	1	1
546	может служить	2	1
547	отношении к	1	1
548	тогда в	1	1
549	автора как	1	1
550	представляют собой	1	1
551	во власти	1	1
552	что и	1	1
553	до сих	3	1
554	может и	1	1
555	хоть и	1	1
556	именно в	6	1
557	а с	3	1
558	с героями	2	1
559	этой задачи	2	1
560	записки из	2	1
561	рода не	1	1
562	в соответствии	4	1
563	не делает	1	1
564	а сам	1	1
565	более того	2	1
566	в рассказе	3	1
567	личности в	2	1
568	человек в	1	1
569	мы знаем	1	1
570	если не	4	1
571	сам себе	1	1
572	я говорю	1	1
573	в творчестве	5	1
574	и если	2	1
575	него в	2	1
576	эти слова	1	1
577	из форм	1	1
578	и любой	1	1
579	жизни но	1	1
580	власть над	1	1
581	не знал	2	1
582	целом ряде	1	1
583	искусства но	1	1
584	но сам	1	1
585	однако эти	2	1
586	чутко уловил	1	1
587	двух сыновей	1	1
588	и на	5	1
589	а нам	1	1
590	и возможностей	1	1
591	бунт против	1	1
592	в первой	2	1
593	романе достоевского	6	1
594	традиции к	1	1
595	на свете	1	1
596	действительной жизни	1	1
597	по бахтину	1	1
598	человека или	1	1
599	владимир соловьев	1	1
600	на базе	1	1
601	выросла в	1	1
602	и о	1	1
603	сих пор	3	1
604	такова же	1	1
605	только для	2	1
606	общественной жизни	1	1
607	литературы под	1	1
608	перед смертью	1	1
609	пока еще	1	1
610	которые были	1	1
611	под названием	1	1
612	другом месте	1	1
613	на читателя	1	1
614	достоевского но	3	1
615	для автора	2	1
616	в силах	2	1
617	а к	1	1
618	себя самого	1	1
619	от него	1	1
620	находит свое	1	1
621	держится на	1	1
622	все возрастающей	1	1
623	но зато	3	1
624	ком другом	1	1
625	есть бог	1	1
626	по определению	1	1
