N	2gram	Tiupa_Disk_2	Problemy
1	и в	16	34
2	и не	15	29
3	как бы	4	27
4	что он	2	23
5	в его	3	22
6	к другому	1	20
7	в нем	7	19
8	может быть	16	19
9	не может	9	19
10	и все	3	19
11	как и	16	18
12	себе самому	2	18
13	к себе	1	17
14	в этом	16	16
15	но в	11	16
16	и его	3	16
17	все это	2	16
18	он не	3	15
19	и с	2	15
20	прежде всего	7	15
21	то же	6	14
22	самом деле	1	13
23	для него	5	13
24	в то	5	12
25	же время	5	12
26	потому что	4	12
27	но и	11	12
28	в сущности	1	11
29	вовсе не	1	11
30	себя самого	1	11
31	то что	5	11
32	не только	10	10
33	слова и	1	10
34	не в	3	9
35	а не	14	9
36	с самого	1	8
37	самого начала	1	8
38	никогда не	2	8
39	с ним	1	8
40	в другом	3	8
41	в самом	1	8
42	себя и	1	8
43	что же	2	8
44	рассказа в	2	8
45	и слово	1	8
46	о мире	1	8
47	и для	2	8
48	точки зрения	4	8
49	я не	1	7
50	на него	1	7
51	как будто	3	7
52	и даже	1	7
53	там где	1	7
54	все же	6	7
55	что в	5	7
56	и на	5	6
57	с его	6	6
58	отношение к	2	6
59	в пределах	4	6
60	для себя	2	6
61	так и	9	6
62	в себе	19	6
63	только в	3	6
64	стремится к	2	6
65	не знает	3	6
66	отношению к	4	6
67	он сам	1	5
68	в чем	1	5
69	по отношению	4	5
70	чужого слова	1	5
71	и наконец	3	5
72	в целом	2	5
73	но все	1	5
74	лишь в	1	5
75	даже в	1	5
76	таким образом	1	5
77	к тому	1	5
78	себе самом	1	5
79	и сам	1	5
80	и что	1	5
81	что и	2	5
82	это не	3	5
83	того что	1	5
84	и так	1	5
85	так что	1	5
86	из них	3	5
87	всяком случае	1	5
88	в одном	4	5
89	к своему	2	5
90	и от	1	5
91	а в	2	5
92	героя в	5	5
93	во всяком	1	5
94	с таким	2	4
95	он как	1	4
96	еще не	6	4
97	бы то	1	4
98	но не	7	4
99	как в	8	4
100	другого как	1	4
101	все эти	3	4
102	но на	1	4
103	при этом	17	4
104	внутренней речи	3	4
105	на этом	1	4
106	то ни	1	4
107	в мире	11	4
108	его в	3	4
109	ни в	7	4
110	с точки	2	4
111	но это	3	4
112	ничего не	1	4
113	его с	1	4
114	и это	2	4
115	и прежде	2	4
116	только на	1	4
117	не о	2	4
118	с другой	5	4
119	тем что	1	4
120	вместе с	2	4
121	да и	1	4
122	к чужому	1	4
123	я в	5	4
124	ни было	1	4
125	бы его	1	4
126	а между	1	3
127	в такой	1	3
128	и то	4	3
129	достоевского в	1	3
130	в рассказ	1	3
131	говорить о	2	3
132	в ней	2	3
133	в одной	1	3
134	вот как	1	3
135	хотя и	1	3
136	и как	3	3
