N	2gram	Vinokur_St_1	Analitik
1	не только	18	22
2	и в	44	18
3	как и	9	14
4	так и	9	14
5	в этом	21	14
6	и его	8	13
7	но и	10	13
8	том что	29	12
9	в качестве	4	12
10	и не	16	12
11	в частности	4	12
12	при этом	2	11
13	то есть	2	10
14	а в	17	10
15	как бы	4	10
16	что в	30	9
17	в тексте	12	9
18	может быть	15	9
19	со стороны	6	9
20	а не	16	9
21	в том	36	9
22	в повестях	6	8
23	с его	1	8
24	своего рода	3	8
25	и даже	5	8
26	в первой	12	8
27	по отношению	3	7
28	в русской	1	7
29	как раз	4	7
30	в его	9	7
31	с другой	9	7
32	во второй	9	7
33	но не	3	7
34	отношению к	3	7
35	и самого	1	6
36	еще не	3	6
37	в этой	11	6
38	он не	2	6
39	не в	12	6
40	к тому	1	6
41	для него	6	6
42	о том	17	6
43	текста в	5	6
44	в начале	3	6
45	того же	3	5
46	той же	5	5
47	мы имеем	2	5
48	как правило	2	5
49	в самом	7	5
50	в случае	2	5
51	лишь в	3	5
52	в слове	5	5
53	однако в	1	5
54	или иной	1	5
55	в сущности	2	5
56	что и	6	5
57	между тем	3	5
58	уже не	1	5
59	в конце	3	5
60	никогда не	5	5
61	прежде всего	7	5
62	я в	1	5
63	не является	3	5
64	такого рода	2	5
65	в результате	3	5
66	другой стороны	7	5
67	и на	1	4
68	столь же	4	4
69	текста с	2	4
70	что он	10	4
71	в своем	2	4
72	что по	1	4
73	и к	1	4
74	таким образом	7	4
75	по себе	1	4
76	тем самым	2	4
77	в одном	1	4
78	имеем дело	2	4
79	ли не	2	4
80	не менее	5	4
81	и сам	2	4
82	внимание на	3	4
83	можно сказать	1	4
84	крайней мере	2	4
85	себя в	1	4
86	во втором	4	4
87	далеко не	1	4
88	по крайней	2	4
89	о чем	1	4
90	в данном	14	4
91	все же	8	4
92	перед нами	1	4
93	здесь и	1	3
94	едва ли	1	3
95	по его	2	3
96	его не	1	3
97	который в	1	3
98	мы не	2	3
99	говорить о	2	3
100	в целом	5	3
101	уже в	2	3
102	но как	1	3
103	если в	2	3
104	ответ на	3	3
105	что они	7	3
106	как говорит	1	3
107	как в	13	3
108	с этим	3	3
109	что касается	3	3
110	из этих	6	3
111	с их	1	3
112	нашего времени	1	3
113	у пушкина	8	3
114	без исключения	1	3
115	то же	5	3
116	в каждом	3	3
117	его в	2	3
118	самого пушкина	5	3
119	точки зрения	11	3
120	и без	3	3
121	не столько	1	3
122	все это	5	3
123	в то	9	3
124	дело не	4	3
125	ничего не	2	3
126	же время	4	3
127	той или	1	3
128	в ее	4	3
