N	2gram	Tiupa_Lite_2	Myslijsy
1	то есть	5	34
2	потому что	2	33
3	то что	7	29
4	может быть	17	26
5	таким образом	1	24
6	в этом	9	23
7	в том	10	23
8	и в	19	23
9	в слове	1	22
10	и не	11	18
11	что в	4	17
12	при этом	6	15
13	то же	12	14
14	в себе	6	14
15	как и	10	14
16	того что	5	14
17	так как	3	14
18	для нас	2	14
19	не было	2	12
20	а не	20	12
21	том что	7	12
22	что я	2	11
23	не в	4	11
24	но и	10	11
25	не может	9	11
26	что слово	1	10
27	по отношению	4	10
28	не только	8	10
29	тем что	4	10
30	что мы	1	10
31	и потому	1	10
32	мы не	4	8
33	в своем	1	8
34	но в	2	8
35	было бы	2	8
36	о том	2	8
37	отношению к	3	8
38	и т	2	7
39	мы говорим	1	7
40	поэзии и	2	7
41	очевидно что	2	7
42	как в	1	7
43	что это	1	7
44	на то	1	7
45	в нем	3	7
46	мысли и	2	7
47	это не	1	7
48	и что	2	7
49	что и	2	7
50	вовсе не	2	7
51	с тем	2	7
52	могут быть	2	7
53	и к	2	6
54	того как	1	6
55	мысль о	1	6
56	так и	7	6
57	тех пор	1	6
58	что не	2	6
59	до тех	1	6
60	для того	2	6
61	в ряду	1	6
62	вместе с	5	6
63	и то	3	5
64	как бы	2	5
65	и мы	1	5
66	по крайней	2	5
67	не менее	6	5
68	с ним	2	5
69	не имеет	1	5
70	находится в	1	5
71	крайней мере	2	5
72	так что	4	5
73	есть в	1	5
74	не можем	1	5
75	уже в	2	5
76	в его	4	5
77	для него	4	5
78	что же	1	5
79	слова и	7	5
80	этом случае	2	5
81	а в	3	5
82	одно слово	1	5
83	если б	1	4
84	есть не	1	4
85	и о	1	4
86	в истории	2	4
87	и с	3	4
88	его в	1	4
89	с другими	1	4
90	мы имеем	1	4
91	между собою	1	4
92	точки зрения	4	4
93	тем не	2	4
94	т п	2	4
95	в то	9	4
96	того чтобы	1	4
97	со своим	1	4
98	в сознании	1	4
99	же самое	1	4
100	быть может	3	4
101	можно сказать	1	4
102	что он	3	4
103	хотя бы	2	4
104	то и	3	4
105	в одном	2	4
106	тогда как	9	4
107	только на	1	4
108	а именно	3	4
109	как же	1	4
110	так же	1	4
111	в данном	3	4
112	и все	1	4
113	в сравнении	2	4
114	только как	1	4
115	тем самым	3	4
116	в таком	1	4
117	самом деле	1	3
118	на самом	1	3
119	переход от	1	3
120	в первом	1	3
121	и до	2	3
122	слова в	1	3
123	той же	2	3
124	поэзия как	2	3
125	еще не	2	3
126	и на	6	3
127	по которому	1	3
128	в действительности	1	3
129	и хотя	1	3
130	в самом	1	3
131	все эти	1	3
132	так в	5	3
133	и по	1	3
134	образа и	1	3
135	ни был	1	3
136	на нее	1	3
137	в каждом	2	3
138	но уже	2	3
139	в них	2	3
140	все равно	2	3
141	не всегда	1	3
142	ведет к	1	3
143	с точки	3	3
144	но это	3	3
145	не от	1	3
146	их в	1	3
147	что есть	1	3
148	на себе	1	3
149	только не	1	3
150	никогда не	3	3
151	же время	9	3
152	связи с	1	3
153	а мы	1	3
154	к тому	1	3
155	ту же	2	3
156	мы в	1	3
157	в виду	2	3
158	и только	2	3
159	то в	2	3
160	уже не	2	3
161	в поэзии	3	3
162	слова не	1	3
163	и других	4	3
164	и поэзии	1	3
165	себе в	1	3
166	даже и	2	3
167	со стороны	3	3
168	что человек	1	3
169	именно в	1	3
170	мы сами	2	3
171	более чем	1	3
172	все более	1	3
173	нет ничего	1	3
174	со словом	1	3
175	в смысле	1	3
176	и другим	1	3
177	в этих	1	3
178	и состоит	1	3
179	в искусстве	4	3
180	но тем	4	2
181	на деле	1	2
182	отношения между	1	2
183	и себя	1	2
184	как мы	1	2
185	не вполне	2	2
186	я не	5	2
187	но даже	1	2
188	мы и	1	2
189	в ней	4	2
190	нам представляется	2	2
191	столь же	5	2
192	то он	1	2
193	посредством слова	1	2
194	и я	1	2
195	одном из	2	2
196	что по	1	2
197	в нашем	2	2
198	многих тысячелетий	1	2
199	во многих	1	2
200	не следует	1	2
201	он не	5	2
202	состоит в	9	2
203	подобно тому	2	2
204	человека в	4	2
205	здесь мы	1	2
206	пока мы	1	2
207	в мире	9	2
208	например с	1	2
209	она и	1	2
210	в других	1	2
211	и без	2	2
212	в первый	2	2
213	что до	1	2
214	от его	1	2
215	даже в	4	2
216	тому что	1	2
217	что только	1	2
218	в сущности	3	2
219	имеем дело	1	2
220	и притом	1	2
221	дальше в	1	2
222	и его	3	2
223	этот образ	1	2
224	что на	1	2
225	в области	4	2
226	у нас	5	2
227	не могут	1	2
228	и вполне	1	2
229	говоря словами	1	2
230	слов но	2	2
231	не могу	2	2
232	в ее	2	2
233	данном случае	3	2
234	в глазах	3	2
235	на том	1	2
236	и когда	1	2
237	что может	1	2
238	в образе	1	2
239	можно было	1	2
240	не с	3	2
241	пор пока	1	2
242	но мы	1	2
243	от земли	1	2
244	после того	1	2
245	бы в	1	2
246	я вижу	2	2
247	еще более	1	2
248	в ту	1	2
249	человека а	1	2
250	один из	4	2
251	тот же	2	2
252	в обществе	1	2
253	не так	2	2
254	пока не	1	2
255	друг друга	2	2
256	и даже	8	2
257	с другой	8	2
258	и прежде	1	2
259	в свою	1	2
260	мысль которая	1	2
261	стремится к	1	2
262	и др	3	2
263	которые не	1	2
264	языка в	1	2
265	есть лишь	1	2
266	к его	1	2
267	который бы	1	2
268	из которых	2	2
269	а если	2	2
270	тому как	2	2
271	никем не	1	2
272	быть не	2	2
273	в это	1	2
274	из тех	2	2
275	и для	3	2
276	что делает	1	2
277	от него	1	2
278	как теперь	1	2
279	и как	3	2
280	ни к	1	2
281	я в	7	2
282	но эта	1	2
283	из этого	1	2
284	есть и	1	2
285	все что	2	2
286	в своих	2	2
287	можно назвать	1	2
288	своим историческим	1	1
289	себя как	2	1
290	речь идет	3	1
291	одним из	3	1
292	потом и	1	1
293	с образом	2	1
294	начинается с	1	1
295	того же	4	1
296	пример и	1	1
297	людей что	1	1
298	идет о	3	1
299	тем же	3	1
300	по которым	1	1
301	должна быть	1	1
302	в их	3	1
303	и за	2	1
304	со второй	1	1
305	в сфере	4	1
306	поэзия а	1	1
307	мое и	1	1
308	слово было	1	1
309	это совершенно	1	1
310	выше его	1	1
311	по нашим	1	1
312	ему в	1	1
313	частный случай	1	1
314	слово не	2	1
315	свою очередь	1	1
316	меньшей степени	1	1
317	в основание	1	1
318	разумеется не	2	1
319	и этого	1	1
320	он сам	1	1
