N	4gram	Losev_Prob_3	KulturaY
1	и тем не менее	3	3
2	одним и тем же	1	2
3	в той или иной	2	2
4	одного и того же	1	2
5	здесь можно было бы	1	2
6	т д и т	4	1
7	только для того чтобы	1	1
8	но если это так	1	1
9	в собственном смысле слова	1	1
10	с этой точки зрения	1	1
11	во что бы то	1	1
12	то это вовсе не	1	1
13	который в данном случае	1	1
14	в том смысле что	3	1
15	или несколько или даже	1	1
16	бы то ни стало	1	1
17	только тогда когда мы	1	1
18	которое мы находим в	1	1
19	что бы то ни	1	1
20	когда имеется в виду	1	1
21	уже по одному тому	1	1
22	в нашем смысле слова	1	1
23	д и т д	4	1
24	и т д и	4	1
25	в войне и мире	1	1
26	мы должны сказать что	2	1
27	заключается в том что	2	1
28	тем не менее по	1	1
29	и в этом случае	3	1
30	если это так то	1	1
31	по одному тому что	1	1
32	когда мы говорим что	1	1
33	в тех случаях когда	1	1
