N	3gram	Tiupa_Vved_1	Literetu
1	то же время	3	9
2	в то же	4	9
3	не может быть	3	7
4	с одной стороны	5	6
5	в конечном счете	1	5
6	в том что	3	5
7	состоит в том	2	4
8	едва ли не	2	4
9	с другой стороны	1	4
10	в этом отношении	4	3
11	в данном случае	6	3
12	в том чтобы	2	3
13	по отношению к	7	3
14	речь идет о	1	3
15	о том что	4	2
16	в е годы	1	2
17	присутствия в мире	2	2
18	подобно тому как	2	2
19	в этом случае	1	2
20	по крайней мере	1	2
21	в равной степени	1	2
22	в том числе	1	2
23	тем не менее	3	2
24	при всей своей	2	2
25	однако и в	1	1
26	тогда как для	2	1
27	и рецептивного сознаний	1	1
28	но и не	1	1
29	мы имеем дело	3	1
30	а не с	1	1
31	как и для	1	1
32	может быть названа	1	1
33	случае следует вести	1	1
34	как раз не	1	1
35	в соответствии с	6	1
36	ли не наиболее	1	1
37	то же самое	1	1
38	одной стороны и	1	1
39	во внутренний мир	1	1
40	в романе доктор	1	1
41	романе доктор живаго	1	1
42	при всем многообразии	1	1
43	креативного и рецептивного	1	1
44	в отличие от	2	1
45	в начале х	1	1
46	от первого лица	1	1
47	из того что	1	1
48	том числе и	1	1
49	в сущности говоря	1	1
50	можно было бы	2	1
51	а то и	2	1
52	в основе своей	1	1
53	таком взгляде на	1	1
54	у него нет	1	1
55	своего и чужого	2	1
56	исследования в области	1	1
57	и в то	1	1
58	в предсмертном бреду	1	1
59	первого и второго	1	1
60	по сути своей	1	1
61	и представляет собой	2	1
62	при таком взгляде	1	1
63	в сфере художественного	1	1
64	и в пределах	1	1
65	и второго лица	1	1
66	имеем дело с	2	1
67	в нашем случае	2	1
68	не в том	1	1
69	все то что	1	1
70	а в том	1	1
71	в частности в	2	1
72	человеческого присутствия в	2	1
73	мы не можем	1	1
74	и не столько	1	1
75	сказать и о	1	1
76	в свою очередь	4	1
77	на самом деле	3	1
78	то есть в	1	1
79	и прежде всего	1	1
80	той или иной	2	1
81	в этой системе	1	1
82	и вполне закономерно	1	1
83	сфере художественного письма	1	1
84	а с другой	2	1
85	это свидетельствует о	1	1
86	как мы видели	2	1
