N	3gram	Vinokur_Ku_3	Poddanst
1	в то же	1	7
2	то же время	1	7
3	не только в	3	4
4	в том что	8	4
5	с точки зрения	16	3
6	с одной стороны	4	3
7	нужно помнить что	1	2
8	в том числе	2	2
9	и в то	1	2
10	но и в	1	2
11	и если бы	1	2
12	заключается в том	1	2
13	когда в силу	1	1
14	есть не более	1	1
15	идет именно о	1	1
16	чуть ли не	1	1
17	далеко не все	1	1
18	более или менее	2	1
19	разных точек зрения	1	1
20	в этом смысле	1	1
21	есть прежде всего	1	1
22	и в этом	4	1
23	и не может	1	1
24	тот или иной	2	1
25	хотя бы и	1	1
26	можно говорить о	3	1
27	в отличие от	2	1
28	с тем чтобы	2	1
29	в собственном смысле	1	1
30	совершенно ясно что	2	1
31	тех пор пока	4	1
32	вместе с тем	1	1
33	я имеют в	1	1
34	так же как	1	1
35	другой стороны есть	1	1
36	можно рассматривать с	1	1
37	не только как	3	1
38	не в том	2	1
39	во всяком случае	1	1
40	потому что есть	1	1
41	с другой стороны	3	1
42	в каком смысле	1	1
43	не может быть	3	1
44	до тех пор	4	1
45	но также и	1	1
46	само по себе	1	1
47	именно потому что	1	1
48	было бы грешно	1	1
49	тем более что	2	1
50	эти могут быть	2	1
51	ни на какие	1	1
52	в известном смысле	2	1
53	для того чтобы	11	1
54	но в этом	1	1
55	например в области	1	1
56	с разных точек	1	1
57	и т д	8	1
