N	3gram	Tiupa_Hudo_2	Myslijsy
1	в том что	11	16
2	по отношению к	7	5
3	в слове и	1	5
4	а в том	1	5
5	то же время	4	5
6	в то же	4	5
7	с другой стороны	1	4
8	в то время	1	4
9	не только в	2	4
10	до сих пор	2	3
11	что он не	1	3
12	с одной стороны	3	3
13	и т д	2	3
14	только в том	2	3
15	тем не менее	3	3
16	для того чтобы	3	3
17	не может быть	3	3
18	что и в	1	3
19	а между тем	3	2
20	то что я	1	2
21	подобно тому как	4	2
22	в таком случае	1	2
23	именно то что	1	2
24	в этом отношении	1	2
25	и т п	2	2
26	но тем не	2	2
27	в первом случае	1	2
28	и в том	1	2
29	нельзя сказать что	1	2
30	как и в	3	2
31	и в самом	1	2
32	не только не	2	2
33	можно сказать что	1	2
34	к тому что	4	2
35	упускать из виду	1	2
36	том что она	2	1
37	если бы эти	1	1
38	если бы она	1	1
39	а не в	2	1
40	в себе самом	1	1
41	в самом деле	3	1
42	то же самое	2	1
43	оттенить и выдвинуть	1	1
44	и в других	1	1
45	самим по себе	1	1
46	более глубокое и	1	1
47	но вслед за	1	1
48	то и другое	1	1
49	в том случае	1	1
50	в человеческой жизни	1	1
51	и то что	1	1
52	человеке и в	1	1
53	сводится к тому	1	1
54	то время как	1	1
55	нечто такое что	1	1
56	таким же радостным	1	1
57	в данном случае	2	1
58	из виду что	1	1
59	бы с такою	2	1
60	как на нечто	1	1
61	в человеке и	1	1
62	между тем в	1	1
63	а не как	1	1
64	она не знает	1	1
65	так или иначе	1	1
66	других в этом	1	1
67	он уже не	1	1
68	только в таком	1	1
69	именно тем что	1	1
70	это было бы	1	1
71	у него в	1	1
72	что не только	1	1
73	заключается в том	1	1
74	лишь в том	1	1
75	в своем воображении	1	1
76	о том что	7	1
77	уже в том	1	1
78	и чуждый его	1	1
79	не было ни	1	1
80	случае если бы	1	1
81	друг от друга	1	1
82	и то и	1	1
83	внутреннюю и внешнюю	1	1
84	после того как	1	1
85	легко может быть	1	1
86	в разговоре с	1	1
87	именно потому что	1	1
88	с нею в	1	1
89	и все что	1	1
90	к тому же	2	1
91	на наш взгляд	4	1
92	навести на мысль	1	1
