N	2gram	Vinokur_St_1	Sotsiolo
1	истории литературы	2	10
2	все это	5	7
3	в том	36	5
4	в этом	21	5
5	и только	3	3
6	более чем	2	3
7	для нас	7	3
8	не только	18	3
9	и в	44	3
10	но ведь	8	3
11	не в	12	3
12	в его	9	3
13	за пределы	2	2
14	но и	10	2
15	конце концов	1	2
16	было бы	17	2
17	к которому	4	2
18	должна быть	3	2
19	только в	10	2
20	дело не	4	2
21	далеко не	1	2
22	нужно было	2	2
23	в результате	3	2
24	тем более	4	2
25	том что	29	2
26	одно дело	1	2
27	в частности	4	2
28	как будто	4	2
29	то что	18	2
30	и что	4	2
31	литературы и	2	2
32	еще не	3	2
33	ведь это	1	2
34	таким образом	7	2
35	это и	4	2
36	отношению к	3	2
37	в конце	3	2
38	что в	30	2
39	может быть	15	2
40	как бы	4	2
41	по отношению	3	2
42	очевидно что	1	2
43	по существу	2	2
44	то же	5	2
45	друг от	1	1
46	крайней мере	2	1
47	в свои	1	1
48	что все	2	1
49	знания нельзя	1	1
50	право на	1	1
51	опираясь на	1	1
52	вряд ли	5	1
53	быть не	1	1
54	по себе	1	1
55	даже в	3	1
56	так называемым	1	1
57	эти вопросы	3	1
58	в этой	11	1
59	тому что	3	1
60	утверждает в	1	1
61	будто в	3	1
62	даже не	4	1
63	этой области	5	1
64	которая должна	1	1
65	на все	1	1
66	изучения и	1	1
67	с другой	9	1
68	ни одно	1	1
69	его в	2	1
70	художественных произведений	1	1
71	лучшем случае	1	1
72	это не	8	1
73	на этот	3	1
74	не наука	1	1
75	именно в	6	1
76	в чем	3	1
77	они ни	1	1
78	и принципов	1	1
79	все же	8	1
80	и есть	1	1
81	перед нами	1	1
82	в то	9	1
83	хотелось бы	1	1
84	что таким	1	1
85	тем же	3	1
86	какой же	1	1
87	еще и	2	1
88	только то	1	1
89	а с	3	1
90	том как	4	1
91	тем что	5	1
92	наука а	1	1
93	в наше	1	1
94	в процессе	1	1
95	что эти	1	1
96	история литературы	2	1
97	что он	10	1
98	тогда и	1	1
99	прежде всего	7	1
100	в них	1	1
101	так и	9	1
102	не было	4	1
103	одной стороны	2	1
104	но только	1	1
105	стр но	2	1
106	и не	16	1
107	это вовсе	2	1
108	полагает что	1	1
109	никогда не	5	1
110	на основании	1	1
111	наше время	1	1
112	мы не	2	1
113	же время	4	1
114	ничего не	2	1
115	и о	1	1
116	все эти	5	1
117	чуть ли	2	1
118	именно на	1	1
119	как и	9	1
120	между собой	1	1
121	или нет	1	1
122	бы в	1	1
123	для этого	2	1
124	этом не	1	1
125	в настоящее	1	1
126	иначе говоря	1	1
127	стр и	5	1
128	стр очевидно	1	1
129	серьезно и	1	1
130	в таких	1	1
131	в сущности	2	1
132	пришлось бы	1	1
133	против этого	1	1
134	образом в	1	1
135	конечно не	2	1
136	только поэзия	1	1
137	иначе и	1	1
138	и его	8	1
139	в этих	2	1
140	место в	1	1
141	от друга	1	1
142	в лучшем	1	1
143	хотя бы	6	1
144	в целом	5	1
145	не может	8	1
146	в своей	6	1
147	а в	17	1
148	работы в	3	1
149	что она	4	1
150	стр в	4	1
151	о том	17	1
152	в области	14	1
153	к изучению	1	1
154	и потому	2	1
155	же это	3	1
156	настоящее время	1	1
157	представить себе	1	1
158	больше того	1	1
159	но именно	2	1
160	в котором	5	1
161	и стиля	1	1
162	может не	2	1
163	столь же	4	1
164	время в	1	1
165	всяком случае	6	1
166	когда мы	1	1
167	ни на	2	1
168	наука о	1	1
169	должно было	2	1
170	что это	4	1
171	вовсе не	19	1
172	ни были	2	1
173	ли не	2	1
174	не исчерпываются	1	1
175	с одной	3	1
176	а между	1	1
177	литературе о	1	1
178	но не	3	1
179	у него	2	1
180	для изучения	4	1
181	в виде	3	1
182	в данном	14	1
183	между тем	3	1
184	но как	1	1
185	и по	5	1
186	что на	2	1
187	по крайней	2	1
188	не один	1	1
189	и более	2	1
190	том и	1	1
191	во всяком	6	1
192	бы они	1	1
193	в каждом	3	1
194	они не	1	1
