N	2gram	Losev_Vlad_3	FransuaR
1	и в	40	65
2	то есть	24	45
3	и др	1	24
4	как бы	3	22
5	и не	25	22
6	вовсе не	13	18
7	в сущности	2	16
8	в том	18	16
9	в этом	16	15
10	но в	4	14
11	в нем	3	13
12	мы уже	5	12
13	и на	6	11
14	прежде всего	10	11
15	все эти	5	10
16	не только	25	10
17	и его	10	10
18	так и	6	10
19	но и	18	10
20	и потому	10	10
21	том числе	1	10
22	во всех	1	9
23	в его	14	9
24	все это	1	9
25	за пределы	3	8
26	в своем	8	8
27	в основе	1	8
28	в духе	3	8
29	в дальнейшем	4	8
30	и даже	6	8
31	здесь в	4	8
32	по своему	1	8
33	и другие	1	8
34	его в	2	7
35	точки зрения	13	7
36	только в	13	7
37	влияние на	1	7
38	жизни и	1	7
39	на самом	3	6
40	в году	10	6
41	они были	1	6
42	в ней	5	6
43	еще не	4	6
44	все же	4	6
45	и у	3	6
46	при этом	3	6
47	том что	18	6
48	в отношении	5	6
49	никогда не	11	6
50	как мы	8	6
51	нашей работы	1	6
52	в литературе	1	6
53	так как	7	6
54	может быть	8	6
55	века и	1	6
56	сказать что	12	6
57	с его	2	5
58	отличие от	3	5
59	как в	1	5
60	с их	3	5
61	в них	1	5
62	рядом с	1	5
63	как и	7	5
64	земли и	1	5
65	в своей	9	5
66	потому что	11	5
67	той или	2	5
68	для него	8	5
69	в одном	5	5
70	или иной	1	5
71	еще и	18	5
72	в частности	1	5
73	xix века	6	5
74	и все	4	5
75	еще более	1	5
76	в своих	7	5
77	здесь и	2	4
78	в общем	1	4
79	и к	2	4
80	в самом	4	4
81	в этой	8	4
82	так сказать	1	4
83	эпохи возрождения	1	4
84	и еще	2	4
85	на всю	1	4
86	во время	1	4
87	в их	2	4
88	в отличие	3	4
89	не понимает	2	4
90	не в	3	4
91	до сих	1	4
92	можно только	2	4
93	на всех	1	4
94	начало в	1	4
95	связи с	2	4
96	в жизни	2	4
97	из них	2	4
98	выходит за	1	4
99	нужно сказать	1	4
100	сих пор	1	4
101	мира и	1	4
102	для нас	5	4
103	между ними	1	4
104	совершенно не	2	4
105	новое время	1	3
106	можно говорить	1	3
107	самом деле	1	3
108	по его	2	3
109	всего существующего	3	3
110	мы и	2	3
111	конечно и	1	3
112	мы будем	2	3
113	не просто	10	3
114	и вовсе	3	3
115	связанный с	1	3
116	в себя	1	3
117	уже не	9	3
118	но все	3	3
119	то что	28	3
120	в себе	9	3
121	но на	2	3
122	перестает быть	1	3
123	и с	9	3
124	на этой	1	3
