N	3gram	Vygotskiy__4	VelikijI
1	за то что	3	3
2	в первый раз	3	3
3	то что мы	3	3
4	к тому что	5	3
5	все тот же	2	2
6	том что он	3	2
7	первый раз о	1	2
8	вместо того чтобы	2	2
9	в нем нет	2	2
10	в том что	12	2
11	и т д	2	2
12	в ней и	1	1
13	но под конец	1	1
14	все это мы	1	1
15	бы то ни	1	1
16	с пути и	1	1
17	вместе с тем	2	1
18	так как она	3	1
19	что есть что-то	1	1
20	будем говорить о	1	1
21	в конце концов	3	1
22	и в этом	3	1
23	и не было	1	1
24	он говорит что	2	1
25	в словах его	1	1
26	с другой стороны	2	1
27	как бы в	1	1
28	и вместе с	1	1
29	и никогда не	1	1
30	мы видим что	2	1
31	и что в	3	1
32	в жизни и	1	1
