N	3gram	Bakhtin_Pr_2	PoTuStor
1	с точки зрения	9	6
2	по ту сторону	1	4
3	на самом деле	1	4
4	с самого начала	1	4
5	в этом смысле	5	3
6	до сих пор	2	3
7	по крайней мере	2	3
8	по сравнению с	2	3
9	не может быть	6	3
10	можно сказать что	2	3
11	в большинстве случаев	2	3
12	а потому и	1	2
13	нам кажется что	1	2
14	в нем нет	1	2
15	так же как	3	2
16	в самом деле	3	2
17	в его целом	3	2
18	о том что	3	2
19	мы можем сказать	2	2
20	и в этом	6	2
21	свое отношение к	1	1
22	я и мир	1	1
23	точки зрения сознания	1	1
24	и того же	1	1
25	то что я	1	1
26	для него только	1	1
27	и в высшей	1	1
28	в самые основы	1	1
29	зависит от того	1	1
30	отдаленную связь с	1	1
31	дело в том	1	1
32	мы имеем в	2	1
33	в нем и	1	1
34	имеем в виду	2	1
35	подобно тому как	2	1
36	одного и того	1	1
37	сих пор еще	1	1
38	же как и	2	1
39	герой нашего времени	1	1
40	который необходим для	1	1
41	как мы сказали	3	1
42	конечно не может	1	1
43	довести до сознания	1	1
44	не может иметь	1	1
45	сознание и в	1	1
46	и др и	1	1
47	а может быть	2	1
48	как и с	1	1
49	в этом отношении	2	1
50	остановимся на некоторых	1	1
51	совершенно так же	2	1
52	можно было бы	1	1
53	мы отвлечемся от	1	1
54	как и всегда	1	1
55	может быть только	2	1
56	как со стороны	1	1
57	вспомним хотя бы	1	1
58	нужно отметить что	1	1
59	так как он	1	1
60	же что и	1	1
61	внешний мир в	1	1
62	том что мы	1	1
63	в данном случае	1	1
64	но именно этот	1	1
65	и т.п и	1	1
66	в высшей степени	1	1
67	ничего общего не	1	1
68	как один из	1	1
69	и пр как	1	1
70	его за пределы	1	1
71	формы так и	1	1
72	которая позволила бы	1	1
73	могут быть поняты	1	1
74	при всей их	1	1
75	самом деле в	1	1
76	в свое время	2	1
77	в том что	4	1
78	этой точки зрения	2	1
79	отношения к предмету	1	1
80	так как его	1	1
81	те же что	1	1
82	говорить о том	1	1
83	чтобы войти в	1	1
84	и быть не	1	1
85	в том смысле	1	1
86	следа не только	1	1
87	точки зрения может	1	1
88	друг с другом	2	1
89	быть не может	1	1
90	для того чтобы	1	1
91	можем сказать что	2	1
92	может быть даже	2	1
93	и входит в	1	1
94	той или иной	3	1
95	он прежде всего	2	1
