N	3gram	Tiupa_Anal_2	Mirosoze
1	не может быть	1	17
2	но и в	1	4
3	и в самом	2	3
4	прежде всего в	1	2
5	по отношению к	4	2
6	хотя бы и	1	2
7	в том смысле	1	2
8	не только в	2	2
9	а не только	2	2
10	он не только	1	2
11	но когда он	1	1
12	что иное как	1	1
13	могут производить впечатление	1	1
14	в самом деле	1	1
15	так и не	4	1
16	и он же	2	1
17	человек и в	1	1
18	в отличие от	2	1
19	ко всему этому	1	1
20	только с одним	1	1
21	что в конце	1	1
22	в значительной степени	2	1
23	во всех этих	1	1
24	по природе своей	2	1
25	не только для	1	1
26	не принимает ни	1	1
27	в своей истории	1	1
28	в отношении к	1	1
29	между тем как	1	1
30	как бы не	1	1
31	том смысле что	1	1
32	он ничего не	1	1
33	о том что	6	1
34	с собой он	1	1
35	в мире так	1	1
36	не что иное	1	1
37	можно было бы	2	1
38	в том что	6	1
39	выходят за пределы	1	1
