N	2gram	Bakhtin_Fr_1	Otkroven
1	у него	1	22
2	и в	65	19
3	но и	10	13
4	и не	22	13
5	в этом	15	12
6	человека в	1	11
7	не в	4	11
8	не только	10	11
9	может быть	6	11
10	а не	1	11
11	человека и	1	10
12	в нем	13	10
13	и все	5	10
14	в самой	3	9
15	прежде всего	11	9
16	к человеку	1	9
17	не было	1	9
18	никогда не	6	9
19	потому что	5	9
20	он был	2	8
21	и он	2	8
22	он всегда	1	7
23	в его	9	7
24	он не	2	7
25	лишь в	1	7
26	до конца	2	7
27	ни с	2	7
28	нет ничего	3	7
29	но он	1	7
30	от него	2	7
31	человеческой души	1	6
32	как и	5	6
33	все это	9	6
34	отношение к	4	5
35	в том	16	5
36	в самом	4	5
37	в этой	4	5
38	для него	5	5
39	то что	3	5
40	человеку и	1	5
41	курсив мой	1	4
42	с его	5	4
43	все эти	10	4
44	что не	2	4
45	человеческих отношений	2	4
46	не может	3	4
47	того чтобы	1	4
48	и его	10	4
49	что в	3	4
50	только и	1	4
51	нем нет	1	3
52	о том	2	3
53	еще не	6	3
54	к нему	3	3
55	было бы	1	3
56	того что	2	3
57	что он	3	3
58	и ее	1	3
59	в себе	3	3
60	и вот	2	3
61	не могут	3	3
62	для того	1	3
63	это было	2	3
64	это не	3	3
65	самой глубине	1	3
66	мысли и	4	3
67	могут быть	2	3
68	как бы	22	3
69	с ним	3	3
70	и от	2	3
71	в этих	2	3
72	хотя бы	1	3
73	в своих	5	3
74	все что	1	3
75	и с	3	2
76	в ее	3	2
77	так и	10	2
78	него всегда	1	2
79	по себе	1	2
80	и на	11	2
81	что и	1	2
82	как к	1	2
83	в своем	8	2
84	все же	6	2
85	и к	4	2
86	в этот	1	2
87	и потому	10	2
88	и этим	2	2
89	в которой	1	2
90	в уста	1	2
91	он в	1	2
92	уже в	1	2
93	в единстве	1	2
94	о которой	1	2
95	одно из	6	2
96	же это	1	2
97	которую он	1	2
98	так как	6	2
99	тем что	1	2
100	в других	3	2
101	даже и	3	2
102	момент в	1	2
103	его в	7	2
104	сказать что	6	2
105	и очень	2	2
106	было для	1	2
107	него не	1	2
108	подойти к	1	2
109	том что	6	2
110	для всякого	1	2
111	к этому	1	2
112	не могли	1	2
113	свобода и	1	2
114	можно ли	1	2
115	с которой	1	2
116	и для	2	2
117	самое главное	1	2
118	ничего не	3	2
119	природы в	1	2
120	и ни	3	2
121	разных сторон	1	2
122	жизни в	5	2
123	в своей	5	2
124	что все	1	2
125	хотя и	2	2
126	но в	14	2
127	всегда в	3	1
128	народ в	1	1
129	и это	2	1
130	отношения к	2	1
131	в обычном	3	1
