N	3gram	Losev_Dial_1	Literetu
1	то же время	4	9
2	в то же	4	9
3	не может быть	3	7
4	с одной стороны	2	6
5	в том что	7	5
6	с другой стороны	4	4
7	с точки зрения	12	3
8	в этом отношении	2	3
9	в том чтобы	1	3
10	о том что	2	2
11	и т п	2	2
12	по крайней мере	4	2
13	одно и то	4	2
14	и то же	4	2
15	тем не менее	1	2
16	в сравнении с	1	2
17	и мы пошли	1	1
18	мы имеем дело	1	1
19	а не с	1	1
20	может быть названа	1	1
21	но даже и	1	1
22	она уже не	1	1
23	то же самое	1	1
24	одной стороны и	2	1
25	что же касается	1	1
26	чего и что	1	1
27	что он не	2	1
28	только то что	3	1
29	из того что	1	1
30	ни с какой	4	1
31	вместе с ним	1	1
32	можно было бы	4	1
33	и даже в	1	1
34	все равно с	1	1
35	и вовсе не	1	1
36	жизни и в	1	1
37	и в то	2	1
38	но это и	1	1
39	ничего общего с	3	1
40	для того кто	1	1
41	в данный момент	1	1
42	ничего такого чего	1	1
43	в конце концов	3	1
44	имеет ничего общего	3	1
45	во всех этих	1	1
46	так что уже	1	1
47	не в том	1	1
48	я не могу	1	1
49	в последнем случае	1	1
50	это и не	1	1
51	не имеет ничего	3	1
52	однако это не	1	1
53	а в том	1	1
54	так что видно	1	1
55	на самом деле	2	1
56	никогда не бывает	1	1
57	той или иной	3	1
58	традиции еще не	1	1
59	к тому что	2	1
60	тех или иных	1	1
61	для того чтобы	1	1
