N	4gram	Trubetskoy_1	Vvedenie
1	в то же время	10	6
2	не трудно видеть что	1	4
3	но в то же	1	3
4	заключается в том что	1	2
5	дело в том что	1	2
6	во всяком случае не	1	1
7	его можно было бы	1	1
8	можно было бы обозначить	1	1
9	и прежде всего в	1	1
10	не могут не быть	1	1
11	в данном случае и	1	1
12	в течение очень долгого	1	1
13	говорить о том что	1	1
14	при беспристрастном взгляде на	1	1
15	точно так же как	1	1
16	бы то ни было	1	1
17	также и то что	1	1
18	в том виде как	1	1
19	одного и того же	1	1
20	то же время в	1	1
21	это то же самое	1	1
