N	2gram	Tiupa_Disk_2	Vvedenie
1	и в	16	32
2	в том	8	31
3	в этом	16	30
4	может быть	16	26
5	том что	10	26
6	не только	10	22
7	таким образом	1	19
8	также и	3	18
9	то что	5	16
10	потому что	4	15
11	не может	9	14
12	но также	1	14
13	в нем	7	13
14	в самом	1	13
15	со стороны	10	13
16	о том	4	13
17	как на	3	12
18	того что	1	12
19	и не	15	12
20	только в	3	12
21	в его	3	12
22	представляет собой	11	12
23	в ее	1	11
24	и именно	1	11
25	в данном	7	11
26	языка и	1	10
27	что в	5	10
28	между тем	2	9
29	в той	2	9
30	в истории	1	9
31	то же	6	9
32	но в	11	9
33	и как	3	9
34	не менее	7	8
35	не в	3	8
36	тем не	1	8
37	именно в	2	8
38	с другой	5	8
39	это не	3	8
40	но не	7	7
41	все же	6	7
42	вопрос о	1	7
43	прежде всего	7	7
44	точки зрения	4	7
45	как нечто	1	7
46	в применении	1	7
47	самом деле	1	7
48	к выводу	1	7
49	же время	5	6
50	вовсе не	1	6
51	его в	3	6
52	но и	11	6
53	и даже	1	6
54	как и	16	6
55	и его	3	6
56	в качестве	16	6
57	н э	1	6
58	в то	5	6
59	один из	1	6
60	тем что	1	6
61	не могут	1	6
62	все это	2	6
63	и это	2	6
64	из этих	3	6
65	применении к	1	6
66	одним из	1	5
67	данном случае	6	5
68	на этот	1	5
69	в какой	1	5
70	той мере	1	5
71	а не	14	5
72	об этом	1	5
73	так что	1	5
74	но если	1	5
75	в целом	2	5
76	на почве	2	5
77	сказать что	1	5
78	вместе с	2	5
79	с их	2	5
80	по своему	1	5
81	в них	3	5
82	другой стороны	2	5
83	мере в	1	5
84	могут быть	3	5
85	представляют собой	1	5
86	в которых	1	5
87	как бы	4	5
88	не есть	1	5
89	в себе	19	4
90	еще не	6	4
91	во всяком	1	4
92	в разных	1	4
93	и для	2	4
94	отношению к	4	4
95	еще и	1	4
96	и ее	3	4
97	крайней мере	1	4
98	по крайней	1	4
99	быть названо	1	4
100	как это	1	4
101	в своей	6	4
102	а в	2	4
103	одно из	4	4
104	в тексте	3	4
105	с этой	1	4
106	что он	2	4
107	как уже	2	4
108	этом случае	2	4
109	по отношению	4	4
110	как она	1	4
111	в первом	1	4
112	всяком случае	1	4
113	о чем	2	4
114	времени и	2	4
115	не просто	1	4
116	уже не	3	4
117	мы имеем	2	4
118	особого рода	1	4
119	в особенности	1	4
120	одной стороны	4	4
121	внимание на	1	4
122	в котором	3	4
123	с одной	4	4
124	этом отношении	4	4
125	этого понятия	1	4
126	и что	1	4
127	той же	2	4
128	и т.д	1	4
129	и то	4	4
130	как о	1	4
131	все эти	3	3
132	но с	1	3
133	в в	1	3
134	в свое	2	3
135	в собственном	1	3
136	говорить о	2	3
137	можно сказать	3	3
138	при этом	17	3
139	с прошлым	1	3
140	может служить	1	3
141	свое время	2	3
142	дело не	1	3
143	и есть	1	3
144	в одном	4	3
145	ответ на	1	3
146	стороны и	2	3
147	но все	1	3
148	в строгом	3	3
149	что же	2	3
150	одной из	1	3
151	в области	2	3
152	что может	1	3
153	отношение к	2	3
154	до нас	1	3
155	к тому	1	3
156	хотя и	1	3
157	духовной жизни	1	3
158	во второй	1	3
159	в чем	1	3
160	своего рода	10	3
161	дело в	2	3
162	в сущности	1	3
163	да и	1	3
164	такого рода	9	3
165	в конечном	1	3
166	в этой	4	3
167	не вполне	1	3
168	в этих	3	3
169	которых не	2	3
170	что и	2	3
171	и на	5	3
172	однако не	1	3
173	до конца	1	3
174	в результате	2	3
175	на этом	1	3
176	не как	1	3
177	времени в	4	3
178	должен быть	1	3
179	в частности	12	3
180	а также	8	3
181	в ней	2	3
182	к этому	4	3
183	со всей	1	3
184	своей природе	1	3
185	как будто	3	3
186	он сам	1	3
187	из них	3	3
188	может оказаться	1	3
189	в своем	5	3
190	том же	1	2
191	каждый из	1	2
192	отсюда и	2	2
193	и здесь	1	2
194	в значительной	1	2
195	и с	2	2
196	в другом	3	2
197	входит в	2	2
198	тогда как	11	2
199	ни одна	1	2
200	жизни и	3	2
201	того же	2	2
202	как искусство	1	2
203	не к	2	2
204	в этот	1	2
205	здесь не	2	2
206	и развития	1	2
207	так и	9	2
208	и со	1	2
209	не было	3	2
210	должна быть	2	2
211	с ней	2	2
212	говоря уже	1	2
213	из двух	3	2
214	и так	1	2
215	это еще	2	2
216	это в	2	2
217	воззрения на	2	2
218	мы не	1	2
219	который по	2	2
220	во всех	1	2
221	другом месте	1	2
222	и наоборот	1	2
223	в форме	1	2
224	нашего времени	1	2
225	собой в	1	2
226	в принципе	2	2
227	и собственно	1	2
228	этого не	1	2
229	время в	2	2
230	или иной	3	2
231	есть не	1	2
232	было сказано	1	2
233	в силу	1	2
234	между ними	1	2
235	о которой	1	2
236	с теми	1	2
237	задний план	1	2
238	большей части	2	2
239	никогда не	2	2
240	не с	2	2
241	из которых	1	2
242	и той	1	2
243	с точки	2	2
244	не говоря	1	2
245	истории в	1	2
246	об особом	1	2
247	для нее	1	2
248	но уже	2	2
249	и сам	1	2
250	только на	1	2
251	должно быть	2	2
252	ничего не	1	2
253	по самой	1	2
254	в языке	2	2
255	не столько	3	2
256	в соответствии	2	2
257	под ней	1	2
258	могло бы	1	2
259	тому как	2	2
260	и др	1	2
261	для этого	1	2
262	одна из	1	2
263	будто бы	1	2
264	же как	2	2
265	того как	1	2
266	с конца	1	2
267	как сказано	1	2
268	на рубеже	3	2
269	о них	1	2
270	этого термина	1	2
271	не нужно	2	2
272	соответствии с	3	2
273	несмотря на	1	2
274	же касается	2	2
275	быть и	1	2
276	подобно тому	2	2
277	не бывает	1	2
278	не следует	3	2
279	всякий памятник	1	2
280	и должно	1	2
281	внимания к	1	2
