N	2gram	Berdyaev_M_2	Vladivir
1	вл соловьев	1	136
2	и в	46	30
3	в этом	20	20
4	то что	5	20
5	у него	22	19
6	и не	18	18
7	в том	3	18
8	и с	3	14
9	что он	7	13
10	в конце	5	13
11	не только	18	12
12	том что	4	12
13	что в	4	12
14	в его	5	11
15	а в	2	11
16	сказать что	3	11
17	а также	1	10
18	не было	11	10
19	было бы	1	9
20	не в	9	9
21	не может	15	9
22	для него	18	9
23	потому что	12	9
24	в своем	8	8
25	но в	10	8
26	что же	2	8
27	не мог	3	8
28	связи с	2	8
29	в письме	1	8
30	но и	15	8
31	вместе с	2	8
32	до конца	4	7
33	ни в	3	7
34	которую он	1	7
35	точки зрения	2	7
36	никогда не	18	7
37	может быть	21	7
38	а не	13	7
39	и все	5	7
40	также и	4	6
41	он был	9	6
42	хотя и	2	6
43	и к	7	6
44	в себе	10	6
45	об этом	1	6
46	и его	5	6
47	у нас	11	6
48	только в	3	6
49	прежде всего	12	6
50	о чем	1	6
51	к этому	1	6
52	жизни и	6	6
53	того же	1	5
54	и то	1	5
55	с этим	1	5
56	то в	2	5
57	все эти	1	5
58	как и	13	5
59	в своей	5	5
60	в котором	1	5
61	по себе	2	5
62	так как	8	5
63	к концу	1	5
64	для себя	1	5
65	так и	4	5
66	с ним	3	5
67	и что	2	5
68	того что	6	5
69	тот же	2	5
70	он уже	2	5
71	так что	2	5
72	но что	1	5
73	как бы	8	5
74	все это	1	5
75	из этого	1	5
76	то же	5	4
77	той же	3	4
78	я не	5	4
79	и он	11	4
80	в ней	11	4
81	и на	3	4
82	с его	4	4
83	совсем не	5	4
84	отношение к	8	4
85	в которой	2	4
86	что это	6	4
87	в целом	1	4
88	в этой	7	4
89	и если	2	4
90	на его	2	4
91	в нем	22	4
92	он не	10	4
93	его в	3	4
94	в этих	2	4
95	мы должны	1	4
96	не есть	13	4
97	о том	3	4
98	так же	6	4
99	с этой	1	4
100	но это	8	4
101	письме к	1	4
102	ко всему	1	4
103	по поводу	1	4
104	отношения к	2	3
105	и вот	5	3
106	быть в	1	3
107	во всех	2	3
108	не то	1	3
109	его на	4	3
110	как в	7	3
111	и как	1	3
112	поскольку в	1	3
113	в последний	1	3
114	те же	5	3
115	в них	3	3
116	должно быть	2	3
117	он сказал	1	3
118	в отношении	5	3
119	с точки	1	3
120	но он	11	3
121	в россии	3	3
122	не могли	1	3
123	к такому	1	3
124	только и	4	3
125	учения о	1	3
126	к ней	2	3
127	и это	5	3
128	что и	4	3
129	уже не	4	3
130	уже в	2	3
131	наконец в	1	3
132	конце концов	1	3
133	нет ничего	3	3
134	да и	2	3
135	и для	7	3
136	еще более	2	3
137	хотя бы	7	3
138	в свою	4	3
139	это в	1	3
140	бог и	1	2
141	я и	2	2
142	всем и	1	2
143	сам по	2	2
144	и есть	8	2
145	приходит к	2	2
146	его не	2	2
147	от всякой	1	2
148	что если	1	2
149	который был	2	2
150	в будущем	1	2
151	он исповедовал	1	2
152	не был	2	2
153	по своему	1	2
154	россии и	2	2
155	только тогда	1	2
156	себе и	2	2
157	как к	2	2
158	я должен	1	2
159	в самом	5	2
160	во многих	1	2
161	как он	3	2
162	на то	1	2
163	человек не	7	2
164	а к	1	2
165	и сам	1	2
166	на земле	8	2
167	на этом	2	2
168	но все	1	2
169	на все	3	2
170	это не	5	2
171	начала и	1	2
172	он же	3	2
173	этого не	1	2
174	с тем	1	2
175	а за	2	2
176	эту тему	1	2
177	которой он	1	2
178	мы не	1	2
179	еще в	2	2
180	народа и	4	2
181	достоевского но	1	2
182	ли он	1	2
183	жизни с	1	2
184	их в	1	2
185	она не	8	2
186	иной раз	1	2
187	не имеет	4	2
188	тогда когда	2	2
189	правда в	2	2
190	того как	3	2
191	к этим	1	2
192	тогда и	1	2
193	в самых	1	2
194	того чтобы	4	2
195	не о	2	2
196	мыслей и	1	2
197	в русском	4	2
198	уже и	1	2
199	как будто	2	2
200	а мы	1	2
201	и часто	1	2
202	к тому	5	2
203	которая есть	2	2
204	он никогда	1	2
205	можно и	1	2
206	хотел бы	1	2
207	но по	1	2
208	людей в	2	2
209	не могу	6	2
210	возможно что	1	2
211	ничего не	2	2
212	со своей	1	2
213	вот это	1	2
214	после того	2	2
215	в чем	3	2
216	в сущности	2	2
217	и во	3	2
218	нас в	2	2
219	или как	1	2
220	к нему	2	2
221	которой мы	1	2
222	и можно	3	2
223	и она	3	2
224	себя в	4	2
225	он сам	6	2
226	него и	2	2
227	его и	1	2
228	себе в	2	2
229	в новом	1	2
230	друг друга	12	2
231	бытия и	1	2
232	ее на	1	2
233	для того	5	2
234	нельзя себе	1	2
235	себе представить	1	2
236	как у	2	2
237	и прежде	1	2
238	о пушкине	1	2
239	во второй	1	2
240	что не	2	2
241	церкви и	1	2
242	с которым	3	2
243	было для	2	2
244	на эту	1	2
245	и потому	7	2
246	в той	1	2
247	такого рода	2	2
248	это за	1	2
249	бы его	2	2
250	не любил	1	2
251	можно было	2	2
252	в более	2	2
253	и от	3	2
254	у достоевского	34	2
255	к этой	1	2
256	чувствовал себя	1	2
257	жизни в	3	2
258	с ней	1	2
259	есть и	3	2
260	же и	2	2
261	в своих	3	2
262	смысле слова	3	1
263	от этой	2	1
264	последних времен	1	1
265	обращается в	1	1
266	уже все	2	1
267	о боге	1	1
268	бытия а	1	1
269	последний раз	1	1
270	мере в	1	1
271	он хотел	1	1
272	между двумя	1	1
273	по преимуществу	5	1
274	высшей степени	3	1
275	с таким	2	1
276	и за	2	1
277	есть не	5	1
278	характер его	1	1
279	жизни которое	1	1
280	ответить на	1	1
281	говорить о	1	1
282	но она	2	1
283	что иное	3	1
284	а для	2	1
285	требует от	1	1
286	начала в	3	1
287	с любимым	1	1
288	и самого	3	1
289	в которых	1	1
290	иное как	3	1
291	он считал	1	1
292	в какие	1	1
293	этим не	1	1
294	я никогда	2	1
295	за него	1	1
296	самом деле	1	1
297	то он	2	1
298	нельзя понимать	1	1
299	к богу	2	1
300	не все	1	1
301	если в	1	1
302	менее всего	3	1
303	него с	1	1
304	нет и	1	1
305	когда тот	1	1
306	что они	3	1
307	но без	1	1
308	христе и	1	1
309	более чем	2	1
310	независимо от	1	1
311	духовный мир	1	1
312	что нет	3	1
313	когда он	1	1
314	целый ряд	1	1
315	вопросом о	1	1
316	его к	1	1
317	было также	1	1
318	духа и	3	1
319	знаю что	1	1
320	идея и	3	1
321	за границей	1	1
322	к чему	4	1
323	лежит на	1	1
324	его творений	1	1
325	та же	10	1
326	бы и	5	1
327	он в	3	1
328	в нашем	7	1
329	право на	1	1
330	думать что	4	1
331	что ничего	1	1
332	человеческую личность	1	1
333	если он	2	1
334	так от	1	1
335	что она	5	1
336	в первых	1	1
337	свободой своей	1	1
338	после этого	1	1
339	они в	1	1
340	xix века	1	1
341	в тот	1	1
342	чем у	4	1
343	к одному	1	1
344	не к	2	1
345	зла и	7	1
346	всех своих	1	1
347	в пустыне	1	1
348	что все	5	1
349	им как	1	1
350	говорил что	1	1
351	по силе	1	1
352	они стояли	1	1
353	лишь в	2	1
354	его личности	1	1
355	в свое	1	1
356	он есть	1	1
357	отца и	1	1
358	по истории	1	1
359	которая была	1	1
360	в жизни	4	1
361	невозможно и	1	1
362	так называемого	1	1
363	для них	1	1
364	из нее	1	1
365	в высшей	3	1
366	что природа	2	1
367	все равно	3	1
368	к которым	1	1
369	всю жизнь	3	1
370	жизни который	1	1
371	только бога	1	1
372	чем в	2	1
373	бога и	5	1
374	но я	1	1
375	не так	3	1
376	католичества и	1	1
377	но если	1	1
378	от своего	1	1
379	человека которому	1	1
380	будет в	1	1
381	можно найти	1	1
382	в такой	3	1
383	и без	1	1
384	всему миру	1	1
385	место в	2	1
386	степени не	1	1
387	его отношение	4	1
388	своего рода	1	1
389	любовь и	3	1
390	нельзя было	2	1
391	мир и	2	1
392	но эта	2	1
393	которые в	2	1
394	религиозной и	1	1
395	если бы	3	1
396	есть еще	2	1
397	могли быть	1	1
398	действия не	1	1
399	сам он	2	1
400	но они	1	1
401	человечества и	1	1
402	в русской	6	1
403	все мы	1	1
404	этого нужно	1	1
405	что такое	1	1
406	как о	1	1
407	совсем иное	2	1
408	бога не	4	1
409	любовь эта	1	1
410	это с	1	1
411	на путях	1	1
412	следовательно и	1	1
413	и всегда	3	1
414	всех нравственных	1	1
415	жизни не	2	1
416	в самой	1	1
417	и весь	1	1
418	и женщины	4	1
419	он хочет	3	1
420	во всем	5	1
421	добру и	1	1
422	был так	1	1
423	в сознании	1	1
424	его природа	1	1
425	было не	2	1
426	только с	3	1
427	перед ним	4	1
428	бытия не	1	1
429	и здесь	6	1
430	должны быть	4	1
431	может менее	1	1
432	подпасть под	1	1
433	что является	1	1
434	все еще	1	1
435	александра iii	1	1
436	своего отца	1	1
437	он призывал	2	1
438	не будет	3	1
439	не хочу	1	1
440	этого всеобщего	1	1
441	на той	1	1
442	от того	3	1
443	верит в	2	1
444	как с	1	1
445	и перед	3	1
446	с собой	2	1
447	на нее	1	1
448	с самим	3	1
449	когда в	1	1
450	ничего подобного	3	1
451	самостоятельную жизнь	1	1
452	разрыв с	1	1
453	быть может	2	1
454	для этого	4	1
455	еще ни	1	1
456	католичеством и	1	1
457	до последних	2	1
458	до полной	1	1
459	уже было	1	1
460	и должно	3	1
461	на их	1	1
462	и возможно	2	1
463	может не	1	1
464	на вопрос	1	1
465	годов не	1	1
466	и та	2	1
467	есть бог	2	1
468	и который	1	1
469	точно в	1	1
470	до известной	1	1
471	а напротив	1	1
472	жизни он	3	1
473	и всю	1	1
474	как внутреннее	1	1
475	добра и	5	1
476	и хочет	1	1
477	раньше чем	1	1
478	во втором	1	1
479	тотчас же	1	1
480	является ему	1	1
481	также в	1	1
482	и об	1	1
483	– то	2	1
484	но с	2	1
485	наоборот он	1	1
486	но тот	1	1
487	и бога	2	1
488	моей стороны	1	1
489	в какой	1	1
490	но ни	1	1
491	известного рода	1	1
492	пор не	1	1
493	это очень	1	1
494	всех его	1	1
495	и ее	1	1
496	видишь ли	1	1
497	и тем	1	1
498	со всеми	1	1
499	к которой	3	1
500	был человеком	1	1
501	в иване	1	1
502	к существу	1	1
503	к идее	1	1
504	человеческой личностью	1	1
505	ни одного	2	1
506	человеческого духа	5	1
507	много времени	1	1
508	не принимает	1	1
509	и других	2	1
510	всегда было	1	1
511	так писал	1	1
512	мужчины и	4	1
513	никто не	1	1
514	чем вл	1	1
515	в прошлом	1	1
516	сказал ни	1	1
517	вот с	1	1
518	дело и	1	1
519	тем что	3	1
520	этом отношении	1	1
521	мир на	1	1
522	это будет	1	1
523	как можно	1	1
524	ты не	1	1
525	не были	1	1
526	жизнь она	1	1
527	до сих	3	1
528	что человек	2	1
529	и русская	2	1
530	тот кто	5	1
531	миру и	1	1
532	человеку если	1	1
533	и быть	1	1
534	же о	1	1
535	на которые	1	1
536	в природе	1	1
537	на людей	2	1
538	при чем	1	1
539	больше и	1	1
540	к более	1	1
541	чувствовал что	1	1
542	в менее	1	1
543	европы но	1	1
544	человеческой жизни	2	1
545	слабости в	1	1
546	еврейский народ	1	1
547	грядущему антихристу	1	1
548	него не	1	1
549	во франции	1	1
550	состояние в	1	1
551	нужно признать	1	1
552	такой степени	2	1
553	о русских	1	1
554	ни на	1	1
555	бог есть	2	1
556	через то	1	1
557	против католичества	1	1
558	к своему	2	1
559	не могут	1	1
560	в церковь	1	1
561	она есть	2	1
562	но сам	1	1
563	и своим	2	1
564	это есть	2	1
565	не что	3	1
566	органического понимания	1	1
567	такие явления	1	1
568	в бесах	6	1
569	толстого в	1	1
570	этот не	1	1
571	с любовью	2	1
572	будет и	1	1
573	сих пор	3	1
574	но для	2	1
575	любовь к	8	1
576	которых он	1	1
577	и другим	1	1
578	и человек	3	1
579	мира и	1	1
580	в другое	1	1
581	не с	1	1
582	христа и	1	1
583	из себя	1	1
584	у них	4	1
585	себя после	1	1
586	ни к	1	1
587	есть уже	4	1
588	бы на	1	1
589	личности и	2	1
590	отношении к	3	1
591	и страданий	1	1
592	от всякого	1	1
593	быть и	2	1
594	между ними	1	1
595	отношением к	2	1
596	была бы	1	1
597	от всех	1	1
598	но когда	2	1
599	любви к	7	1
600	мы увидим	2	1
601	в действительности	2	1
602	не сказал	1	1
603	всегда была	1	1
604	но эти	1	1
605	уже есть	1	1
606	а может	1	1
607	быть у	1	1
608	ее в	2	1
609	более о	1	1
610	те которые	3	1
611	они не	4	1
