N	3gram	Voloshinov_1	Literetu
1	то же время	7	9
2	в то же	9	9
3	не может быть	2	7
4	в конечном счете	1	5
5	в том что	1	5
6	с другой стороны	1	4
7	в хх веке	1	4
8	с точки зрения	5	3
9	в этом отношении	2	3
10	на наш взгляд	1	3
11	о том что	2	2
12	не говоря уже	1	2
13	в этом случае	3	2
14	в русской литературе	1	2
15	по крайней мере	1	2
16	одно и то	3	2
17	это прежде всего	1	2
18	и то же	3	2
19	в разговоре с	1	2
20	тем не менее	1	2
21	не так как	2	2
22	особое место в	1	1
23	нет и не	1	1
24	но то что	1	1
25	но даже и	1	1
26	то же самое	4	1
27	и не может	1	1
28	вместе с тем	2	1
29	если б мы	1	1
30	в себе и	1	1
31	и т.д и	5	1
32	можно было бы	1	1
33	вновь и вновь	1	1
34	жизни и в	1	1
35	и в то	2	1
36	но и его	1	1
37	может быть сказано	1	1
38	в конце концов	3	1
39	и не было	1	1
40	в нашем случае	1	1
41	внутренней и внешней	3	1
42	прежде всего в	3	1
43	так и от	1	1
44	из которых он	1	1
45	личность не знает	1	1
46	все то что	2	1
47	того что было	1	1
48	мы не можем	1	1
49	в свою очередь	4	1
50	на самом деле	3	1
51	не только не	1	1
52	той или иной	3	1
53	к тому что	2	1
54	в исторической жизни	1	1
55	тех или иных	3	1
56	вовсе не является	1	1
57	для того чтобы	7	1
58	для этого необходимо	1	1
59	как мы видели	3	1
