N	3gram	Losev_Vesc_1	Problema
1	не может быть	6	11
2	с точки зрения	3	6
3	в данном случае	2	4
4	с другой стороны	2	4
5	в самом деле	4	3
6	бы то ни	4	3
7	можно было бы	1	3
8	в основе своей	2	3
9	может быть только	3	3
10	в применении к	1	3
11	все то что	1	3
12	с одной стороны	3	3
13	в том что	4	3
14	в то же	1	3
15	тем не менее	3	3
16	можно сказать что	3	2
17	то же самое	1	2
18	ни в коем	1	2
19	и во всех	1	2
20	в коем случае	1	2
21	и в частности	1	2
22	то ни было	4	2
23	и не с	2	2
24	не только в	4	2
25	мы имеем дело	2	2
26	коем случае не	1	2
27	для того чтобы	2	2
28	в этом отношении	1	2
29	мы о ней	1	1
30	что иное как	7	1
31	как только я	1	1
32	в свою очередь	4	1
33	не есть вещь	4	1
34	бы вбирает в	1	1
35	какие бы то	1	1
36	слово в его	1	1
37	подобно тому как	4	1
38	о том как	1	1
39	одной стороны и	1	1
40	имеется в виду	1	1
41	то что является	1	1
42	а следовательно и	1	1
43	до сих пор	1	1
44	не может в	1	1
45	сами по себе	3	1
46	в одном и	1	1
47	но можно ли	1	1
48	на самом же	1	1
49	с тем что	1	1
50	резко отличается от	1	1
51	или хотя бы	1	1
52	имеют в виду	1	1
53	с самим собою	2	1
54	на то что	2	1
55	не есть ли	2	1
56	и не в	1	1
57	еще не вполне	1	1
58	и тем не	1	1
59	то время как	1	1
60	вещи но что	1	1
61	не что иное	7	1
62	может обойтись без	1	1
63	не есть ни	3	1
64	по сравнению с	6	1
65	и как бы	1	1
66	и ничего не	1	1
67	вообще в более	1	1
68	не в том	1	1
69	является как таковая	1	1
70	в том смысле	1	1
71	у нас в	2	1
72	о которых идет	1	1
73	в его существе	1	1
74	самом же деле	1	1
75	данном случае со	1	1
76	внутреннего и внешнего	2	1
77	в свое время	2	1
78	не входя в	1	1
79	хуже всего то	1	1
80	хотя бы только	1	1
81	а в том	1	1
82	в истории и	1	1
83	есть не что	5	1
84	с ними в	1	1
85	что мы о	2	1
86	принципиально не может	1	1
87	в нем нет	1	1
88	равно как и	2	1
89	том смысле что	1	1
90	в то время	1	1
91	не могла бы	1	1
92	как бы вбирает	1	1
93	это и есть	1	1
94	и т д	19	1
95	первом случае мы	1	1
96	всего то что	2	1
97	то что не	2	1
98	хотя бы в	2	1
99	и в самом	1	1
100	вопрос о том	1	1
101	прежде всего оно	1	1
102	оно может быть	1	1
103	не может обойтись	1	1
104	ни от чего	2	1
105	не больше как	1	1
106	она не могла	1	1
107	к тому что	2	1
108	в первом случае	2	1
109	как вещи но	1	1
110	должно быть понято	2	1
111	что у нас	1	1
112	она может и	1	1
113	она не может	2	1
114	которых идет речь	1	1
115	дело в том	2	1
116	вбирает в себя	3	1
117	мы еще не	2	1
