N	2gram	Voloshinov_1	Psycholo
1	то что	5	37
2	и в	12	30
3	в том	6	27
4	что в	2	24
5	и что	2	23
6	том что	5	21
7	все время	6	20
8	таким образом	12	20
9	того чтобы	1	20
10	как бы	13	19
11	и мы	1	16
12	не только	4	16
13	если мы	1	16
14	в этом	4	14
15	в самом	4	14
16	так же	3	13
17	то есть	1	13
18	вместе с	2	12
19	одной стороны	2	12
20	с одной	2	12
21	показать что	1	12
22	как на	2	11
23	если бы	9	11
24	что мы	5	11
25	может быть	14	11
26	о том	3	10
27	не может	16	9
28	увидим что	1	9
29	никогда не	5	9
30	мы увидим	1	9
31	сказать что	7	9
32	для этого	1	9
33	с другой	4	9
34	и то	2	9
35	так как	9	9
36	что это	1	8
37	не в	4	8
38	а не	5	8
39	к тому	1	8
40	и это	1	8
41	мы имеем	2	8
42	при этом	6	8
43	могут быть	2	8
44	того что	3	8
45	самом деле	3	8
46	он должен	3	8
47	все же	4	7
48	точки зрения	14	7
49	в нем	6	7
50	совершенно ясно	1	7
51	как это	2	7
52	по себе	3	7
53	героя и	5	7
54	зависимости от	4	7
55	то же	5	7
56	в основе	1	7
57	мы можем	2	7
58	этих двух	2	7
59	но не	2	7
60	в искусстве	1	6
61	когда мы	1	6
62	и здесь	2	6
63	как и	5	6
64	жизни и	4	6
65	и для	3	6
66	в зависимости	2	6
67	но и	3	6
68	и не	10	6
69	и его	13	6
70	ясно что	3	6
71	по мнению	1	6
72	и тем	1	6
73	мы уже	1	6
74	именно в	1	6
75	на этом	1	6
76	уже в	2	6
77	мы воспринимаем	1	6
78	что она	1	6
79	что все	1	6
80	что оно	1	6
81	как будто	1	6
82	мы все	4	6
83	в своем	2	6
84	в себе	3	5
85	еще не	3	5
86	в двух	1	5
87	что они	1	5
88	искусства и	2	5
89	рядом с	1	5
90	сих пор	3	5
91	до сих	3	5
92	сводится к	1	5
93	художественное произведение	3	5
94	дело с	2	5
95	как мы	1	5
96	в целом	1	5
97	и потому	2	5
98	а с	1	5
99	только в	6	5
100	материала и	4	5
101	другой стороны	2	5
102	что именно	1	5
103	когда он	3	5
104	несмотря на	1	5
105	но в	5	5
106	было бы	1	5
107	же самое	2	5
108	и совершенно	2	4
109	исходит из	1	4
110	друг к	1	4
111	говорит о	1	4
112	прежде всего	8	4
113	и все	2	4
114	там где	2	4
115	от него	1	4
116	в своей	3	4
117	стороны и	2	4
118	содержания и	2	4
119	действия и	2	4
120	в его	2	4
121	у нас	1	4
122	как только	2	4
123	о чем	1	4
124	к другу	1	4
125	в них	3	4
126	не есть	2	4
127	от того	4	4
128	в результате	1	4
129	и к	4	4
130	в частности	1	4
131	мы могли	1	4
132	в ней	6	4
133	только на	3	4
134	не можем	1	4
135	в виду	5	4
136	имеет дело	1	4
137	искусства как	1	4
138	на примере	2	4
139	для нас	7	3
140	и наконец	3	3
141	одно и	2	3
142	что поэт	2	3
143	данном случае	2	3
144	в другом	1	3
145	образом мы	1	3
146	и сейчас	1	3
147	вовсе не	1	3
148	из двух	1	3
149	художественной формы	5	3
150	обстоит дело	1	3
151	хотя бы	5	3
152	и другие	2	3
153	в этих	2	3
154	так и	4	3
155	и только	1	3
156	к этому	2	3
157	бы показать	1	3
158	для него	3	3
159	мы не	3	3
160	в таком	1	3
161	дело и	1	3
162	это только	1	3
163	формой и	2	3
164	это не	2	3
165	что нам	1	3
166	идет речь	1	3
167	тот же	1	3
168	мы должны	1	3
169	чувства в	1	3
170	и о	1	3
171	имеет место	2	3
172	ни в	3	3
173	при таком	1	3
174	в ее	1	3
175	формы и	3	3
176	сам по	1	3
177	одним и	1	3
178	у него	1	3
179	не существует	1	3
180	этом отношении	1	3
181	что и	2	3
182	художественного произведения	7	3
183	не могут	1	3
184	и на	4	3
185	героя в	1	3
186	лучшем случае	1	3
187	он не	2	3
188	в лучшем	1	3
189	не как	1	3
190	бы мы	3	3
191	с самого	1	3
192	и вся	1	3
193	в каком	3	3
194	была бы	2	3
195	тем же	1	3
196	самого начала	1	3
197	и уже	3	3
198	что здесь	1	3
199	как в	5	3
200	можно было	1	3
201	в данном	2	3
202	в свою	1	3
203	нам совершенно	1	2
204	все эти	3	2
205	согласие или	2	2
206	в словах	1	2
207	с так	1	2
208	не знает	1	2
209	в форме	2	2
210	и того	1	2
211	входят в	1	2
212	и с	3	2
213	к внешнему	1	2
214	и вот	1	2
215	своего героя	1	2
216	можно сказать	5	2
217	материал для	1	2
218	как например	1	2
219	нас не	1	2
220	в ритме	1	2
221	время как	1	2
222	связи с	1	2
223	все равно	1	2
224	должна быть	5	2
225	остается еще	1	2
226	все это	3	2
227	с таким	1	2
228	каждый элемент	1	2
229	и так	2	2
230	но мы	2	2
231	с помощью	6	2
232	такое понимание	1	2
233	остается при	1	2
234	бы по	1	2
235	во всех	1	2
236	между ними	2	2
237	в одном	1	2
238	в нашем	11	2
239	однако эта	1	2
