1	не может быть	8	15
2	в отличие от	3	12
3	с чужим словом	3	10
4	в пределах одного	6	7
5	в значительной степени	1	6
6	в этом случае	1	6
7	чужого слова в	3	5
8	той или иной	2	5
9	с одной стороны	1	5
10	к своему предмету	1	5
11	в большинстве случаев	8	5
12	в узком смысле	2	4
13	в отношении к	2	4
14	чужим словом и	2	4
15	в том что	2	4
16	в то же	5	4
17	то же время	5	4
18	но все же	1	4
19	по отношению к	5	4
20	в той или	1	3
21	одной стороны и	1	3
22	так и в	1	3
23	с точки зрения	9	3
24	сама по себе	2	3
25	чужого слова и	3	3
26	в собственном смысле	1	3
27	с установкой на	1	3
28	но в то	2	3
29	и в сущности	2	2
30	до сих пор	8	2
31	не только в	1	2
32	хотя бы и	1	2
33	в точном смысле	1	2
34	во всех его	2	2
35	как мы сказали	3	2
36	может быть и	1	2
37	в связи с	1	2
38	в мировой литературе	1	2
39	лишь тогда когда	1	2
40	то есть от	2	2
41	во всяком случае	1	2
42	более или менее	3	2
43	в языке как	1	2
44	как мы уже	2	2
45	и наконец в	1	2
46	а вовсе не	1	2
47	но прежде всего	1	2
48	сих пор не	2	2
49	своими корнями в	1	2
50	словом и с	1	2
51	не только и	1	2
52	никогда не может	1	2
53	к чужому слову	5	2
54	в том числе	4	1
55	в нем новые	1	1
56	его и нет	1	1
57	язык в его	1	1
58	роль в романе	1	1
59	но и в	2	1
60	более глубокое и	1	1
61	сознания и слова	1	1
62	но конечно не	2	1
63	различным может быть	1	1
64	и чужое слово	1	1
65	в одно высказывание	2	1
66	отношения слова к	1	1
67	только и даже	1	1
68	между двумя разными	1	1
69	героя и в	1	1
70	может быть весьма	2	1
71	рано или поздно	1	1
72	снова и снова	1	1
73	с авторской речью	1	1
74	в результате их	1	1
75	между стилизацией и	1	1
76	стилизация пародия сказ	1	1
77	чужого слова с	2	1
78	объединить в себе	1	1
79	то перед нами	4	1
80	в нем не	1	1
81	мы увидим что	2	1
82	также и в	1	1
83	мы говорили в	1	1
84	в широком смысле	1	1
85	выходят за пределы	2	1
86	эти явления стилизация	1	1
87	конечно далеко не	1	1
88	как это возможно	1	1
89	чужим словом в	3	1
90	значительной степени определяется	1	1
91	в одном высказывании	1	1
92	том что он	1	1
93	и в нем	1	1
94	большей или меньшей	2	1
95	сами по себе	2	1
96	рядом с собой	2	1
97	чужую речь а	1	1
98	в этом его	1	1
99	о которых мы	1	1
100	в синтаксической конструкции	1	1
101	и все остальные	1	1
102	не сливается с	1	1
103	хотя и не	2	1
104	и в то	1	1
105	средние века и	1	1
106	чужого слова как	1	1
107	между этими двумя	1	1
108	стилизация отличается от	1	1
109	не менее чем	1	1
110	обстоит дело в	1	1
111	нем новые стороны	1	1
112	единого и единственного	1	1
113	людей и их	1	1
114	но в этом	1	1
115	как чужое слово	2	1
116	и не может	7	1
117	а следовательно и	2	1
118	одна из самых	1	1
119	все это не	1	1
120	чужого слова от	1	1
121	дистанции без преломления	1	1
122	в пределах одной	1	1
123	до некоторой степени	1	1
124	а во второй	1	1
125	и даже не	1	1
126	явления стилизация пародия	1	1
127	отношение к слову	1	1
128	как один из	1	1
129	при этом такое	1	1
130	века и в	1	1
131	в каждом новом	1	1
132	он дан в	1	1
133	том числе и	3	1
134	он никогда не	1	1
135	в известной степени	1	1
136	чужого слова на	1	1
137	что как раз	1	1
138	конечно не в	2	1
139	не решенным и	1	1
140	даже не столько	1	1
141	к чужому голосу	1	1
142	рассказ от автора	1	1
143	на этой почве	1	1
144	с другой стороны	3	1
145	без дистанции без	1	1
146	в нем двух	1	1
147	значение чужого слова	1	1
148	выражения себя и	1	1
149	чужого слова о	1	1
150	его роль в	1	1
151	одним из главных	1	1
152	не может не	1	1
153	с самого начала	1	1
154	свой предмет как	1	1
155	высказывания и потому	1	1
156	и ту же	1	1
157	чужой акцент и	1	1
158	в средние века	1	1
159	это возможно в	1	1
160	иначе обстоит дело	1	1
161	для наших целей	2	1
162	еще раз подчеркнуть	1	1
163	не с точки	1	1
164	даже и не	1	1
165	в одном слове	3	1
166	неразрывно связано с	1	1
167	то есть к	1	1
168	о нем он	1	1
169	одну и ту	1	1
170	может стремиться к	1	1
171	иметь в виду	1	1
172	в этих случаях	2	1
173	мы уже сказали	2	1
174	о том что	2	1
175	в процессе его	1	1
176	пространстве и времени	1	1
177	между тем как	1	1
178	слово героя и	1	1
179	его смысла и	1	1
180	раз подчеркнуть что	1	1
181	и в поэзии	1	1
182	романа и в	1	1
183	как и в	3	1
184	здесь не только	1	1
185	чужое слово и	4	1
186	перед нами уже	2	1
187	в романах достоевского	4	1
188	мы не знаем	1	1
189	типы и разновидности	1	1
190	и без всякого	1	1
191	поэтому при изучении	1	1
192	но во всем	1	1
193	чужой речи и	1	1
194	объектности чужого слова	2	1
195	но здесь они	1	1
196	речь как бы	1	1
197	слова не входят	1	1
198	отношению к себе	1	1
199	от автора и	2	1
200	по себе еще	2	1
201	большинстве случаев в	1	1
202	в той же	1	1
203	и с чужим	1	1
204	и не в	2	1
205	отношения к чужому	2	1
