N	3gram	Ircho_Kome_3	OGranits
1	с точки зрения	3	5
2	до тех пор	3	4
3	по отношению к	3	3
4	в г в	1	2
5	в самом деле	6	2
6	в зависимости от	1	2
7	с одной стороны	3	2
8	с другой стороны	2	2
9	ничего общего с	1	2
10	с самого начала	4	2
11	в том что	9	2
12	само собой разумеется	2	1
13	этой точки зрения	1	1
14	в виду что	1	1
15	более или менее	1	1
16	в нем только	1	1
17	равно как и	1	1
18	подобно тому как	1	1
19	то же самое	3	1
20	должно было бы	1	1
21	и не может	1	1
22	в отличие от	1	1
23	и все социальное	1	1
24	в этом отношении	2	1
25	с этой точки	1	1
26	так как все	1	1
27	для того чтобы	6	1
28	далеко не всегда	1	1
29	если говорить о	1	1
30	едва ли кто-нибудь	1	1
31	его роль в	1	1
32	и в его	1	1
33	состоит в том	2	1
34	тем не менее	3	1
35	предположение о возможности	1	1
36	и к тому	1	1
37	в течение всей	1	1
38	в этот момент	1	1
39	в связи с	3	1
40	чуть ли не	1	1
41	в пределах того	1	1
42	он и не	2	1
43	того же автора	2	1
44	но столь же	1	1
45	то же время	4	1
46	собой разумеется что	2	1
47	так же точно	1	1
48	и никогда не	1	1
49	в конечном счете	2	1
50	для понимания всего	1	1
51	и призыв к	1	1
52	в задачу данной	1	1
53	на то что	1	1
54	в то же	4	1
55	к тому что	1	1
56	человека и его	1	1
