N	2gram	Bakhtin_fo_1	Vvedenie
1	и т	8	42
2	и в	50	32
3	в том	9	31
4	в этом	25	30
5	том что	4	26
6	может быть	11	26
7	не только	9	22
8	для того	5	21
9	того чтобы	5	20
10	таким образом	11	19
11	также и	2	18
12	то что	6	16
13	потому что	4	15
14	так как	6	15
15	не может	6	14
16	в самом	8	13
17	в нем	24	13
18	о том	1	13
19	в их	6	12
20	в его	13	12
21	того что	2	12
22	только в	4	12
23	и не	14	12
24	как мы	14	11
25	в ее	6	11
26	ясно что	2	11
27	в данном	2	11
28	что в	5	10
29	то же	11	9
30	в истории	2	9
31	и как	10	9
32	но в	10	9
33	по себе	2	9
34	в той	4	9
35	а только	2	8
36	это не	6	8
37	не в	5	8
38	с другой	2	8
39	именно в	3	8
40	самом деле	1	7
41	вопрос о	2	7
42	но не	5	7
43	все же	6	7
44	к выводу	1	7
45	было бы	2	7
46	точки зрения	5	7
47	выводу что	1	7
48	прежде всего	15	7
49	смысле этого	1	7
50	смысле слова	2	6
51	и это	4	6
52	из этих	1	6
53	как он	2	6
54	широком смысле	2	6
55	его в	3	6
56	с тем	3	6
57	как и	8	6
58	вовсе не	13	6
59	в то	9	6
60	в качестве	3	6
61	же время	9	6
62	тем что	2	6
63	не могут	3	6
64	один из	3	6
65	этот вопрос	1	6
66	и его	16	6
67	и даже	2	6
68	до сих	3	6
69	но и	8	6
70	сих пор	3	6
71	все это	4	6
72	хотя бы	2	6
73	одним из	1	5
74	а как	3	5
75	в целом	2	5
76	в широком	2	5
77	с их	2	5
78	об этом	2	5
79	на почве	2	5
80	данном случае	1	5
81	в них	4	5
82	в которых	2	5
83	сказать что	3	5
84	могут быть	5	5
85	так что	1	5
86	уже в	2	5
87	т п	8	5
88	что не	3	5
89	а не	3	5
90	по своему	1	5
91	она есть	1	5
92	в течение	2	5
93	как бы	2	5
94	вместе с	3	5
95	связана с	1	4
96	и то	4	4
97	той же	2	4
98	мы имеем	1	4
99	науки и	1	4
100	по отношению	3	4
101	независимо от	1	4
102	от этого	2	4
103	уже не	2	4
104	в себе	3	4
105	этот процесс	5	4
106	в своей	2	4
107	в котором	4	4
108	по сравнению	2	4
109	как о	1	4
110	не имеет	4	4
111	в разных	5	4
112	в каждом	1	4
113	здесь нет	3	4
114	и т.д	1	4
115	времени и	10	4
116	внимание на	1	4
117	как она	2	4
118	еще не	5	4
119	что он	1	4
120	и ее	3	4
121	с одной	3	4
122	этого понятия	1	4
123	одно из	3	4
124	всяком случае	1	4
125	как раз	13	4
126	этом отношении	3	4
127	в особенности	9	4
128	одной стороны	2	4
129	и обратно	1	4
130	еще и	2	4
131	о чем	1	4
132	сравнению с	2	4
133	этом случае	1	4
134	и для	4	4
135	относящихся к	1	4
136	а в	3	4
137	отношению к	5	4
138	во всяком	3	4
139	и есть	1	3
140	всего того	3	3
141	в сущности	3	3
142	не вполне	1	3
143	в виду	3	3
144	и на	8	3
145	он сам	1	3
146	в различных	2	3
147	в чем	2	3
148	своего рода	1	3
149	совсем не	2	3
150	сама по	1	3
151	в центре	2	3
152	стороны и	2	3
153	однако не	1	3
154	хотя и	3	3
155	и к	2	3
156	сливается с	1	3
157	бы и	1	3
158	что это	1	3
159	все эти	9	3
160	в этой	1	3
161	как оно	2	3
162	при этом	3	3
163	если бы	5	3
164	не как	2	3
165	вообще не	3	3
