N	3gram	Medvedev_S_1	SlovoVZh
1	по отношению к	2	11
2	в том что	2	4
3	то же самое	1	2
4	в настоящее время	1	2
5	с одной стороны	1	2
6	отношению к которому	1	1
7	а между тем	1	1
8	и в этом	1	1
9	эволюционное развитие по	1	1
10	ровно ничего не	1	1
11	не должна быть	1	1
12	бы они ни	1	1
13	во всяком случае	1	1
14	истории литературы и	1	1
15	вступает в свои	1	1
16	в свои права	1	1
17	только то что	1	1
18	в конечном счете	1	1
19	то же время	1	1
20	в противном случае	1	1
21	в лучшем случае	1	1
22	социологический метод в	2	1
23	они ни были	1	1
24	по крайней мере	1	1
25	в то же	1	1
26	развитие по природе	1	1
27	в процессе живого	1	1
28	в том и	1	1
29	сама по себе	1	1
30	по самому существу	1	1
