N	3gram	Losev_Prob_4	DiskursI
1	в том что	8	13
2	с одной стороны	1	9
3	о том что	3	5
4	к тому же	2	4
5	не в том	1	3
6	той или иной	11	3
7	и как бы	1	3
8	в свою очередь	1	3
9	с другой стороны	6	3
10	в то же	2	3
11	что же касается	1	2
12	мы имеем дело	3	2
13	уже не является	1	2
14	не говоря уже	2	2
15	в том числе	1	2
16	то же самое	6	2
17	а в том	1	2
18	тот или иной	2	2
19	говоря уже о	1	2
20	сами по себе	2	2
21	том числе и	1	2
22	обратить внимание на	1	2
23	в основе своей	1	2
24	по крайней мере	6	2
25	в данном случае	5	2
26	в том чтобы	2	2
27	не только в	4	2
28	более или менее	2	2
29	сказать и о	1	2
30	то есть в	6	2
31	но отнюдь не	1	2
32	вольно или невольно	1	2
33	только в том	3	2
34	здесь как и	2	1
35	и может быть	1	1
36	на том что	1	1
37	в понятии же	1	1
38	в чистом виде	2	1
39	прежде всего как	1	1
40	прежде всего в	1	1
41	дело в том	1	1
42	далеко не все	1	1
43	на самом деле	3	1
44	в этом смысле	3	1
45	свидетельствует о том	1	1
46	как раз и	1	1
47	о том как	1	1
48	себя не только	1	1
49	с точки зрения	11	1
50	до сих пор	1	1
51	и не может	1	1
52	одной стороны это	1	1
53	и в то	1	1
54	хотя бы и	2	1
55	сам по себе	6	1
56	но в случае	1	1
57	что он не	1	1
58	самое можно сказать	1	1
59	в первую очередь	1	1
60	только то что	1	1
61	в таком случае	1	1
62	к мысли о	1	1
63	вместе с тем	3	1
64	во всех областях	1	1
65	ту или иную	1	1
66	одно и то	1	1
67	только потому что	1	1
68	содержит в себе	8	1
69	можно даже сказать	2	1
70	она еще не	1	1
71	и потому что	1	1
72	как будто бы	2	1
73	в известном смысле	1	1
74	имеем дело с	1	1
75	в связи с	3	1
76	актеров на сцене	1	1
77	но здесь это	1	1
78	том что он	1	1
79	во всяком случае	4	1
80	хотя бы на	1	1
81	в новое время	1	1
82	не то чтобы	1	1
83	того или иного	3	1
84	в этом же	1	1
85	по мнению автора	1	1
86	даже сказать что	1	1
87	так и в	1	1
88	или иной области	1	1
89	это и есть	1	1
90	времени и пространства	1	1
91	не может существовать	1	1
92	с самого начала	1	1
93	и тем более	2	1
94	же самое можно	2	1
95	заключается в том	2	1
96	несмотря на все	1	1
97	только при наличии	1	1
98	в виде вещей	1	1
99	на то что	1	1
100	в другом случае	2	1
101	и прежде всего	2	1
102	как учение о	1	1
103	тех или иных	3	1
104	тем не менее	10	1
105	одной из возможных	1	1
106	но все же	1	1
107	дело не в	2	1
108	как и в	1	1
109	в том или	2	1
110	что не только	1	1
111	зашла речь о	2	1
