N	2gram	Bakhtin_Fr_5	ViktorSh
1	в книге	1	3
2	и в	45	2
3	том что	7	2
4	книге в	1	2
5	в том	10	2
6	в конце	7	2
7	и только	2	1
8	тем более	1	1
9	под влиянием	1	1
10	и том	1	1
11	в другом	3	1
12	хотя бы	2	1
13	и не	15	1
14	и его	13	1
15	потому что	7	1
16	более чем	1	1
17	самом деле	5	1
18	другом месте	2	1
19	и т.д	2	1
20	все это	7	1
21	и положения	1	1
22	по поводу	4	1
23	именно в	3	1
24	в их	4	1
25	дело в	3	1
26	в частности	1	1
27	так в	2	1
28	речи и	1	1
29	все то	1	1
30	столь же	1	1
31	время в	1	1
32	ведь это	2	1
33	в которых	3	1
34	в значительной	2	1
35	в самом	4	1
36	для них	2	1
37	дело именно	1	1
38	только в	4	1
39	то же	11	1
40	так как	6	1
41	этому и	1	1
42	далеко не	1	1
43	не будем	2	1
44	но это	5	1
45	в этом	14	1
46	одном и	1	1
47	да и	1	1
48	чем больше	1	1
49	по существу	3	1
50	к этому	2	1
51	значительной степени	1	1
52	образом связаны	1	1
53	том же	2	1
