N	2gram	Propp_Russ_1	Narrotol
1	не только	22	31
2	но и	16	27
3	и не	6	23
4	при этом	6	19
5	может быть	8	15
6	в качестве	3	14
7	в частности	2	14
8	как и	10	13
9	в тексте	1	13
10	а не	2	13
11	а в	9	13
12	в этом	12	12
13	только в	4	12
14	и в	36	11
15	в данном	1	11
16	тогда как	2	10
17	состоит в	8	10
18	своего рода	3	10
19	и его	1	10
20	то есть	3	9
21	то что	6	9
22	то же	3	8
23	представляет собой	4	8
24	не может	4	8
25	данном случае	1	8
26	в том	17	8
27	уже не	6	8
28	но в	2	7
29	том что	19	7
30	если бы	1	7
31	у него	2	7
32	и он	1	6
33	в этой	1	6
34	в себе	1	6
35	тому же	1	6
36	об этом	9	6
37	к тому	4	6
38	во втором	1	6
39	в его	2	6
40	как бы	5	6
41	один из	8	6
42	или в	2	6
43	а также	3	6
44	жизни и	1	6
45	между двумя	2	5
46	и на	10	5
47	как правило	3	5
48	перед нами	1	5
49	так и	7	5
50	точки зрения	3	5
51	потому что	10	5
52	на другой	1	5
53	можно сказать	1	5
54	точка зрения	1	5
55	в первом	1	4
56	на себя	2	4
57	еще не	4	4
58	истории в	1	4
59	с его	1	4
60	но не	2	4
61	как в	5	4
62	все же	5	4
63	хотя и	2	4
64	из этих	4	4
65	в нем	2	4
66	из них	8	4
67	и тем	1	4
68	в одном	3	4
69	вплоть до	4	4
70	в то	1	4
71	одна из	4	4
72	не по	1	4
73	что на	4	4
74	в ней	2	4
75	так в	4	4
76	что у	2	4
77	о том	8	4
78	внимание на	1	4
79	к нему	1	4
80	того что	4	4
81	слова в	3	4
82	о чем	3	4
83	однако и	1	4
84	в третьем	1	4
85	или не	1	4
86	имеет место	2	4
87	и состоит	1	4
88	как известно	2	3
89	также и	1	3
90	самом деле	1	3
91	мы имеем	4	3
92	мы не	6	3
93	другой день	1	3
94	в своем	3	3
95	и как	2	3
96	в целом	2	3
97	в нашем	2	3
98	он не	1	3
99	подобно тому	1	3
100	и с	2	3
101	это не	10	3
102	в жизни	2	3
103	не всегда	1	3
104	себя внимание	1	3
105	и ее	1	3
106	тем не	3	3
107	их в	3	3
108	не менее	3	3
109	но они	3	3
110	обращает на	1	3
111	как будто	5	3
112	этом отношении	1	3
113	у нас	8	3
114	начиная с	3	3
115	и о	1	3
116	еще в	4	3
117	между тем	7	3
118	что он	1	3
119	по отношению	1	3
120	может служить	1	3
121	представляют собой	7	3
122	не было	2	3
123	как это	8	3
124	тому как	1	3
125	исходя из	1	3
126	быть не	1	3
127	в начале	1	3
128	но для	1	3
129	не является	1	3
130	и все	1	3
131	в поле	3	3
132	отношению к	1	3
133	что в	19	3
134	переход от	2	2
135	тем же	1	2
136	и для	2	2
137	не вполне	1	2
138	жизни как	1	2
139	ему в	1	2
140	зависимости от	1	2
141	нет оснований	1	2
142	между собой	2	2
143	в чем	1	2
144	для обозначения	2	2
145	если в	3	2
146	отличие от	1	2
147	в е	2	2
148	отнюдь не	2	2
149	в той	1	2
150	так называемая	1	2
151	что касается	1	2
152	на святках	11	2
153	та же	2	2
154	на две	1	2
155	на то	1	2
156	в случае	1	2
157	что одно	1	2
158	входит в	4	2
159	для них	3	2
160	также не	1	2
161	он и	1	2
162	в москве	3	2
163	и того	1	2
164	в этих	3	2
165	в отличие	1	2
166	она не	2	2
167	в детстве	1	2
168	не имеет	6	2
169	дело в	1	2
170	и сама	1	2
171	дело не	1	2
172	не могло	1	2
173	ничего не	3	2
174	связи с	4	2
175	истории как	1	2
176	к жизни	3	2
177	ни о	1	2
178	ли не	1	2
179	в своего	1	2
180	они и	2	2
181	оно не	1	2
182	как мы	10	2
183	у себя	1	2
184	значения и	2	2
185	свою очередь	2	2
186	в пределах	1	2
187	по мере	1	2
188	с ним	2	2
189	точек зрения	1	2
190	при такой	1	2
191	никак не	1	2
192	нас в	1	2
193	в форме	1	2
194	же в	1	2
195	с ними	5	2
196	он уже	1	2
197	всяком случае	1	2
198	который в	1	2
199	только на	3	2
200	до конца	2	2
201	в равной	2	2
202	его и	2	2
203	в детскую	1	2
204	к ним	3	2
205	не о	1	2
206	мы можем	2	2
207	каждый из	1	2
208	в особенности	2	2
209	в области	3	2
210	она в	3	2
211	как у	1	2
212	после смерти	1	2
213	что не	1	2
214	что мы	1	2
215	если не	1	2
216	вместе с	10	2
217	по своему	1	2
218	в первой	1	2
219	быть и	2	2
220	в связи	4	2
221	в году	2	2
222	тот кто	1	2
223	сливаются в	1	2
224	равной степени	2	2
225	между ними	1	2
226	сказать что	1	2
227	в свою	3	2
228	все что	1	2
229	в таком	1	2
230	во всяком	1	2
231	в роли	1	2
232	говоря о	1	1
233	и т	10	1
234	о каких	1	1
235	же как	1	1
236	чтобы не	1	1
237	а из	1	1
238	на самом	2	1
239	значении этого	1	1
240	только потому	1	1
241	е годы	2	1
242	в приведенном	1	1
243	за все	2	1
244	характерное для	1	1
245	и до	2	1
246	по его	1	1
247	мы уже	1	1
248	из всех	1	1
249	например в	2	1
250	полагает что	6	1
251	что между	1	1
252	не приходится	1	1
253	в первый	4	1
254	этом не	1	1
255	то и	1	1
256	что иное	2	1
257	но даже	2	1
258	не совсем	4	1
259	из которых	1	1
260	жизни это	1	1
261	да на	2	1
262	и сами	1	1
263	и много	1	1
264	он был	2	1
265	иное как	2	1
266	в различных	2	1
267	не отличается	1	1
268	природы и	2	1
269	а только	1	1
270	тех же	1	1
271	значение и	2	1
272	не все	1	1
273	ответ на	1	1
274	христа в	2	1
275	тут же	2	1
276	в м	1	1
277	и соответствующих	1	1
278	его на	1	1
279	что именно	2	1
280	с этим	2	1
281	еще и	1	1
282	обращения к	1	1
283	глаза что	1	1
284	когда он	2	1
285	целый ряд	1	1
286	и наконец	1	1
287	следующее в	2	1
288	и к	3	1
289	следующим образом	4	1
290	он на	1	1
291	в которой	1	1
292	из жизни	1	1
293	подробнее об	1	1
294	что это	3	1
295	за это	1	1
296	во многих	5	1
297	ни одна	1	1
298	приводит к	3	1
299	забыт и	1	1
300	как он	2	1
301	что она	2	1
302	главным образом	2	1
303	т д	9	1
304	оно в	1	1
305	чтобы они	2	1
306	не как	1	1
307	однако он	1	1
308	в силу	2	1
309	друг с	1	1
310	недостаточно чтобы	1	1
311	его от	2	1
312	и по	8	1
313	так например	6	1
314	таким образом	6	1
315	но все	3	1
316	значение в	1	1
317	уже знаем	1	1
318	его в	1	1
319	после обеда	1	1
320	есть время	1	1
321	на свои	1	1
322	солнце и	1	1
323	далеко не	3	1
324	жизни то	1	1
325	на основании	1	1
326	с тем	8	1
327	первые два	1	1
328	одна и	1	1
329	мы видели	1	1
330	и было	1	1
331	зато в	1	1
332	в один	2	1
333	есть некоторая	1	1
334	другие с	1	1
335	во время	14	1
336	указывает и	1	1
337	с точки	3	1
338	в их	4	1
339	в которых	5	1
340	что я	1	1
341	должны были	2	1
342	точку зрения	1	1
343	теми же	1	1
344	что было	1	1
345	обращение к	1	1
346	на небо	3	1
347	что после	1	1
348	и наоборот	1	1
349	которая представляет	1	1
350	что этот	4	1
351	необходимо чтобы	1	1
352	нас к	2	1
353	тому что	4	1
354	любви и	1	1
355	все для	1	1
356	так как	15	1
357	как можно	2	1
358	хотелось бы	1	1
359	для каждого	1	1
360	того как	5	1
361	которые не	3	1
362	было не	1	1
363	из их	1	1
364	судя по	2	1
365	слова как	1	1
366	детей и	2	1
367	как не	2	1
368	так называемый	2	1
369	только с	1	1
370	ему не	1	1
371	с другом	1	1
372	в четвертом	1	1
373	тем это	1	1
374	необходимо также	1	1
375	могут быть	2	1
376	для детей	1	1
377	характер этой	1	1
378	а далее	1	1
379	для такого	1	1
380	и символически	1	1
381	если же	1	1
382	время они	1	1
383	обычно в	1	1
384	в виду	1	1
385	как по	2	1
386	как знак	1	1
387	всей своей	1	1
388	в более	2	1
389	однако эта	1	1
390	слова а	1	1
391	и сам	1	1
392	что каждый	1	1
393	по этой	1	1
394	в образе	2	1
395	не ограничивается	1	1
396	не с	3	1
397	каждого из	1	1
398	и каждый	1	1
399	чем у	2	1
400	с собой	4	1
401	вошел в	1	1
402	во второй	1	1
403	имеется довольно	1	1
404	с этого	6	1
405	и вообще	1	1
406	что видел	1	1
407	и здесь	2	1
408	перекликаясь друг	1	1
409	и та	1	1
410	в глаза	1	1
411	для нас	6	1
412	к слову	2	1
413	в отрыве	1	1
414	во всех	4	1
415	рассуждение о	1	1
416	нуждается в	1	1
417	что и	7	1
418	не более	1	1
419	бывает и	1	1
420	также в	3	1
421	к ней	2	1
422	и мы	1	1
423	представление будто	1	1
424	же можно	1	1
425	другой более	1	1
426	с той	1	1
427	этих строк	1	1
428	сразу же	1	1
429	в двух	1	1
430	тот же	1	1
431	или когда	1	1
432	взывает к	1	1
433	значения как	1	1
434	мы увидим	8	1
435	зрения в	1	1
436	пишет не	1	1
437	в разные	2	1
438	даже если	1	1
439	до нас	1	1
440	смерти как	1	1
441	это означает	1	1
442	бы ни	1	1
443	их не	2	1
444	с которыми	1	1
445	того же	1	1
446	и у	5	1
447	уже в	1	1
448	жизни близких	1	1
449	времен года	1	1
450	свидетельствует о	1	1
451	времени когда	1	1
452	но совершенно	1	1
453	только одно	1	1
454	представить себе	1	1
455	нашем сознании	1	1
456	не случайно	2	1
457	случае не	1	1
458	тем что	4	1
459	не просто	2	1
460	на том	1	1
461	следует признать	1	1
462	смерти и	1	1
463	на будущее	1	1
464	не до	1	1
465	своим появлением	1	1
466	чем тот	1	1
467	которых мы	1	1
468	для этого	2	1
469	этому времени	1	1
470	наконец в	1	1
471	а с	4	1
472	мы еще	1	1
473	что для	1	1
474	говорит о	1	1
475	связано с	1	1
476	по тем	1	1
477	на этот	3	1
478	еды в	1	1
479	на которых	1	1
480	не на	2	1
481	его как	2	1
482	возвращаясь к	1	1
483	становится очевидным	1	1
484	там где	2	1
485	свое внимание	1	1
486	со своими	1	1
487	которой он	1	1
488	ближе к	1	1
489	необходимо было	1	1
490	в городе	1	1
491	день действительно	1	1
492	так же	3	1
493	границы между	1	1
494	смысл который	1	1
495	и потому	2	1
496	надо было	1	1
497	этого момента	3	1
498	дома в	1	1
499	этих случаях	1	1
500	наряду с	1	1
501	же их	1	1
502	в тех	4	1
503	и смысла	1	1
504	и всей	2	1
505	как средство	1	1
506	не можем	3	1
507	бросается в	1	1
508	и смерти	1	1
509	вербное воскресенье	1	1
510	но это	4	1
511	все это	6	1
512	здесь следует	1	1
513	случае он	1	1
514	одного и	1	1
515	он видел	1	1
516	случаях когда	1	1
517	от имени	1	1
518	хотя они	1	1
519	при таком	1	1
520	о котором	1	1
521	интерес к	2	1
522	будто бы	6	1
523	похожи на	1	1
524	в период	1	1
525	это все	1	1
526	а п	2	1
527	слова с	1	1
528	не знает	1	1
529	на более	1	1
530	него нет	1	1
531	это на	1	1
532	им не	1	1
533	только о	1	1
534	этим объясняется	1	1
535	по поводу	1	1
536	к этому	4	1
537	точно так	1	1
538	это время	2	1
539	они не	1	1
